path,bytes,kilobytes
ANALYSIS_PLAN_FOR_AYUSH.md,29508,28.8
BLINDED_LLM_JUDGE_PROTOCOL.md,1488,1.5
FINAL_REPORT.md,5319,5.2
ayush_reanalysis/EXECUTION_STATUS.md,2630,2.6
ayush_reanalysis/agent_phrase_concentration.csv,293228,286.4
ayush_reanalysis/deterministic_run_deltas.csv,180600,176.4
ayush_reanalysis/deterministic_timebin_metrics.csv,680683,664.7
ayush_reanalysis/embedding_cache_coverage.json,143,0.1
ayush_reanalysis/embedding_run_deltas.csv,89871,87.8
ayush_reanalysis/embedding_run_timebin_metrics.csv,445615,435.2
ayush_reanalysis/figures/delta_distinct5_by_family.pdf,18294,17.9
ayush_reanalysis/figures/delta_distinct5_by_family.png,70023,68.4
ayush_reanalysis/figures/delta_gzip_compression_by_family.pdf,18472,18.0
ayush_reanalysis/figures/delta_gzip_compression_by_family.png,78812,77.0
ayush_reanalysis/figures/delta_pairwise_cosine_by_family.pdf,18222,17.8
ayush_reanalysis/figures/delta_pairwise_cosine_by_family.png,81459,79.5
ayush_reanalysis/figures/delta_vendi_by_family.pdf,18002,17.6
ayush_reanalysis/figures/delta_vendi_by_family.png,71265,69.6
ayush_reanalysis/figures/manifest_included_corpus.pdf,14052,13.7
ayush_reanalysis/figures/manifest_included_corpus.png,82497,80.6
ayush_reanalysis/first_usage_timeline.csv,730678,713.6
ayush_reanalysis/llm_judge_run_deltas.csv,112264,109.6
ayush_reanalysis/llm_judge_run_timebin_metrics.csv,426895,416.9
ayush_reanalysis/per_run_top_ngrams.csv,844981,825.2
combined_report/DETERMINISTIC_METRICS_SUMMARY.md,4310,4.2
combined_report/EMBEDDING_SUMMARY.md,2809,2.7
combined_report/LLM_JUDGE_SUMMARY.md,1922,1.9
combined_report/deterministic_summary_by_family.csv,5269,5.1
combined_report/embedding_summary_by_family.csv,3228,3.2
combined_report/llm_judge_label_counts.csv,918,0.9
combined_report/llm_judge_summary_by_family.csv,9838,9.6
data_manifest.csv,118674,115.9
data_manifest_summary.json,648,0.6
data_manifest_summary.md,498,0.5
per_family_reports/base_model_as_tool/agent_participation/concentration.csv,139849,136.6
per_family_reports/base_model_as_tool/compression/compression_run_deltas.csv,82959,81.0
per_family_reports/base_model_as_tool/compression/compression_run_timebin_metrics.csv,318294,310.8
per_family_reports/base_model_as_tool/lexical_diversity/diversity_metrics.csv,318294,310.8
per_family_reports/base_model_as_tool/lexical_diversity/run_deltas.csv,82959,81.0
per_family_reports/base_model_as_tool/phrase_diffusion/first_usage_timeline.csv,247154,241.4
per_family_reports/base_model_as_tool/phrase_provenance/per_run_top_ngrams.csv,415246,405.5
per_family_reports/base_model_as_tool/semantic_embeddings/embedding_run_deltas.csv,45918,44.8
per_family_reports/base_model_as_tool/semantic_embeddings/embedding_run_timebin_metrics.csv,220731,215.6
per_family_reports/mixed_model_roster/agent_participation/concentration.csv,8490,8.3
per_family_reports/mixed_model_roster/compression/compression_run_deltas.csv,6074,5.9
per_family_reports/mixed_model_roster/compression/compression_run_timebin_metrics.csv,20632,20.1
per_family_reports/mixed_model_roster/lexical_diversity/diversity_metrics.csv,20632,20.1
per_family_reports/mixed_model_roster/lexical_diversity/run_deltas.csv,6074,5.9
per_family_reports/mixed_model_roster/phrase_diffusion/first_usage_timeline.csv,8696,8.5
per_family_reports/mixed_model_roster/phrase_provenance/per_run_top_ngrams.csv,24635,24.1
per_family_reports/mixed_model_roster/semantic_embeddings/embedding_run_deltas.csv,3003,2.9
per_family_reports/mixed_model_roster/semantic_embeddings/embedding_run_timebin_metrics.csv,13711,13.4
per_family_reports/obsession_prompting/agent_participation/concentration.csv,37601,36.7
per_family_reports/obsession_prompting/compression/compression_run_deltas.csv,12886,12.6
per_family_reports/obsession_prompting/compression/compression_run_timebin_metrics.csv,44490,43.4
per_family_reports/obsession_prompting/lexical_diversity/diversity_metrics.csv,44490,43.4
per_family_reports/obsession_prompting/lexical_diversity/run_deltas.csv,12886,12.6
per_family_reports/obsession_prompting/phrase_diffusion/first_usage_timeline.csv,24632,24.1
per_family_reports/obsession_prompting/phrase_provenance/per_run_top_ngrams.csv,111150,108.5
per_family_reports/obsession_prompting/semantic_embeddings/embedding_run_deltas.csv,6444,6.3
per_family_reports/obsession_prompting/semantic_embeddings/embedding_run_timebin_metrics.csv,30238,29.5
per_family_reports/single_model_final/agent_participation/concentration.csv,108143,105.6
per_family_reports/single_model_final/compression/compression_run_deltas.csv,81306,79.4
per_family_reports/single_model_final/compression/compression_run_timebin_metrics.csv,299271,292.3
per_family_reports/single_model_final/lexical_diversity/diversity_metrics.csv,299271,292.3
per_family_reports/single_model_final/lexical_diversity/run_deltas.csv,81306,79.4
per_family_reports/single_model_final/phrase_diffusion/first_usage_timeline.csv,450883,440.3
per_family_reports/single_model_final/phrase_provenance/per_run_top_ngrams.csv,294454,287.6
per_family_reports/single_model_final/semantic_embeddings/embedding_run_deltas.csv,35298,34.5
per_family_reports/single_model_final/semantic_embeddings/embedding_run_timebin_metrics.csv,182066,177.8
