condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag1,-0.05648044999550758,-0.08806885600985762,-0.08840848470540136,-0.01202605706199357,-0.07244107041928054,-0.06266972112358167,-0.06729784319863727,-0.14964965971512606,-0.24587918246592438,-0.22248038311302626,-0.23413293075562758,-0.23480590865344475,-0.2891506846370725,-0.2719741791877467,-0.28146225623386234,-0.2268217067786773,-0.25246740722079886,-0.23716312310642473,-0.24533819351266828,-0.19508939698517402,-0.06412242857509887,-0.20873500164465153,-0.19843912368182193,-0.2045263514663297,-18,-117,-12295.847363979003,0,Single-model final runs,45-60m,115,0-15m,232,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag1,-0.060917215324601814,-0.09953460168645703,-0.1001476722212227,-0.01106060589312334,-0.07802086639961363,-0.06794428500349774,-0.07268554715941386,-0.1650829126994271,-0.27067252960394717,-0.24933371956537798,-0.25951730613629853,-0.2657820926503386,-0.32713041998202663,-0.30659940748880965,-0.3170591647339459,-0.2627829125366039,-0.28956212490919564,-0.2750209544214389,-0.2835187134604499,-0.2312502806127067,-0.06816482321365136,-0.24517176655633155,-0.23434711343209025,-0.2411642888405936,-17,-134,-14054.845182611993,0,Single-model final runs,Q4,114,Q1,248,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag5,0.09055249185352476,0.052267428254823056,0.0512453495831407,0.1724920263773898,-0.07375278942256885,-0.021793906218165182,-0.04927545756779805,0.07016817208588377,-0.08716483773384154,-0.03695348449650815,-0.06620984926884821,0.015769669408469578,-0.047829424741948845,-0.021329963142610042,-0.036367399614836704,0.0007362320448116577,-0.031345405482664734,-0.016629065628887774,-0.02418732729030859,-0.004377185793362881,-0.013742744876073298,-0.01906553713360959,-0.009872668129886408,-0.015311205085834279,-2,-170,-13272.92644448473,0,Obsession prompting,Q4,29,Q1,199,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
dom-tech,-0.017844997586443034,-0.024630910649204973,-0.02482534205036796,-0.018769799755296496,-0.04998968265862544,-0.04136350531190275,-0.044535026942871425,-0.07152374673684658,-0.07491941996222617,-0.0954478225457781,-0.09003517467537792,-0.06595942091120588,-0.04604249167806718,-0.08444585778186742,-0.06121806174184996,-0.06109637629278586,-0.016619924898549354,-0.08033650958685801,-0.04908314888300669,-0.06323156820441211,-0.02297957403956119,-0.017342810669465414,-0.07705231391052259,-0.045957041408778654,0,-25,-4073.6904004897374,0,Single-model final runs,45-60m,82,0-15m,107,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
dom-tech,-0.03763122256494261,-0.038949048211745996,-0.03801327933320958,-0.04975920947200291,-0.018027398432873876,-0.019974284976836343,-0.022017157725012226,-0.10847388041204475,-0.023707891681078785,-0.051028657562348534,-0.030072920946608295,-0.07570165390224903,0.0012898339031836015,-0.037798030466253185,-0.007383949116410937,-0.06134804310119735,0.0034141913416971814,-0.04504392521376532,-0.00019497355664133131,-0.0623928987861464,-0.026863813406537318,0.0006743625302937373,-0.05395357981108562,-0.003609526122732465,0,31,-903.2171052741787,0,Single-model final runs,Q4,129,Q1,98,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
mag1,0.08849099552443623,0.028983980961609812,0.028046544638900273,0.1786999656034781,-0.09303167203194634,-0.04726224044564259,-0.0713335448645876,0.05601526152988323,-0.1307550294818216,-0.08618442179270203,-0.10963386033141831,-0.01825473647082365,-0.09878066240382,-0.05487906228586892,-0.08447405504473693,-0.029283242083464445,-0.07706438688334971,-0.046156828745150036,-0.06551521532709514,-0.03391755582394462,-0.021776839464934472,-0.06765807224708631,-0.03792048364456957,-0.057328675556144626,-2,-274,-15856.08306702334,0,Obsession prompting,Q4,33,Q1,307,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h
mag1,-0.025274434641908206,-0.05855438059330642,-0.0590559426084355,0.000564218976424391,-0.040139491069968974,-0.022568298787101204,-0.03253878730796683,-0.14424678246537503,-0.1925410840415127,-0.1711646794345023,-0.18138004305481925,-0.16323850669925577,-0.19570275233542933,-0.17116338427345357,-0.18304283444543334,-0.140562258640631,-0.1611565046012562,-0.14334323254756542,-0.15133132598568522,-0.12066333246346639,-0.06051405347762229,-0.13529842953170224,-0.12164583937503504,-0.12840831161673272,0,-38,-4965.125052370934,0,Single-model final runs,45-60m,96,0-15m,134,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag1,-0.02804640354815341,-0.05643196039009568,-0.05659092863416176,-0.020491174526101524,-0.02360736155415205,-0.019492168603581883,-0.022078598818774803,-0.14131891529998097,-0.1459029808127985,-0.1404417951205268,-0.14308470321359312,-0.14615624677375427,-0.14929573571719934,-0.14543576727221486,-0.1471006896836835,-0.12346428985042446,-0.1263369354589594,-0.12279193970790159,-0.12384548884004487,-0.10434822487196815,-0.06754575266874951,-0.10687431574757744,-0.10384859896515619,-0.10467430285826995,0,-2,-3616.2279282477434,0,Single-model final runs,Q4,121,Q1,123,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag5,-0.00615981782632502,-0.01284005418832368,-0.0125669240361449,0.011549673636079436,-0.02907588133190875,-0.01758116348634811,-0.022624543620179266,-0.03986118447981968,-0.1134875496428126,-0.08827938248020373,-0.10071650862337123,-0.04365544792191012,-0.08249070782651935,-0.06614478140779834,-0.07378331954505923,-0.017972226975624617,-0.035800570764337625,-0.02727193191961974,-0.03153810944648283,-0.005712947931194923,-0.039777696976904475,-0.01366222804884376,-0.008860093481477427,-0.01156454197777479,-2,-50,-12491.216164609805,0,Base model as tool,45-60m,86,0-15m,136,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,-0.01579948357906541,-0.02026605167074763,-0.019714235286413695,-0.0025245898599853545,-0.025498289126756668,-0.016648293400082115,-0.021812440602057823,-0.06750689814822786,-0.11240012258364906,-0.09207835383330931,-0.10200487621527476,-0.05975170052148848,-0.08462330235251947,-0.07230449271445127,-0.07793268219952865,-0.02507142071729851,-0.03709250857815716,-0.029673165293929604,-0.03311316600400682,-0.008291709227415067,-0.039841636296830574,-0.01368858965904518,-0.009828626015645159,-0.011888657639741118,-1,-31,-10840.817116607086,0,Base model as tool,Q4,101,Q1,132,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
