bin_idx,bin_label,condition,display_family_label,internal_family_label,mean_pairwise_cosine,mean_pairwise_cosine_ci_high,mean_pairwise_cosine_ci_low,model_display,model_family,n_agents,n_available,n_reps,n_used,roster_name,run_id,run_uid,scale,scheme,semantic_radius,semantic_radius_ci_high,semantic_radius_ci_low,source_path,vendi_score,vendi_score_ci_high,vendi_score_ci_low
0,0-15m,mag1,Single-model final runs,single_model_final,0.418404216170311,0.4278410077095032,0.4095137670636177,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,232,50,115,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,0.34927272498607637,0.35606797486543657,0.3421123564243317,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,5.598047570527565,5.761863518214441,5.4278814354987315
1,15-30m,mag1,Single-model final runs,single_model_final,0.4798790168762207,0.48805236890912057,0.47119691148400306,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,307,50,115,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,0.3040167409181595,0.31022126227617264,0.2982136979699135,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,4.603993456514357,4.727723575873009,4.482288659640496
2,30-45m,mag1,Single-model final runs,single_model_final,0.5327294337749481,0.5416636794805527,0.5226990863680839,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,221,50,115,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,0.2673471146821976,0.27415598183870316,0.2613193102180958,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,3.9916969444621935,4.081127410046143,3.87798558867834
3,45-60m,mag1,Single-model final runs,single_model_final,0.6583153009414673,0.6583153009414673,0.6583153009414673,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,115,1,115,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,0.18680472671985626,0.18680472671985626,0.18680472671985626,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,2.8743119811260094,2.8743119811260094,2.8743119811260094
0,Q1,mag1,Single-model final runs,single_model_final,0.423279629945755,0.4324716068804264,0.4155670404434204,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,248,50,114,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,0.34553486764431,0.35139098688960074,0.33860013335943223,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,5.525171314127861,5.6655080691904125,5.359117823584649
1,Q2,mag1,Single-model final runs,single_model_final,0.4830368781089783,0.4908475548028946,0.4757400773465633,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,303,50,114,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,0.30174322068691256,0.30693519338965414,0.2962146334350109,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,4.552834333588374,4.649417849075996,4.434678739005884
2,Q3,mag1,Single-model final runs,single_model_final,0.5248305881023407,0.5311331391334534,0.5166102975606919,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,225,50,114,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,0.2726813459396362,0.27830054983496666,0.2683949440717697,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,4.050950797210519,4.145633023438296,3.9729213567420674
3,Q4,mag1,Single-model final runs,single_model_final,0.6756103038787842,0.6756103038787842,0.6756103038787842,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,114,1,114,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,0.17631566524505615,0.17631566524505615,0.17631566524505615,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,2.7433280233542674,2.7433280233542674,2.7433280233542674
0,Q1,mag5,Obsession prompting,obsession_prompting,0.35318178236484526,0.3829629994928837,0.3322535574436188,GPT-5,gpt-5,10,199,50,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,0.38734355092048645,0.4039469614624977,0.36420133486390116,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,4.6840561176218,4.904662016020103,4.394928231657192
1,Q2,mag5,Obsession prompting,obsession_prompting,0.3755469727516174,0.4030324645340443,0.3440268225967884,GPT-5,gpt-5,10,279,50,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,0.36998759090900424,0.39449040964245796,0.3491415061056614,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,4.672740127966052,4.970581222883423,4.392372544407744
