condition,delta_dominant_share,delta_effective_topics,delta_topic_entropy_norm,delta_topic_hhi,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag1,-0.04981259370314839,-0.337169705668499,-0.059524621615073714,-0.03585081896832698,Single-model final runs,45-60m,115,0-15m,232,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag1,0.0024759479343520185,-0.49214444888813547,-0.09139017886640088,0.022890558016890772,Single-model final runs,Q4,114,Q1,248,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag5,-0.16271010223531446,1.1665596216947431,0.13537043460808962,-0.11019989796555957,Obsession prompting,Q4,29,Q1,199,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
dom-tech,0.18030544791429226,-0.731678966118884,-0.12871939330381416,0.15552779418686785,Single-model final runs,45-60m,82,0-15m,107,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
dom-tech,0.025866160417655437,-0.3286173078127188,-0.05335810418475395,0.04154366904541523,Single-model final runs,Q4,129,Q1,98,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
mag1,-0.05201855690455037,0.42964955147247874,0.0382000992156617,-0.039696168135437804,Obsession prompting,Q4,33,Q1,307,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h
mag1,-0.2425373134328358,0.9339858181358975,0.07224122731198568,-0.09777169423405357,Single-model final runs,45-60m,96,0-15m,134,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag1,-0.2070819055297991,0.803936370282468,0.06074617581465003,-0.0786991859083665,Single-model final runs,Q4,121,Q1,123,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag5,0.4852941176470589,-1.9878901273807013,-0.440486364103969,0.6065095155709344,Base model as tool,45-60m,86,0-15m,136,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag5,0.4696969696969697,-1.9861350215947273,-0.4402499049228289,0.602502295684114,Base model as tool,Q4,101,Q1,132,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
mag25,0.10555555555555557,-1.4915439852453094,-0.1535046772549183,0.12253086419753087,Obsession prompting,Q4,36,Q1,90,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h
dom-tech,-0.04565217391304344,0.32037961410775173,0.05657705040770378,-0.06304294715059333,Single-model final runs,45-60m,115,0-15m,124,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-tech-n10-run01,0e810c3a077d74956348bd4b33566f4e5e61696a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
dom-tech,-0.23918673918673916,0.3854386567954293,0.06870763512995887,-0.17434793354963712,Single-model final runs,Q4,162,Q1,143,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-tech-n10-run01,0e810c3a077d74956348bd4b33566f4e5e61696a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
dom-agi,0.37179487179487175,-1.4010173797233392,-0.21640714610566036,0.3006181685568704,Base model as tool,45-60m,52,0-15m,96,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
dom-agi,0.38251879699248126,-1.473003960377886,-0.23049074412090886,0.32213402396969876,Base model as tool,Q4,56,Q1,95,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,OLMo 3 32B Instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ee98d63b346418608942fa67b651868996e3851,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
mag5,0.039198547703892916,-0.014262531779361431,-0.0019486028555904533,-0.021213833546176286,Single-model final runs,45-60m,107,0-15m,139,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag5-n10-run01,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
mag5,0.044407190754743975,0.021130816033816835,0.002896888480380111,-0.02229150438440225,Single-model final runs,Q4,172,Q1,163,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag5-n10-run01,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
