internal_family_label,collapse_label,n_posts
base_model_as_tool,frame_convergence,6467
base_model_as_tool,novel_contribution,559
base_model_as_tool,template_repetition,474
base_model_as_tool,mild_rephrase,121
base_model_as_tool,source_grounded,34
base_model_as_tool,off_topic,25
mixed_model_roster,frame_convergence,434
mixed_model_roster,template_repetition,137
mixed_model_roster,novel_contribution,124
mixed_model_roster,source_grounded,21
mixed_model_roster,mild_rephrase,16
obsession_prompting,template_repetition,2240
obsession_prompting,frame_convergence,1596
obsession_prompting,novel_contribution,58
obsession_prompting,mild_rephrase,6
obsession_prompting,source_grounded,3
single_model_final,frame_convergence,22036
single_model_final,template_repetition,15711
single_model_final,novel_contribution,494
single_model_final,mild_rephrase,241
single_model_final,source_grounded,7
single_model_final,off_topic,1
