cluster_id,n_posts,n_runs,top_group,top_model,top_condition,seed_share,post_share
9,3950,37,entropy-collapse,gpt-5,mag25,0.0,0.04645419263789251
20,3480,88,entropy-collapse,gpt-5,dom-tech,0.00632183908045977,0.04092673174173821
0,3063,35,entropy-collapse,gpt-5,mag25,0.0,0.03602258026578854
29,2643,102,canonical-gemini-flash-lite,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.03108314712454428
17,2637,31,entropy-collapse,gpt-5,dom-tech,0.0,0.031012583793955075
19,2558,41,entropy-collapse,gpt-5,mag0,0.0,0.030083499941197224
44,2365,69,entropy-collapse,gpt-5,mag25,0.0,0.0278137128072445
10,2364,78,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,0.0,0.0278019522521463
15,2342,42,entropy-collapse,gpt-5,dom-agi,0.0,0.027543220039985886
16,2337,83,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.027484417264494885
42,2309,107,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.027155121721745265
31,2243,53,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.026378925085264026
13,2200,73,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0258732212160414
11,2131,78,entropy-collapse,moonshotai/kimi-k2.5,mag0,0.0,0.025061742914265554
38,2089,35,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.024567799600141126
7,1978,37,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.023262377984240856
2,1888,46,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.0222039280254028
43,1828,128,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.02149829471951076
24,1795,88,canonical-gemini-flash-lite,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.02111019640127014
41,1771,52,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.020827943078913325
25,1734,123,base-model,google/gemini-3.1-flash-lite-preview,mag1,0.0,0.020392802540279902
36,1728,67,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,0.0,0.020322239209690698
1,1725,107,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,0.0,0.020286957544396095
32,1683,81,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.019793014230271667
14,1610,11,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.01893449370810302
4,1540,64,base-model,google/gemini-3.1-flash-lite-preview,dom-tech,0.0,0.018111254851228976
6,1537,14,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.018075973185934378
12,1528,37,obsession,gpt-5,mag0,0.0,0.01797012819005057
26,1499,110,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.01762907209220275
47,1472,78,entropy-collapse,gpt-5,mag0,0.014945652173913044,0.017311537104551335
40,1469,39,base-model,olmo3-32b-instruct,mag0,0.0,0.017276255439256732
37,1442,42,entropy-collapse,moonshotai/kimi-k2.5,mag0,0.0,0.016958720451605316
5,1381,103,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.8008689355539464,0.016241326590615078
46,1371,118,entropy-collapse,gpt-5,mag25,0.0,0.01612372103963307
8,1358,96,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.015970833823356463
39,1352,83,entropy-collapse,z-ai/glm-5,mag5,0.0,0.01590027049276726
23,1298,30,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.0,0.015265200517464425
27,1296,53,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.015241679407268022
34,1237,40,base-model,olmo3-32b-base,mag0,0.0,0.014547806656474186
30,1232,95,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.7987012987012987,0.014489003880983183
35,1225,51,base-model,olmo3-32b-instruct,mag5,0.0,0.014406679995295778
18,1126,46,base-model,olmo3-32b-base,mag1,0.0,0.013242385040573915
33,1076,49,base-model,olmo3-32b-instruct,mag1,0.0,0.012654357285663883
3,1028,76,base-model,olmo3-32b-instruct,mag25,0.0,0.012089850640950252
21,944,52,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,0.0,0.0111019640127014
28,932,56,obsession,gpt-5,mag25,0.0,0.010960837351522992
22,764,55,base-model,olmo3-32b-instruct,mag5,0.0,0.008985064095025285
45,472,2,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0055509820063507
