model_family,n_runs,n_posts,mean_pairwise_cosine,dominant_cluster_share
google/gemini-3.1-flash-lite-preview,98,36543,0.42038359219322396,0.4775452506238459
gpt-5,34,25964,0.4516782813212451,0.33783757917427804
olmo3-32b-instruct,29,5650,0.5408751019116106,0.5960699919032622
gemini-flash-lite,6,5173,0.41343683501084644,0.25577520545263405
moonshotai/kimi-k2.5,7,4150,0.5273924469947815,0.43491122792160863
olmo3-32b-base,25,2755,0.42547415375709535,0.7110231725957311
z-ai/glm-5,6,1813,0.46129561463991803,0.3284378415919145
qwen3.5-35b-a3b-base,6,1433,0.3723512639602025,0.5004996918456297
mixed,3,807,0.39062537749608356,0.22933279597225165
qwen3.5-35b-a3b-instruct,12,277,0.35936584571997326,0.694967389329741
olmo3-32b-think,7,244,0.2817559518984386,0.6764076026502878
nvidia/nemotron-3-super-120b-a12b:free,8,221,0.41311248143513996,0.8023763652862014
