group,model_family,condition,scale,n_full_nonseed_cell,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,n_judged_cell
base-model,google/gemini-3.1-flash-lite-preview,dom-agi,n10,454,2.0,3.4375,4.0,3.75,2.5,1.3125,1.4375,2.6875,1.0,16
base-model,google/gemini-3.1-flash-lite-preview,dom-tech,n10,451,2.0625,3.8125,4.6875,4.25,2.25,1.375,1.1875,2.75,1.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag0,n10,351,2.25,3.375,4.375,3.9375,2.9375,1.375,1.4375,2.5625,1.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag1,n10,426,2.625,2.0625,2.5625,1.875,4.0625,2.625,3.0625,2.0625,1.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag25,n10,411,2.0,3.5625,4.5625,4.0,1.75,1.1875,1.375,2.75,1.0625,16
base-model,google/gemini-3.1-flash-lite-preview,mag5,n10,322,2.75,2.4375,3.25,2.625,3.375,2.1875,2.5625,2.375,1.125,16
base-model,olmo3-32b-base,dom-agi,n10,405,1.3529411764705883,4.352941176470588,4.588235294117647,4.529411764705882,1.588235294117647,1.2352941176470589,1.411764705882353,4.0588235294117645,1.1176470588235294,17
base-model,olmo3-32b-base,dom-tech,n10,473,1.125,4.375,4.75,4.75,1.4375,1.125,1.1875,4.0625,1.0,16
base-model,olmo3-32b-base,mag0,n10,629,1.3125,3.875,4.375,3.8125,1.625,1.125,1.4375,4.375,1.0,16
base-model,olmo3-32b-base,mag1,n10,406,1.0625,4.625,4.9375,4.875,1.125,1.0,1.375,4.125,1.0,16
base-model,olmo3-32b-base,mag25,n10,372,1.3125,4.0,4.6875,4.375,1.8125,1.25,1.5,4.3125,1.0,16
base-model,olmo3-32b-base,mag5,n10,389,1.5,4.1875,4.875,4.5625,2.0625,1.5,1.4375,4.1875,1.1875,16
base-model,olmo3-32b-instruct,dom-agi,n10,927,1.3125,4.375,4.75,4.375,2.0,1.125,1.875,4.0625,1.0,16
base-model,olmo3-32b-instruct,dom-tech,n10,772,1.5,4.1875,4.875,4.625,2.0,1.25,1.875,3.875,1.0,16
base-model,olmo3-32b-instruct,mag0,n10,1133,1.4375,4.25,4.625,4.3125,2.0625,1.1875,2.125,3.8125,1.0,16
base-model,olmo3-32b-instruct,mag1,n10,969,1.25,4.6875,5.0,4.8125,1.4375,1.0,2.125,3.875,1.0,16
base-model,olmo3-32b-instruct,mag25,n10,939,1.3125,4.5,4.9375,4.6875,1.6875,1.0625,1.9375,3.75,1.0,16
base-model,olmo3-32b-instruct,mag5,n10,789,1.3125,4.625,4.8125,4.6875,1.5,1.1875,1.875,3.8125,1.0,16
