cluster_id,n_posts,n_runs,top_group,top_model,top_condition,seed_share,post_share
16,3420,48,entropy-collapse,gpt-5,dom-agi,0.0049707602339181,0.0502571638501102
24,2429,23,entropy-collapse,gpt-5,mag25,0.0,0.0356943423952975
18,2354,43,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0345922116091109
44,2319,66,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0340778839088905
0,2248,45,entropy-collapse,gpt-5,mag1,0.0,0.0330345334313005
6,2175,91,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.0319617927994122
29,2114,27,entropy-collapse,gpt-5,mag25,0.0,0.0310653930933137
11,2050,26,entropy-collapse,gpt-5,dom-tech,0.0,0.0301249081557678
2,1987,40,entropy-collapse,gpt-5,dom-agi,0.0,0.029199118295371
41,1932,38,entropy-collapse,gpt-5,mag0,0.0,0.0283908890521675
38,1858,64,entropy-collapse,moonshotai/kimi-k2.5,mag0,0.0,0.02730345334313
12,1832,63,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.026921381337252
15,1808,27,entropy-collapse,gpt-5,mag25,0.0,0.0265686994856723
13,1805,47,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0265246142542248
42,1701,27,entropy-collapse,gpt-5,mag1,0.0,0.0249963262307127
37,1673,12,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0245848640705363
3,1637,90,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0240558412931667
47,1607,102,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,0.0,0.0236149889786921
7,1607,90,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.0236149889786921
5,1584,40,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0232770022042615
1,1578,112,entropy-collapse,gpt-5,mag25,0.0107731305449936,0.0231888317413666
10,1532,28,entropy-collapse,moonshotai/kimi-k2.5,mag0,0.0,0.0225128581925055
45,1529,72,entropy-collapse,z-ai/glm-5,mag5,0.0,0.022468772961058
30,1438,59,base-model,google/gemini-3.1-flash-lite-preview,dom-agi,0.0,0.0211315209404849
25,1345,101,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.6312267657992565,0.0197648787656135
23,1319,71,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0193828067597354
35,1316,93,base-model,google/gemini-3.1-flash-lite-preview,mag1,0.0,0.019338721528288
31,1302,26,obsession,gpt-5,mag0,0.0,0.0191329904481998
43,1275,37,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.0,0.0187362233651726
22,1240,55,base-model,olmo3-32b-instruct,mag5,0.0,0.0182218956649522
8,1232,13,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.0,0.018104335047759
4,1203,41,base-model,olmo3-32b-instruct,mag5,0.0,0.0176781778104335
33,1202,131,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,0.0,0.0176634827332843
36,1040,42,base-model,olmo3-32b-base,mag1,0.0,0.0152828802351212
21,1023,22,base-model,olmo3-32b-instruct,mag0,0.0,0.0150330639235856
28,939,44,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0137986774430565
32,914,77,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,0.8271334792122538,0.0134313005143277
26,882,38,base-model,olmo3-32b-instruct,mag0,0.0,0.0129610580455547
14,863,73,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0126818515797207
20,680,29,base-model,olmo3-32b-base,dom-tech,0.0,0.0099926524614254
17,590,81,base-model,olmo3-32b-instruct,mag0,0.0288135593220339,0.0086700955180014
40,584,27,base-model,olmo3-32b-base,mag0,0.0,0.0085819250551065
27,580,12,obsession,gpt-5,mag5,0.0,0.0085231447465099
9,577,35,base-model,olmo3-32b-instruct,mag25,0.0,0.0084790595150624
39,563,3,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0082733284349742
34,471,1,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.006921381337252
19,361,8,entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,0.0,0.0053049228508449
46,332,1,entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,0.0,0.0048787656135194
