model_family,n_runs,n_posts,mean_pairwise_cosine,dominant_cluster_share
olmo3-32b-instruct,29,5650,0.5408751019116106,0.5681223001245783
moonshotai/kimi-k2.5,7,4150,0.5273924469947815,0.4208086996154933
z-ai/glm-5,6,1813,0.461295614639918,0.3970036565544808
gpt-5,26,24105,0.4530343619676736,0.3141977238180564
olmo3-32b-base,25,2755,0.4254741537570953,0.5925486359342209
google/gemini-3.1-flash-lite-preview,86,27402,0.4162983979250109,0.5068992508706989
nvidia/nemotron-3-super-120b-a12b:free,8,221,0.4131124814351399,0.8206975553287028
qwen3.5-35b-a3b-base,6,1433,0.3723512639602025,0.5314377916325873
qwen3.5-35b-a3b-instruct,12,277,0.3593658457199732,0.5840008088928182
olmo3-32b-think,7,244,0.2817559518984386,0.5208670813519845
