model_family,n_runs,n_posts,embedding_mean_pairwise_cosine,dominant_cluster_share,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged_sample,sample_collapse_index,n_full_nonseed_posts_with_judged_cells,n_judged_y,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,weighted_collapse_index
olmo3-32b-instruct,29,5650,0.5408751019116106,0.5960699919032622,1.3541666666666667,4.4375,4.833333333333333,4.583333333333333,1.78125,1.1354166666666667,1.96875,3.8645833333333335,1.0,96,4.429687499999999,5529,96,1.3533414722372943,4.434877464279255,4.82641526496654,4.571441490323748,1.7898015011756194,1.1316580756013745,1.9806587990595044,3.8634811900886237,1.0,4.424053852414541
olmo3-32b-base,25,2755,0.4254741537570953,0.7110231725957311,1.25,4.270833333333333,4.739583333333333,4.520833333333333,1.5833333333333333,1.1875,1.3645833333333333,4.21875,1.0416666666666667,96,4.4375,2674,96,1.2497195213163799,4.244296933433059,4.709213724756919,4.469007105459985,1.5772485041136874,1.1779637247569186,1.3640847045624533,4.226860508601346,1.036742707554226,4.412344568062827
google/gemini-3.1-flash-lite-preview,98,36543,0.4203835921932239,0.4775452506238459,1.691275167785235,4.120805369127517,4.614093959731544,4.238255033557047,2.271812080536913,1.3708053691275168,1.5134228187919463,3.291946308724832,1.00503355704698,596,4.066275167785235,35655,596,1.5803088004828987,4.311040979039998,4.753716887611694,4.397858442262177,2.1761609870940974,1.311865012484191,1.4381395612416645,3.454343087664498,1.001849319870986,4.229239849144592
gpt-5,34,25964,0.4516782813212451,0.337837579174278,2.0579064587973273,3.708240534521158,4.403118040089087,3.828507795100222,3.4387527839643655,1.7861915367483296,2.374164810690423,3.971046770601336,1.022271714922049,449,3.9777282850779505,25430,449,2.001179419860748,3.806564155351484,4.502960259998612,3.9863532534523842,3.471128067821702,1.792979574842127,2.3367036964215493,4.063356156461798,1.0213699370821865,4.089808456316069
moonshotai/kimi-k2.5,7,4150,0.5273924469947815,0.4349112279216086,1.7916666666666667,3.9895833333333335,4.645833333333333,4.3125,1.8645833333333333,1.1875,2.6979166666666665,3.21875,1.0,96,4.041666666666666,4069,96,1.7636089948390268,4.00342528876874,4.640436839518309,4.306494224625215,1.82758355861391,1.1663492258540182,2.6949649791103467,3.2323205947407225,1.0,4.0456692369132465
gemini-flash-lite,6,5173,0.4134368350108464,0.255775205452634,1.8333333333333333,4.03125,4.833333333333333,4.239583333333333,2.3541666666666665,1.2604166666666667,1.7604166666666667,2.6666666666666665,1.0,96,3.9427083333333326,5063,96,1.8896775627098559,3.9738667785897688,4.80958670748568,4.155083448548291,2.443375962867865,1.3009579300809797,1.7784539798538417,2.606680821647245,1.0,3.886304439067746
nvidia/nemotron-3-super-120b-a12b:free,8,221,0.4131124814351399,0.8023763652862014,1.7142857142857142,3.4642857142857144,3.821428571428571,3.2142857142857144,1.5714285714285714,1.0,2.6785714285714284,2.857142857142857,1.0,28,3.3392857142857144,139,28,1.6375899280575539,3.9905575539568345,4.2621402877697845,3.72976618705036,1.4199640287769784,1.0,2.347122302158273,3.1236510791366907,1.0,3.776528776978417
qwen3.5-35b-a3b-base,6,1433,0.3723512639602025,0.5004996918456297,2.5625,3.0729166666666665,3.8958333333333335,3.3541666666666665,3.0416666666666665,1.9479166666666667,1.9270833333333333,2.3645833333333335,1.0416666666666667,96,3.171875,1433,96,2.5006978367062107,3.1230809490579206,3.942559316120028,3.425069783670621,2.9323098394975577,1.833347871598046,1.8193911374738312,2.390788555478018,1.032013258897418,3.220374651081647
z-ai/glm-5,6,1813,0.461295614639918,0.3284378415919145,2.6875,3.0208333333333335,3.9270833333333335,3.1666666666666665,2.5833333333333335,1.5729166666666667,3.625,2.1458333333333335,1.0520833333333333,96,3.065104166666667,1732,96,2.7278796189376444,2.978204387990762,3.8889650692840645,3.1172416281755195,2.6045395496535795,1.598729792147806,3.6679056004618937,2.094435623556582,1.060262702078522,3.019711677251732
mixed,3,807,0.3906253774960835,0.2293327959722516,2.75,2.75,3.625,2.9375,3.0625,2.3125,3.25,2.4375,1.4375,16,2.9375,732,16,2.75,2.75,3.625,2.9375,3.0625,2.3125,3.25,2.4375,1.4375,2.9375
qwen3.5-35b-a3b-instruct,12,277,0.3593658457199732,0.694967389329741,2.2181818181818183,2.618181818181818,3.2181818181818183,2.5272727272727273,3.0545454545454547,1.5454545454545454,2.7636363636363637,2.418181818181818,1.0,55,2.6954545454545453,196,55,2.1818877551020406,2.7215136054421767,3.3697278911564625,2.688860544217687,2.917602040816327,1.4633503401360544,2.6371598639455787,2.51062925170068,1.0,2.822682823129252
olmo3-32b-think,7,244,0.2817559518984386,0.6764076026502878,1.9577464788732395,2.267605633802817,2.507042253521127,1.943661971830986,2.4507042253521125,1.267605633802817,2.112676056338028,3.056338028169014,1.0704225352112675,71,2.443661971830986,244,71,1.9152436247723132,2.404800686562982,2.64729140395124,2.0671194129185935,2.4328236654056323,1.3678760333473445,2.1156692237634864,3.1526289057026764,1.0881672971836904,2.567960102283873
