group,condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
base-model,dom-agi,2132,85,1.6174659943714822,4.034465651609179,4.514269735892625,4.20891813392986,2.0907440648001154,1.1909794883821618,1.5998092257179968,3.5514301306104774,1.012918981815558,4.077270913010535
base-model,dom-tech,2082,89,1.6657453077662012,3.9463279575851624,4.595866739328555,4.324921796103353,2.0380651309145543,1.302590581048794,1.506591911130816,3.459890483755758,1.014224488287889,4.081751744193207
base-model,mag0,2404,81,1.5960378535773712,3.9374393372157512,4.492616472545757,4.077405712701054,2.119063713255685,1.204762895174709,1.7797074320576818,3.6528182196339434,1.0,4.0400699355241265
base-model,mag1,2099,86,1.698093668942883,3.788751918903181,4.157376528505637,3.7945384045312585,2.283845481975544,1.581669181091525,2.317307183314806,3.2831573235932456,1.0,3.7559560438833306
base-model,mag25,2063,84,1.5803057844562935,4.014228873808371,4.660833737275811,4.320768702536759,1.785282355792535,1.1377767005978348,1.655552189368234,3.492183713039263,1.0156830667312977,4.122003756665051
base-model,mag5,1711,85,1.8577839095445756,3.8225256260396527,4.312027941374814,3.9719406105291553,2.294853999010925,1.6652963853796698,2.057964865350897,3.408729712718608,1.0830289304500291,3.8788059726655577
canonical-gemini-flash-lite,dom-agi,1725,48,1.7313405797101449,4.181884057971015,4.817717391304348,4.380507246376812,2.088768115942029,1.2455797101449275,1.6218840579710145,3.142246376811594,1.0,4.130588768115943
canonical-gemini-flash-lite,dom-tech,2159,48,1.37691060676239,4.529990736452061,4.890950671607226,4.568318666049096,2.0189613246873552,1.2135826771653544,1.2558765632237148,3.380210745715609,1.0,4.342367704955998
canonical-gemini-flash-lite,mag0,2498,48,1.6817203763010409,4.2217273819055245,4.763360688550841,4.272417934347478,2.3881104883907125,1.2470726581265013,1.5847427942353882,2.9627702161729386,1.0,4.0550690552441955
canonical-gemini-flash-lite,mag1,2428,48,1.654628294892916,4.327610172981878,4.859889827018122,4.44231363261944,2.5230642504118617,1.3861974876441516,1.368281507413509,3.218466845140033,1.0,4.212070119439868
canonical-gemini-flash-lite,mag25,2524,48,1.711222266244057,4.212064183835182,4.854893026941363,4.447850633914421,2.3228506339144217,1.2473751980982568,1.577505942947702,2.896543185419968,1.0,4.102837757527734
canonical-gemini-flash-lite,mag5,2737,48,1.8489906832298137,3.953347643405188,4.70252557544757,3.9884453781512605,2.484152356594812,1.377717391304348,1.7296081476068688,2.727781329923274,1.0,3.8430249817318227
entropy-collapse,dom-agi,7038,129,1.7828928672918443,4.0506891162262,4.590810599602159,4.14476768968457,2.5083297811878373,1.4774349957374253,1.9221280903665814,3.8791116084114807,1.0074062233589087,4.166344753481103
entropy-collapse,dom-tech,6589,127,1.8534349807611616,4.050410443430673,4.659129967057395,4.214349562104398,2.724964959424353,1.5740310276485765,1.9010332506048404,3.5720351655611404,1.0023998330550918,4.123981284538401
entropy-collapse,mag0,11072,140,1.7852712270877698,4.085320129487375,4.603581877947216,4.14475971868345,2.6994216682195007,1.4297050288066626,1.8099039540234254,3.461240243287953,1.0344449963872833,4.073725492351499
entropy-collapse,mag1,6863,145,1.7933655321373778,4.051688615851412,4.674472448166211,4.215042726984427,2.8416653452871747,1.5526603654721396,2.162465394142503,3.4408545182607506,1.0024224100247705,4.095514577315701
entropy-collapse,mag25,9363,131,1.7628698066858912,4.131388176866389,4.732477571291253,4.432733899391221,2.7008237210295847,1.5279958346683755,2.1496849300437892,3.83364039303642,1.0,4.28256001014632
entropy-collapse,mag5,9075,131,1.5037511478420569,4.3905662687480875,4.8465419344964795,4.539230180593817,2.0982254361799817,1.2266758494031222,1.8532958371594737,4.064139883685338,1.0,4.46011956688093
frontier/mixed-model,mag25,732,16,2.75,2.75,3.625,2.9375,3.0625,2.3125,3.25,2.4375,1.4375,2.9375
obsession,dom-agi,499,20,2.63001002004008,3.053982965931864,3.743987975951904,2.9299849699398797,4.17998496993988,2.183992985971944,2.621993987975952,4.041958917835672,1.0,3.4424787074148298
obsession,dom-tech,595,16,2.75,2.6875,3.75,2.8125,4.25,2.25,2.1875,4.125,1.0,3.34375
obsession,mag0,606,18,2.690181518151815,3.1196369636963697,3.9933993399339935,3.1196369636963697,4.4950495049504955,2.8081683168316833,2.6918316831683167,4.176980198019802,1.1245874587458746,3.6024133663366333
obsession,mag1,726,17,2.3148243801652892,3.122073002754821,4.122073002754821,3.371728650137741,4.24965564738292,2.1886191460055096,2.3162017906336088,4.432765151515151,1.0,3.7621599517906334
obsession,mag25,914,22,2.3342450765864333,3.4806710430342815,4.2403355215171405,3.4447483588621446,4.143690736688549,2.1270970094821298,2.2955871626549964,3.897884755652808,1.0552516411378556,3.7659099197665933
obsession,mag5,563,17,2.689831261101243,2.9340586145648313,3.8092806394316163,3.0588365896980463,4.374333925399645,2.75044404973357,2.689831261101243,3.9322824156305507,1.0,3.4336145648312613
source-citation,dom-agi,370,16,2.0,3.375,4.0,3.3125,2.5,1.5625,2.0625,3.0625,1.0,3.4375
source-citation,dom-tech,490,16,1.8125,3.75,4.1875,3.625,3.0625,1.4375,2.0,3.8125,1.0,3.84375
source-citation,mag25,447,16,1.8125,4.0625,4.5625,3.875,3.0,1.6875,3.0,3.75,1.125,4.0625
source-citation,mag5,392,16,1.5,4.5,4.9375,4.625,3.0,1.25,2.4375,4.6875,1.0,4.6875
