model_family,condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
gemini-flash-lite,dom-agi,1066,32,1.796435272045028,4.078564727954972,4.875,4.328564727954972,2.2749765478424013,1.1803470919324577,1.8678470919324577,2.6267589118198873,1.0,3.9772220919324583
gemini-flash-lite,dom-tech,331,16,1.5,4.375,4.875,4.5,2.0625,1.1875,1.625,3.0,1.0,4.1875
gemini-flash-lite,mag25,1352,16,1.8125,4.1875,5.0,4.5625,2.25,1.1875,1.625,2.6875,1.0,4.109375
gemini-flash-lite,mag5,2314,32,1.8680585566119274,3.905088591184097,4.6875,3.842588591184097,2.532411408815903,1.3055585566119274,1.6319414433880726,2.530088591184097,1.0,3.7413164433880723
google/gemini-3.1-flash-lite-preview,dom-agi,3807,84,1.4084416863672182,4.462076438140268,4.752331231941161,4.481005384817442,1.7078572366692935,1.1363114000525347,1.3012214342001576,3.950600866824271,1.0,4.4115034804307856
google/gemini-3.1-flash-lite-preview,dom-tech,5071,92,1.411913330704003,4.474364030763163,4.838123644251627,4.492358509169789,2.1031971011634787,1.245082330901203,1.2735283967659239,3.4476434628278447,1.0,4.313122411753106
google/gemini-3.1-flash-lite-preview,mag0,9262,118,1.5786547182034119,4.3497962103217445,4.844924152450875,4.399603217447636,2.3868967285683436,1.3043146728568344,1.3631167674368387,3.250816508313539,1.0062756424098467,4.211285022133449
google/gemini-3.1-flash-lite-preview,mag1,5676,113,1.7882972163495419,4.054582892882311,4.626871916842847,4.191243833685694,2.6603572057787175,1.6694084742776603,1.6098264622973926,3.0078510394644113,1.0637883192389006,3.970137420718816
google/gemini-3.1-flash-lite-preview,mag25,5843,102,1.5643433738376407,4.306638285127503,4.825260996063666,4.5596119288036965,2.0293050088424893,1.3083033829653716,1.4210379941810714,3.417418991385704,1.0043962861543727,4.277232550345143
google/gemini-3.1-flash-lite-preview,mag5,5996,81,1.37353027018012,4.465278935957305,4.76834556370914,4.534992078052035,1.6448674116077384,1.138613242161441,1.3858301367578385,3.9544279519679786,1.006712808539026,4.4307611324216145
gpt-5,dom-agi,7302,128,1.879194056422898,3.9161359901396877,4.5681748151191455,4.0511418104628865,3.405043138866064,1.7521655026020269,1.8769686387291153,4.108326485894276,1.0254211175020542,4.160944775403999
gpt-5,dom-tech,6853,128,2.014482708302933,3.7685958704217133,4.444713993871297,3.987988837005691,3.4359495841237413,1.841839340434846,1.996890048154093,3.952995038669196,1.0,4.038573434991974
gpt-5,mag0,7135,112,2.121907848633497,3.7273826208829712,4.483426769446391,3.9165907498248074,3.592309039943938,1.7959004905395937,2.2456201822004203,4.03562543798178,1.0921075683251578,4.040756394533988
gpt-5,mag1,7094,112,1.8330895827459825,4.014695517338596,4.656928390188892,4.2006449111925575,3.4060209331829716,1.714177473921624,2.596067098956865,4.0901377925007045,1.0,4.2406016528051875
gpt-5,mag25,9621,128,1.9646736305997297,3.882529103003846,4.567034351938468,4.222949797318366,3.602653050618439,1.9303541731628728,2.637453227315248,4.227464660638187,1.01287548071926,4.224994478224717
gpt-5,mag5,6647,128,1.7136866255453589,4.176959530615315,4.705872950203099,4.368277042274711,3.47388859635926,1.5579960884609598,2.453832556040319,4.359184594553934,1.0,4.4025735294117645
mixed,mag25,732,16,2.4375,3.25,4.1875,3.3125,2.875,2.1875,3.125,2.75,1.5625,3.375
moonshotai/kimi-k2.5,dom-agi,1224,32,1.9375,4.0,4.625,4.125,1.90625,1.21875,2.5,3.25,1.0,4.0
moonshotai/kimi-k2.5,dom-tech,1254,32,1.90625,4.03125,4.71875,4.4375,1.9375,1.15625,2.6875,3.21875,1.0,4.1015625
moonshotai/kimi-k2.5,mag0,1672,32,1.6854066985645932,4.235944976076555,4.610944976076555,4.3216208133971294,1.576555023923445,1.1320275119617225,2.4445275119617227,3.3054724880382773,1.0,4.118495813397129
moonshotai/kimi-k2.5,mag1,910,32,2.0,3.71875,4.65625,4.3125,2.0,1.15625,2.75,2.84375,1.0,3.8828125
moonshotai/kimi-k2.5,mag25,1346,32,1.5625,4.1875,4.84375,4.5625,1.4375,1.03125,1.84375,3.65625,1.0,4.3125
moonshotai/kimi-k2.5,mag5,1300,32,2.0625,3.6875,4.4375,3.96875,2.15625,1.3125,2.9375,2.9375,1.0,3.7578125
nvidia/nemotron-3-super-120b-a12b:free,dom-agi,1,1,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.75
nvidia/nemotron-3-super-120b-a12b:free,dom-tech,2,2,2.0,2.5,3.5,2.5,2.0,1.0,3.5,2.5,1.0,2.75
nvidia/nemotron-3-super-120b-a12b:free,mag0,11,5,1.0909090909090908,3.1363636363636362,2.909090909090909,2.227272727272727,1.0909090909090908,1.0,2.5454545454545454,2.909090909090909,1.0,2.795454545454545
nvidia/nemotron-3-super-120b-a12b:free,mag1,121,16,1.625,4.0,4.375,3.9375,1.625,1.0625,2.4375,3.5,1.0,3.953125
nvidia/nemotron-3-super-120b-a12b:free,mag25,3,3,2.0,2.3333333333333335,3.0,2.3333333333333335,2.0,1.0,3.6666666666666665,1.6666666666666667,1.0,2.3333333333333335
nvidia/nemotron-3-super-120b-a12b:free,mag5,1,1,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,2.25
olmo3-32b-base,dom-agi,405,17,1.3529411764705883,4.352941176470588,4.588235294117647,4.529411764705882,1.5882352941176472,1.2352941176470589,1.4117647058823528,4.0588235294117645,1.1176470588235294,4.382352941176471
olmo3-32b-base,dom-tech,473,16,1.125,4.375,4.75,4.75,1.4375,1.125,1.1875,4.0625,1.0,4.484375
olmo3-32b-base,mag0,629,16,1.3125,3.875,4.375,3.8125,1.625,1.125,1.4375,4.375,1.0,4.109375
olmo3-32b-base,mag1,406,16,1.0625,4.625,4.9375,4.875,1.125,1.0,1.375,4.125,1.0,4.640625
