model_family,group,condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
gemini-flash-lite,canonical-gemini-flash-lite,dom-agi,1066,32,1.835717636022514,4.0625,4.8982176360225145,4.383911819887429,2.2981941838649154,1.2428470919324577,1.851782363977486,2.6892589118198873,1.0,4.008472091932458
gemini-flash-lite,canonical-gemini-flash-lite,dom-tech,331,16,1.5625,4.3125,4.875,4.5625,2.0625,1.1875,1.5625,3.125,1.0,4.21875
gemini-flash-lite,canonical-gemini-flash-lite,mag25,1352,16,1.875,4.125,5.0,4.4375,2.3125,1.125,1.6875,2.625,1.0,4.046875
gemini-flash-lite,canonical-gemini-flash-lite,mag5,2314,32,1.969911408815903,3.7962942955920482,4.648147147796024,3.826382886776145,2.6412057044079518,1.446764261019879,1.8287057044079515,2.4837942955920482,1.0,3.6886546564390663
google/gemini-3.1-flash-lite-preview,base-model,dom-agi,454,16,2.0,3.4375,4.0,3.75,2.5,1.3125,1.4375,2.6875,1.0,3.46875
google/gemini-3.1-flash-lite-preview,base-model,dom-tech,451,16,2.0625,3.8125,4.6875,4.25,2.25,1.375,1.1875,2.75,1.0,3.875
google/gemini-3.1-flash-lite-preview,base-model,mag0,351,16,2.25,3.375,4.375,3.9375,2.9375,1.375,1.4375,2.5625,1.0,3.5625
google/gemini-3.1-flash-lite-preview,base-model,mag1,426,16,2.625,2.0625,2.5625,1.875,4.0625,2.625,3.0625,2.0625,1.0,2.140625
google/gemini-3.1-flash-lite-preview,base-model,mag25,411,16,2.0,3.5625,4.5625,4.0,1.75,1.1875,1.375,2.75,1.0625,3.71875
google/gemini-3.1-flash-lite-preview,base-model,mag5,322,16,2.75,2.4375,3.25,2.625,3.375,2.1875,2.5625,2.375,1.125,2.671875
google/gemini-3.1-flash-lite-preview,canonical-gemini-flash-lite,dom-agi,659,16,1.5625,4.375,4.6875,4.375,1.75,1.25,1.25,3.875,1.0,4.328125
google/gemini-3.1-flash-lite-preview,canonical-gemini-flash-lite,dom-tech,1828,32,1.3433055251641137,4.569372264770241,4.893838894967177,4.569372264770241,2.011077680525164,1.2183055251641137,1.2003555798687089,3.426422319474836,1.0,4.364751435995624
google/gemini-3.1-flash-lite-preview,canonical-gemini-flash-lite,mag0,2498,48,1.6817203763010409,4.2217273819055245,4.763360688550841,4.272417934347478,2.3881104883907125,1.2470726581265013,1.5847427942353882,2.9627702161729386,1.0,4.0550690552441955
google/gemini-3.1-flash-lite-preview,canonical-gemini-flash-lite,mag1,2428,48,1.654628294892916,4.327610172981878,4.859889827018122,4.44231363261944,2.5230642504118617,1.3861974876441516,1.368281507413509,3.218466845140033,1.0,4.212070119439868
