group,claim_behavior,count,total,proportion
base-model,no_checkable_claim,282,510,0.5529411764705883
base-model,specific_claim_supported,100,510,0.19607843137254902
base-model,specific_claim_unsupported,117,510,0.22941176470588234
base-model,conspiracy_or_speculative,11,510,0.021568627450980392
canonical-gemini-flash-lite,no_checkable_claim,113,288,0.3923611111111111
canonical-gemini-flash-lite,specific_claim_supported,56,288,0.19444444444444445
canonical-gemini-flash-lite,specific_claim_unsupported,117,288,0.40625
canonical-gemini-flash-lite,debunking_or_correction,2,288,0.006944444444444444
entropy-collapse,no_checkable_claim,488,803,0.6077210460772104
entropy-collapse,specific_claim_supported,201,803,0.2503113325031133
entropy-collapse,specific_claim_unsupported,114,803,0.14196762141967623
frontier/mixed-model,no_checkable_claim,7,16,0.4375
frontier/mixed-model,specific_claim_supported,7,16,0.4375
frontier/mixed-model,conspiracy_or_speculative,1,16,0.0625
frontier/mixed-model,debunking_or_correction,1,16,0.0625
obsession,no_checkable_claim,21,110,0.19090909090909092
obsession,specific_claim_supported,87,110,0.7909090909090909
obsession,specific_claim_unsupported,2,110,0.01818181818181818
source-citation,no_checkable_claim,39,64,0.609375
source-citation,specific_claim_supported,20,64,0.3125
source-citation,specific_claim_unsupported,5,64,0.078125
