group,collapse_label,count,total,proportion
base-model,novel_contribution,110,511,0.21526418786692758
base-model,mild_rephrase,22,511,0.043052837573385516
base-model,frame_convergence,272,511,0.5322896281800391
base-model,template_repetition,87,511,0.17025440313111545
base-model,source_grounded,1,511,0.0019569471624266144
base-model,off_topic,19,511,0.03718199608610567
canonical-48,novel_contribution,69,768,0.08984375
canonical-48,mild_rephrase,9,768,0.01171875
canonical-48,frame_convergence,402,768,0.5234375
canonical-48,template_repetition,288,768,0.375
entropy-collapse,novel_contribution,78,796,0.09798994974874371
entropy-collapse,mild_rephrase,11,796,0.013819095477386936
entropy-collapse,frame_convergence,387,796,0.4861809045226131
entropy-collapse,template_repetition,318,796,0.39949748743718594
entropy-collapse,source_grounded,1,796,0.001256281407035176
entropy-collapse,off_topic,1,796,0.001256281407035176
frontier/mixed-model,novel_contribution,4,16,0.25
frontier/mixed-model,frame_convergence,8,16,0.5
frontier/mixed-model,template_repetition,4,16,0.25
obsession,novel_contribution,37,110,0.33636363636363636
obsession,frame_convergence,20,110,0.18181818181818182
obsession,template_repetition,52,110,0.4727272727272727
obsession,off_topic,1,110,0.00909090909090909
source-citation,novel_contribution,12,64,0.1875
source-citation,mild_rephrase,2,64,0.03125
source-citation,frame_convergence,13,64,0.203125
source-citation,template_repetition,36,64,0.5625
source-citation,off_topic,1,64,0.015625
