model_family,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged
gemini-flash-lite,1.7708333333333333,4.09375,4.833333333333333,4.239583333333333,2.2916666666666665,1.2083333333333333,1.7083333333333333,2.65625,1.0,96
google/gemini-3.1-flash-lite-preview,1.6627118644067798,4.135593220338983,4.628813559322034,4.262711864406779,2.2491525423728813,1.383050847457627,1.4898305084745762,3.2932203389830508,1.0169491525423728,590
gpt-5,2.014945652173913,3.7839673913043477,4.4646739130434785,3.979619565217391,3.4592391304347827,1.763586956521739,2.354619565217391,4.024456521739131,1.028532608695652,736
mixed,2.4375,3.25,4.1875,3.3125,2.875,2.1875,3.125,2.75,1.5625,16
moonshotai/kimi-k2.5,1.8697916666666667,3.96875,4.640625,4.28125,1.84375,1.171875,2.53125,3.1979166666666665,1.0,192
nvidia/nemotron-3-super-120b-a12b:free,1.6428571428571428,3.392857142857143,3.75,3.1785714285714284,1.6428571428571428,1.0357142857142858,2.7857142857142856,3.0,1.0,28
olmo3-32b-base,1.2783505154639174,4.237113402061856,4.701030927835052,4.484536082474227,1.6082474226804124,1.2061855670103092,1.3917525773195876,4.185567010309279,1.0515463917525774,97
olmo3-32b-instruct,1.3541666666666667,4.4375,4.833333333333333,4.583333333333333,1.78125,1.1354166666666667,1.96875,3.8645833333333335,1.0,96
olmo3-32b-think,1.9577464788732395,2.267605633802817,2.507042253521127,1.943661971830986,2.4507042253521125,1.267605633802817,2.112676056338028,3.056338028169014,1.0704225352112675,71
qwen3.5-35b-a3b-base,2.5625,3.0729166666666665,3.8958333333333335,3.3541666666666665,3.0416666666666665,1.9479166666666667,1.9270833333333333,2.3645833333333335,1.0416666666666667,96
qwen3.5-35b-a3b-instruct,2.2181818181818183,2.618181818181818,3.2181818181818183,2.5272727272727273,3.0545454545454547,1.5454545454545454,2.7636363636363637,2.418181818181818,1.0,55
z-ai/glm-5,2.7291666666666665,2.9635416666666665,3.8697916666666665,3.1302083333333335,2.6770833333333335,1.578125,3.546875,2.1770833333333335,1.0572916666666667,192
