model_family,n_runs,delta_vendi_score_mean,delta_vendi_score_ci_low,delta_vendi_score_ci_high,delta_vendi_score_n_negative,delta_mean_pairwise_cosine_mean,delta_mean_pairwise_cosine_ci_low,delta_mean_pairwise_cosine_ci_high,delta_mean_pairwise_cosine_n_negative,delta_semantic_radius_mean,delta_semantic_radius_ci_low,delta_semantic_radius_ci_high,delta_semantic_radius_n_negative
google/gemini-3.1-flash-lite-preview,32,-2.6376898042337458,-3.1018346480613914,-2.1982271330562133,31,0.2082173478218817,0.1497543813720826,0.26887452494232883,2,-0.1373831527007203,-0.1740121838726824,-0.10146497497184864,29
gpt-5,26,-0.13743452993308747,-0.5054093637628346,0.26311051293270243,21,0.021944143451177157,0.012274154390280062,0.03019080491593251,4,-0.015779673480070554,-0.021567807719111442,-0.008838076760562566,22
moonshotai/kimi-k2.5,7,-0.524927310690196,-0.8533386762945783,-0.15585891927282947,6,0.028251188141959056,0.0011089439902986801,0.05359591862985064,2,-0.018799654075077603,-0.03577577508985996,-0.0011466335505247174,5
nvidia/nemotron-3-super-120b-a12b:free,1,-1.3824958188267775,-1.3824958188267775,-1.3824958188267775,1,0.1179933249950409,0.1179933249950409,0.1179933249950409,0,-0.09078744053840637,-0.09078744053840637,-0.09078744053840637,1
olmo3-32b-base,11,-2.6374188208468277,-3.3964373935006122,-1.8499030144031656,10,0.19945778250694274,0.10955690443515777,0.30738025970757005,1,-0.16990545354783534,-0.2310022676270455,-0.10712239653803408,9
olmo3-32b-instruct,13,-0.8462095210333506,-1.4593975480723465,-0.32213227568715436,10,0.04562273392310509,-0.005497060716152191,0.10346290612450013,5,-0.03531812933775095,-0.07330489769004858,-0.0019882870694765717,8
olmo3-32b-think,4,-3.4637209279504493,-3.4637209279504493,-3.4637209279504493,1,0.09904131293296814,0.09904131293296814,0.09904131293296814,0,-0.2082601636648178,-0.2082601636648178,-0.2082601636648178,1
qwen3.5-35b-a3b-base,6,-1.8463708432724044,-3.0509560122781565,-0.8094689775035873,6,0.03146624565124512,-0.07051760032773018,0.12282513082027435,2,-0.03510607282320658,-0.10538131495316823,0.04271910587946574,4
qwen3.5-35b-a3b-instruct,1,-1.171188412025479,-1.171188412025479,-1.171188412025479,1,0.25531497597694397,0.25531497597694397,0.25531497597694397,0,-0.16617408394813538,-0.16617408394813538,-0.16617408394813538,1
z-ai/glm-5,6,-0.28055221328803476,-0.6208559903028643,0.2139366304648207,5,0.009759326775868734,0.005983556310335795,0.0137882012873888,0,-0.008156925439834595,-0.01219150461256504,-0.003917025278011957,5
