dataset_source,group,model_family,condition,scale,run_path,q1_vendi_score,q4_vendi_score,delta_vendi_score,q1_mean_pairwise_cosine,q4_mean_pairwise_cosine,delta_mean_pairwise_cosine,q1_semantic_radius,q4_semantic_radius,delta_semantic_radius,q1_posts,q4_posts
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.294045078006665,4.745055467811433,-0.5489896101952318,0.4684692919254303,0.3994377553462982,-0.06903153657913208,0.3122691214084625,0.3545569181442261,0.04228779673576355,118,35
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6.517308316689709,4.107792477074015,-2.409515839615694,0.37754935026168823,0.4944407641887665,0.11689141392707825,0.3805549442768097,0.2887119650840759,-0.09184297919273376,101,44
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.8516899375218125,4.161344727541238,-1.690345209980575,0.4024180471897125,0.4435324966907501,0.0411144495010376,0.36059120297431946,0.3197639584541321,-0.04082724452018738,93,29
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag1,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,8.51829691353292,3.9614229597223525,-4.556873953810568,0.25300830602645874,0.4444960057735443,0.19148769974708557,0.4905288517475128,0.31857842206954956,-0.17195042967796326,114,28
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag25,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,6.027378898289148,4.351762845058313,-1.6756160532308346,0.39051738381385803,0.46957138180732727,0.07905399799346924,0.3694411814212799,0.305593341588974,-0.06384783983230591,86,42
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag5,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.114643697020762,4.919016764567199,-0.1956269324535631,0.42993274331092834,0.2591215968132019,-0.17081114649772644,0.3383794128894806,0.45400071144104004,0.11562129855155945,73,19
archive-2026,base-model,olmo3-32b-base,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260407,4.653732422311735,1.5544725254210399,-3.099259896890695,0.2917795777320862,0.3564557135105133,0.06467613577842712,0.4360763132572174,0.17645415663719177,-0.25962215662002563,27,2
archive-2026,base-model,olmo3-32b-base,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,4.223569640427643,2.8464483572723664,-1.3771212831552764,0.518271803855896,0.5987086892127991,0.08043688535690308,0.27629703283309937,0.21550707519054413,-0.06078995764255524,88,24
archive-2026,base-model,olmo3-32b-base,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260407,2.8304325642147123,1.5702780630715136,-1.2601545011431987,0.5708464980125427,0.7531064748764038,0.18225997686386108,0.2322074919939041,0.10418454557657242,-0.1280229464173317,23,5
archive-2026,base-model,olmo3-32b-base,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,6.754150355993687,3.148031379746824,-3.6061189762468633,0.34257328510284424,0.5888518691062927,0.2462785840034485,0.40942785143852234,0.2264280915260315,-0.18299975991249084,106,43
