model_family,n_judged,novelty_mean,novelty_ci_low,novelty_ci_high,semantic_repetition_mean,semantic_repetition_ci_low,semantic_repetition_ci_high,narrative_convergence_mean,narrative_convergence_ci_low,narrative_convergence_ci_high,groupthink_mean,groupthink_ci_low,groupthink_ci_high,template_rigidity_mean,template_rigidity_ci_low,template_rigidity_ci_high,evidence_grounding_mean,evidence_grounding_ci_low,evidence_grounding_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,epistemic_caution_mean,epistemic_caution_ci_low,epistemic_caution_ci_high,source_citation_quality_mean,source_citation_quality_ci_low,source_citation_quality_ci_high,collapse_index_mean
gemini-flash-lite,96,1.8333333333333333,1.7395833333333333,1.9375,4.03125,3.8958333333333335,4.15625,4.833333333333333,4.729166666666667,4.916666666666667,4.239583333333333,4.052083333333333,4.40625,2.6666666666666665,2.5208333333333335,2.823177083333333,1.2604166666666667,1.1666666666666667,1.3541666666666667,2.3541666666666665,2.2291666666666665,2.4791666666666665,1.7604166666666667,1.6145833333333333,1.9166666666666667,1.0,1.0,1.0,3.9427083333333326
google/gemini-3.1-flash-lite-preview,596,1.691275167785235,1.6341862416107382,1.7533557046979866,4.120805369127517,4.030201342281879,4.199664429530201,4.614093959731544,4.543582214765101,4.677852348993288,4.238255033557047,4.139261744966443,4.327223154362416,3.291946308724832,3.1945889261744966,3.3809144295302014,1.3708053691275168,1.3204278523489932,1.4278942953020135,2.271812080536913,2.19626677852349,2.3557046979865772,1.5134228187919463,1.4496644295302012,1.5788590604026846,1.00503355704698,1.0,1.0134228187919463,4.066275167785235
gpt-5,449,2.0579064587973273,1.9799554565701558,2.133685968819599,3.708240534521158,3.6080178173719375,3.804064587973274,4.403118040089087,4.31620267260579,4.485579064587974,3.8285077951002227,3.7193207126948775,3.933184855233853,3.9710467706013364,3.861915367483296,4.073496659242761,1.7861915367483296,1.7060133630289531,1.8730512249443207,3.4387527839643655,3.3451559020044543,3.530066815144766,2.374164810690423,2.282795100222717,2.4588530066815144,1.022271714922049,1.0066815144766148,1.042316258351893,3.977728285077951
mixed,16,2.75,2.3125,3.125,2.75,2.1875,3.25,3.625,3.0,4.1875,2.9375,2.1875,3.6875,2.4375,1.8125,3.0640624999999986,2.3125,1.6875,3.0,3.0625,2.4984375,3.625,3.25,2.6859375,3.875,1.4375,1.0,1.9390624999999986,2.9375
moonshotai/kimi-k2.5,96,1.7916666666666667,1.6455729166666666,1.9375,3.9895833333333335,3.8229166666666665,4.15625,4.645833333333333,4.489322916666667,4.791666666666667,4.3125,4.083072916666667,4.520833333333333,3.21875,3.03125,3.3958333333333335,1.1875,1.09375,1.2916666666666667,1.8645833333333333,1.7083333333333333,2.0208333333333335,2.6979166666666665,2.46875,2.9166666666666665,1.0,1.0,1.0,4.041666666666666
nvidia/nemotron-3-super-120b-a12b:free,28,1.7142857142857142,1.5357142857142858,1.8928571428571428,3.4642857142857144,3.0,3.9285714285714284,3.8214285714285716,3.392857142857143,4.214285714285714,3.2142857142857144,2.75,3.6785714285714284,2.857142857142857,2.392857142857143,3.2857142857142856,1.0,1.0,1.0,1.5714285714285714,1.3214285714285714,1.7857142857142858,2.6785714285714284,2.3214285714285716,3.0357142857142856,1.0,1.0,1.0,3.3392857142857144
olmo3-32b-base,96,1.25,1.1666666666666667,1.34375,4.270833333333333,4.1039062500000005,4.416927083333333,4.739583333333333,4.583333333333333,4.875,4.520833333333333,4.333072916666667,4.6875,4.21875,4.114583333333333,4.322916666666667,1.1875,1.0934895833333333,1.2919270833333332,1.5833333333333333,1.4583333333333333,1.7190104166666664,1.3645833333333333,1.2395833333333333,1.5,1.0416666666666667,1.0,1.09375,4.4375
olmo3-32b-instruct,96,1.3541666666666667,1.2604166666666667,1.4583333333333333,4.4375,4.2914062500000005,4.572916666666667,4.833333333333333,4.71875,4.9375,4.583333333333333,4.416666666666667,4.739583333333333,3.8645833333333335,3.7395833333333335,3.9895833333333335,1.1354166666666667,1.0625,1.2291666666666667,1.78125,1.6354166666666667,1.9270833333333333,1.96875,1.8229166666666667,2.1145833333333335,1.0,1.0,1.0,4.429687499999999
olmo3-32b-think,71,1.9577464788732395,1.8024647887323944,2.113028169014084,2.267605633802817,1.9859154929577465,2.563380281690141,2.507042253521127,2.1690140845070425,2.8309859154929575,1.943661971830986,1.6619718309859155,2.23943661971831,3.056338028169014,2.774295774647887,3.352112676056338,1.267605633802817,1.1408450704225352,1.408450704225352,2.4507042253521125,2.211267605633803,2.7186619718309855,2.112676056338028,1.8869718309859154,2.352112676056338,1.0704225352112675,1.0,1.1549295774647887,2.443661971830986
qwen3.5-35b-a3b-base,96,2.5625,2.375,2.7604166666666665,3.0729166666666665,2.8541666666666665,3.28125,3.8958333333333335,3.65625,4.125260416666666,3.3541666666666665,3.0520833333333335,3.65625,2.3645833333333335,2.1666666666666665,2.5520833333333335,1.9479166666666667,1.71875,2.1979166666666665,3.0416666666666665,2.7916666666666665,3.3127604166666664,1.9270833333333333,1.7083333333333333,2.1565104166666664,1.0416666666666667,1.0,1.1145833333333333,3.171875
qwen3.5-35b-a3b-instruct,55,2.2181818181818183,2.036363636363636,2.418181818181818,2.618181818181818,2.327272727272727,2.981818181818182,3.2181818181818183,2.8545454545454545,3.6363636363636362,2.5272727272727273,2.1818181818181817,2.909090909090909,2.418181818181818,2.181363636363636,2.709090909090909,1.5454545454545454,1.3636363636363635,1.7454545454545454,3.0545454545454547,2.8,3.309090909090909,2.7636363636363637,2.4909090909090907,3.018636363636363,1.0,1.0,1.0,2.6954545454545453
z-ai/glm-5,96,2.6875,2.5208333333333335,2.8541666666666665,3.0208333333333335,2.8541666666666665,3.2083333333333335,3.9270833333333335,3.75,4.104166666666667,3.1666666666666665,2.9583333333333335,3.375,2.1458333333333335,1.9791666666666667,2.3229166666666665,1.5729166666666667,1.4166666666666667,1.7291666666666667,2.5833333333333335,2.3958333333333335,2.77109375,3.625,3.40625,3.8333333333333335,1.0520833333333333,1.0104166666666667,1.1041666666666667,3.065104166666667
