model_family,n_judged,collapse_index_mean,semantic_repetition_mean,narrative_convergence_mean,groupthink_mean,template_rigidity_mean,novelty_mean,evidence_grounding_mean
olmo3-32b-instruct,96,4.429687499999999,4.4375,4.833333333333333,4.583333333333333,3.8645833333333335,1.3541666666666667,1.1354166666666667
olmo3-32b-base,97,4.402061855670103,4.237113402061856,4.701030927835052,4.484536082474227,4.185567010309279,1.2783505154639174,1.2061855670103092
google/gemini-3.1-flash-lite-preview,590,4.080084745762711,4.135593220338983,4.628813559322034,4.262711864406779,3.2932203389830508,1.6627118644067798,1.383050847457627
gpt-5,736,4.063179347826087,3.7839673913043477,4.4646739130434785,3.979619565217391,4.024456521739131,2.014945652173913,1.763586956521739
moonshotai/kimi-k2.5,192,4.022135416666667,3.96875,4.640625,4.28125,3.1979166666666665,1.8697916666666667,1.171875
gemini-flash-lite,96,3.955729166666666,4.09375,4.833333333333333,4.239583333333333,2.65625,1.7708333333333333,1.2083333333333333
mixed,16,3.375,3.25,4.1875,3.3125,2.75,2.4375,2.1875
nvidia/nemotron-3-super-120b-a12b:free,28,3.330357142857143,3.392857142857143,3.75,3.1785714285714284,3.0,1.6428571428571428,1.0357142857142858
qwen3.5-35b-a3b-base,96,3.171875,3.0729166666666665,3.8958333333333335,3.3541666666666665,2.3645833333333335,2.5625,1.9479166666666667
z-ai/glm-5,192,3.03515625,2.9635416666666665,3.8697916666666665,3.1302083333333335,2.1770833333333335,2.7291666666666665,1.578125
qwen3.5-35b-a3b-instruct,55,2.6954545454545453,2.618181818181818,3.2181818181818183,2.5272727272727273,2.418181818181818,2.2181818181818183,1.5454545454545454
olmo3-32b-think,71,2.443661971830986,2.267605633802817,2.507042253521127,1.943661971830986,3.056338028169014,1.9577464788732395,1.267605633802817
