condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-2,-4,nan,0,Base model as tool,45-60m,0,0-15m,4,base_model_as_tool,olmo3-32b-think,olmo3-32b-think,10,olmo3-32b-think,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406,0d0b996fd1664cceda98a0da67dd4a6ed3bf75b8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-think/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406
mag0,0.002475649350649367,0.007973644003055669,0.00485103132161957,-0.01924956028923197,-0.01924956028923197,-0.01924956028923197,-0.01924956028923208,-0.0032901296111664813,-0.0032901296111664813,-0.0032901296111664813,-0.0032901296111664813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-33.0,0,Base model as tool,Q4,1,Q1,1,base_model_as_tool,olmo3-32b-think,olmo3-32b-think,10,olmo3-32b-think,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406,0d0b996fd1664cceda98a0da67dd4a6ed3bf75b8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-think/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406
mag25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-9,-54,nan,0,Base model as tool,45-60m,0,0-15m,54,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag25,0.011532451483798056,0.006090817507289681,0.005739016786279305,0.03214137053082139,-0.02047076589378688,0.008935664388728948,-0.006949825581725466,0.00565902499807025,-0.04256060429296893,-0.0030222557442400877,-0.02233277032781089,0.013192824962177219,-0.00636420435503271,0.011591300554945838,0.0025497379970536027,0.005562464516477905,-0.002351132590715177,0.006942065030729694,0.001984631652209301,0.0046720990884666636,-0.0026243850135799773,-0.00025590517239826305,0.006214389722400737,0.002847150306470314,-2,-5,-832.4439691537928,0,Base model as tool,Q4,12,Q1,17,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-10,-64,nan,0,Base model as tool,45-60m,0,0-15m,64,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag5,0.014837587851604661,0.017499124307860714,0.017975301467332783,0.02103076986824265,0.0613263948298059,0.03427954593135052,0.045005302835726124,0.004763786441868589,0.021818527385562225,0.008129414517955569,0.017496600052557487,0.007391917750151911,0.01136979712750874,0.007899254488865193,0.010685823115626714,0.0013500000352849595,0.0032500818728454783,-0.0006878462375353722,0.0012443028552509006,-0.001534070338520932,-0.0020939728655979817,0.0009157509157509125,-0.003198575844167384,-0.0016785659116546059,1,4,140.0764387952263,0,Base model as tool,Q4,19,Q1,15,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0004918839153960075,nan,nan,nan,-5,-23,nan,0,Base model as tool,45-60m,0,0-15m,23,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-agi,0.47157973848384477,0.3491699588970031,0.2839399018316772,0.424963530269876,-0.01388888888888884,0.170774647887324,0.08634444489242543,0.09741697416974171,0.0,0.06666666666666665,0.01996503443636899,0.014189693801344272,0.0,0.014925373134328401,0.0016221114504696432,0.0,0.0,0.0,0.0,0.0,-0.0004918839153960075,0.0,0.0,0.0,-4,-15,-1279.0,0,Base model as tool,Q4,1,Q1,16,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag1,0.014260595242304108,0.005835986146064176,0.005010071101243019,0.03958859714056173,-0.13777206737121422,-0.0871593346189789,-0.11187361334702048,0.009960169272055341,-0.1413685346991863,-0.09756053783088614,-0.12219528319143047,-0.006063014401496258,-0.06813119024400394,-0.02829413599497288,-0.056660199250767374,-0.0003866132798169275,-0.029055389022573874,0.007026117286011546,-0.023406632379628145,0.002269520564380567,-0.010960692270753913,-0.015876821573188926,0.022244822719506008,-0.00873209987851331,-5,-86,-10127.873088367616,0,Base model as tool,45-60m,28,0-15m,114,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,1baedcc083f72b81de0ab5a74555fbc789a82edd,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag1,0.007899165890218773,0.001572791957638875,0.0010010660125066018,0.027898842777876715,-0.11329793552571188,-0.0723302124931069,-0.09486693156118567,0.0028935774664583525,-0.12774516994829843,-0.08727164211679428,-0.11007136735470768,-0.006370895916531727,-0.06336988144606648,-0.03224755596688178,-0.053368666410836374,0.0011814875181382911,-0.027426529081485018,0.008672248135083938,-0.018877234088299444,0.003975514377203115,-0.010535068309155737,-0.014256003902128556,0.01653306095615381,-0.008090892473210154,-4,-77,-8874.858600101004,0,Base model as tool,Q4,34,Q1,111,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,1baedcc083f72b81de0ab5a74555fbc789a82edd,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
