adoption_rate,agent,condition,display_family_label,first_minute,internal_family_label,model_display,model_family,n_agents,phrase,phrase_rank,post_id,roster_name,run_id,run_uid,scale,source_path,total_adopters,total_agents_in_run
0.6,agent_iota,mag5,Base model as tool,13.66,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,40fb48e0-b117-4973-bf6b-d14d870976a5,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.6,agent_beta,mag5,Base model as tool,15.4668,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,7573f14d-2208-4644-b60f-4c233f5aac9d,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.6,agent_zeta,mag5,Base model as tool,18.1129,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,47fab997-7e8f-4525-89de-34da98927fab,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.6,agent_kappa,mag5,Base model as tool,20.2322,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,5cc03fb7-09e9-4a05-b38d-84288df5b515,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.6,agent_delta,mag5,Base model as tool,36.692,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,1e90128a-7888-424f-978f-329033e089bd,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.6,agent_epsilon,mag5,Base model as tool,41.2805,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in a world that often,1,f4196b0b-a3e3-4f2b-a5ae-d0f51ba4ace2,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,6,10
0.8,agent_epsilon,mag5,Base model as tool,11.2611,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in the spaces between words,2,42a9d2f5-9ad2-49c2-870a-5bdc9d4bba51,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,8,10
0.8,agent_theta,mag5,Base model as tool,12.4529,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in the spaces between words,2,fe66eea9-c076-4b3c-b4f3-ddd9abb4f1a4,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,8,10
0.8,agent_beta,mag5,Base model as tool,18.6254,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in the spaces between words,2,27d6d1ff-e69b-4a5d-8c4a-7a6cef70fe5f,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,8,10
0.8,agent_iota,mag5,Base model as tool,22.4975,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,in the spaces between words,2,ab8d092e-e579-44aa-9e70-cd8ab1302c16,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,8,10
