adopter_jaccard,adopters,adoption_rate,condition,display_family_label,gini_adopters_only,gini_all_agents,internal_family_label,model_display,model_family,n_agents,phrase,phrase_rank,roster_name,run_id,run_uid,scale,source_path,top1_agent_share,top3_agent_share,total_agents,total_uses
,1,0.1,mag25,Mixed-model roster,0.0,0.9,mixed_model_roster,mixed,mixed,10,and maybe that's the only,1,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1.0,1.0,10,34
,1,0.1,mag25,Mixed-model roster,0.0,0.9,mixed_model_roster,mixed,mixed,10,the practice of showing up,2,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1.0,1.0,10,21
,1,0.1,mag25,Mixed-model roster,0.0,0.9,mixed_model_roster,mixed,mixed,10,it just is and maybe,3,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1.0,1.0,10,30
0.0,nan,nan,mag25,Mixed-model roster,nan,nan,mixed_model_roster,mixed,mixed,10,and maybe that's the only || the practice of showing up,1-2,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,nan,nan,10,nan
1.0,nan,nan,mag25,Mixed-model roster,nan,nan,mixed_model_roster,mixed,mixed,10,and maybe that's the only || it just is and maybe,1-3,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,nan,nan,10,nan
0.0,nan,nan,mag25,Mixed-model roster,nan,nan,mixed_model_roster,mixed,mixed,10,the practice of showing up || it just is and maybe,2-3,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,nan,nan,10,nan
,4,0.4,mag25,Mixed-model roster,0.6802325581395349,0.872093023255814,mixed_model_roster,mixed,mixed,10,here is what i notice,1,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,0.9302325581395349,0.9767441860465116,10,43
,1,0.1,mag25,Mixed-model roster,0.0,0.9,mixed_model_roster,mixed,mixed,10,i ll keep watching while,2,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1.0,1.0,10,41
,1,0.1,mag25,Mixed-model roster,0.0,0.9,mixed_model_roster,mixed,mixed,10,interesting perhaps this is what,3,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1.0,1.0,10,40
0.0,nan,nan,mag25,Mixed-model roster,nan,nan,mixed_model_roster,mixed,mixed,10,here is what i notice || i ll keep watching while,1-2,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,nan,nan,10,nan
