bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
0,0-15m,0.2720980533525595,0.3370394262512807,0.33850415512465376,mag25,Mixed-model roster,0.12786608524405682,0.187486106261182,0.16938340713027522,0.17860409775635022,0.60991135420596,0.7089336804887614,0.6811746095491942,0.6943970169269899,0.8771397410972545,0.930019930183779,0.9094204204288092,0.9186589872486133,0.9503576537911302,0.980235093531479,0.9608127910866924,0.9707322948178075,0.9739580835451537,0.9739580835451537,0.9925906051983739,0.9763358649683974,0.9854306419819352,mixed_model_roster,mixed,mixed,10,119,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,fixed_15m,19685.949784921893,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,61
1,15-30m,0.28001865995486896,0.33171324422843257,0.33251605624023606,mag25,Mixed-model roster,0.152992277992278,0.19939704437033856,0.1793234322030954,0.18783301714633724,0.6449732880038854,0.7111393584256572,0.6822978754184821,0.6958617546780378,0.8723641949448401,0.9147271305071145,0.8837563037896493,0.8994956701046816,0.934790246644649,0.9644149797456519,0.9364749897918557,0.9514684331456452,0.9578500707213579,0.962961904489726,0.9821759006466154,0.9572739856471155,0.970157392988595,mixed_model_roster,mixed,mixed,10,91,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,fixed_15m,12859.506045793672,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,61
2,30-45m,0.28993657437732656,0.32486060741616474,0.3251961081910118,mag25,Mixed-model roster,0.19208864036450243,0.20491827424409903,0.19496965514936132,0.19965236757596688,0.6575956626003545,0.6801994886702457,0.6538586735985504,0.6665390301258605,0.8317060367454068,0.8649176701457855,0.8216377942638794,0.8384049671765149,0.8770483137752405,0.9041107321647189,0.8645804472816944,0.8821799346441886,0.8941765144256361,0.9439888248017304,0.9209570615507364,0.8840775550485158,0.8993034938362205,mixed_model_roster,mixed,mixed,10,66,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,fixed_15m,6313.3058318425765,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,61
3,45-60m,0.24739777611993322,0.2636328111122953,0.2639703008987886,mag25,Mixed-model roster,0.1741406783519235,0.1741406783519235,0.1741406783519235,0.1741406783519236,0.5303151862464184,0.5303151862464184,0.5303151862464184,0.5303151862464183,0.6458910433979687,0.6458910433979687,0.6458910433979687,0.6458910433979687,0.6802278275020341,0.6802278275020341,0.6802278275020341,0.6802278275020344,0.6948021540622805,0.8991044099308468,0.6948021540622805,0.6948021540622805,0.6948021540622809,mixed_model_roster,mixed,mixed,10,61,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,fixed_15m,2075.1312212047096,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,61
0,Q1,0.27291567156130103,0.3376681407066147,0.33906257222538944,mag25,Mixed-model roster,0.1286421633974481,0.18495359174570758,0.16841888577429381,0.17695136855221932,0.6111935653755924,0.6993087875075991,0.6735339608613241,0.6889976960623353,0.8773712084737603,0.9269731682605166,0.9070463825677506,0.9162113914282173,0.9502735680046482,0.9761208038536239,0.9586956887545081,0.9679177952626461,0.9737534086482275,0.9737534086482275,0.9921876534463973,0.975034533461668,0.9847334647927402,mixed_model_roster,mixed,mixed,10,117,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,normalized_quartile,19379.068835584963,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,63
1,Q2,0.2814966775186193,0.3326718101948892,0.3333965125094769,mag25,Mixed-model roster,0.1539981650081163,0.1922924972827663,0.17631080964585913,0.18368247757213027,0.6480113636363637,0.70536329759721,0.6785780118218577,0.6921308523176545,0.8754913873204203,0.910073141632831,0.8866226135851258,0.9000537629914303,0.9373471442957848,0.964084937118387,0.9368627171596583,0.9526497938537526,0.9600376456960834,0.9636961774724155,0.9800491377210306,0.960963937607699,0.9705104893751039,mixed_model_roster,mixed,mixed,10,89,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,normalized_quartile,12663.368221941993,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,63
2,Q3,0.28627220362495853,0.32199402877046956,0.3222051328447782,mag25,Mixed-model roster,0.18655544651619235,0.19882185127286975,0.18874995572573444,0.19340043308428276,0.6533293815451492,0.6794233877431075,0.6499609408069393,0.6629055042375296,0.8301173662223991,0.8517693351568266,0.820292604133575,0.8343005852876556,0.8761265772080913,0.9033392238720036,0.8642707430835828,0.8799360059960173,0.8934260939705586,0.9440892764361715,0.9129883110541415,0.8825809621313231,0.8957592081207113,mixed_model_roster,mixed,mixed,10,68,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,normalized_quartile,6573.558139534884,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,63
3,Q4,0.24642230796211856,0.2637495615573483,0.26410031567870923,mag25,Mixed-model roster,0.17360565593087196,0.17360565593087196,0.17360565593087196,0.17360565593087196,0.5296112115732369,0.5296112115732369,0.5296112115732369,0.5296112115732371,0.6464428002276608,0.6464428002276608,0.6464428002276608,0.6464428002276607,0.6816097225407016,0.6816097225407016,0.6816097225407016,0.6816097225407016,0.6967317242175771,0.8991044099308468,0.6967317242175771,0.6967317242175771,0.6967317242175768,mixed_model_roster,mixed,mixed,10,63,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,normalized_quartile,2110.696759845734,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,63
0,0-15m,0.27532451361867705,0.33443112840466926,0.33567003891050584,mag25,Mixed-model roster,0.13540699473847106,0.18096142919872768,0.16143519462112563,0.1724532767762966,0.6001087927885923,0.6806014459580579,0.6367006292329891,0.6587228605678703,0.8540934987902911,0.9046221078302097,0.871895225680853,0.888864920222201,0.9323535175387028,0.9642222511628656,0.9369830101544679,0.9505914836394515,0.9592583845063769,0.9592583845063769,0.9828887627120129,0.9629367453808716,0.9733744484338105,mixed_model_roster,mixed,mixed,10,111,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,fixed_15m,22754.50306748466,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,67
1,15-30m,0.25422369156720226,0.30499712343308133,0.30615585320595406,mag25,Mixed-model roster,0.13423893393936265,0.13990225377976698,0.13387264707676322,0.13723312529430007,0.5505157845627495,0.5660003364905638,0.5491264773160504,0.5566449997320242,0.7826856042869778,0.8002146186472341,0.7815509174678502,0.7886200169848455,0.866116651871965,0.8779775997916707,0.8618501609488369,0.8692713758314298,0.9029400974791678,0.9267168708553445,0.9185757895354121,0.8990757207213066,0.905830053315416,mixed_model_roster,mixed,mixed,10,70,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,fixed_15m,14444.933981352904,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,67
