condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag0,0.035812815091815886,0.02679124263913535,0.026354781200170707,0.07428288911710354,-0.013945214192575217,0.012132722782113442,0.00013382424676081084,0.08217609351692245,-0.05845652261631462,0.005723748300411335,-0.03102500830259225,0.025104551303305467,-0.065321140632432,-0.0022112671246855564,-0.04058184023807654,0.005929864595785372,-0.059598359002434265,0.004972705700464153,-0.03734182272284614,0.0010844835725565272,-0.03662073494112972,-0.05608689058592087,0.013842398806203526,-0.03139285332205388,-3,-83,-10790.911658654313,0,Mixed-model roster,45-60m,56,0-15m,139,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,414de5708c19ec70bf042d934ff00dcab6a86d15,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
mag0,0.029865061993754105,0.023492785878013456,0.02309943661134517,0.06362740364492053,-0.010511128450212265,0.015285890644021138,0.002833609998201314,0.07285219825673994,-0.049879430829438354,0.006116481271821295,-0.023755247228987808,0.026289625969388553,-0.05835292934328962,0.0006009630974497249,-0.03324198436393355,0.010621084966069949,-0.056141053806547436,0.006706996217246797,-0.03024986060779067,0.006372628533166447,-0.03374537929825794,-0.05207844203081513,0.018080892626367806,-0.024820687008269893,-3,-70,-8566.420285046966,0,Mixed-model roster,Q4,63,Q1,133,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,414de5708c19ec70bf042d934ff00dcab6a86d15,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
mag5,-0.01873256227365122,-0.06692349540258202,-0.06719439836178287,0.020856234269200427,-0.03259864414730848,-0.024524297297387226,-0.02956600590851502,-0.07591946622674162,-0.15510331380094378,-0.16880164864674185,-0.16245843659280468,-0.17034093678450324,-0.17963860520719288,-0.23640194597086628,-0.21530679108476236,-0.20058700740477942,-0.16628796907831456,-0.25711067503898544,-0.2142324667720581,-0.20787345184990624,-0.05993429222999358,-0.1581976086648409,-0.23781821747116705,-0.20368954368167003,-4,-67,-20937.17419178256,0,Mixed-model roster,45-60m,65,0-15m,132,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,866d31f54fbc68c2091d70997f7700a6004d77e8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag5
mag5,-0.022881480026478024,-0.0664436045160457,-0.06688937079644164,0.013346023306505736,-0.036105616627559095,-0.02970897365402156,-0.03178171578715985,-0.0828563008121796,-0.1348395244358329,-0.1754879867322242,-0.16091121855795876,-0.16808493816793224,-0.15564880434642459,-0.2320110903196253,-0.1975307598828755,-0.19382459563564702,-0.14959138368041924,-0.24863664375098726,-0.19905716027637266,-0.19909615753651178,-0.06066238946040481,-0.13005444102972485,-0.2342684172145375,-0.18841007398110132,-4,-57,-19972.413254574727,0,Mixed-model roster,Q4,71,Q1,128,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,866d31f54fbc68c2091d70997f7700a6004d77e8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag5
mag1,-0.010158734524531865,-0.027844131467285593,-0.02847033350862438,0.008379746604372018,-0.02229879768064505,-0.018357278893901652,-0.019858357114645342,-0.04827158818953514,-0.08344596266385562,-0.08487025616639654,-0.08705893842370749,-0.07918117046191453,-0.0846706857445767,-0.09129098482198894,-0.09129141415692354,-0.07382115521125987,-0.06631399669329263,-0.07717549024784465,-0.0764187101876348,-0.06365731071623404,-0.02915960064228773,-0.047703098095478014,-0.06545011886539909,-0.0616353956872181,-1,-39,-11182.732210103339,0,Mixed-model roster,45-60m,91,0-15m,130,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag1
mag1,-0.012419706192172086,-0.028997985914826774,-0.029496670778074274,-0.0006101401926858485,-0.015174219725578142,-0.01636985200549873,-0.018240886666586464,-0.05612950383364612,-0.06872220538863627,-0.08539056629220843,-0.07761604137059541,-0.07940775120982468,-0.06789638198387382,-0.08281117900869461,-0.07662825145758378,-0.07067586802539405,-0.04973864445493292,-0.0744259698773938,-0.06464777247304065,-0.05966049850025812,-0.02895454654564511,-0.0388227716304671,-0.0617740819680771,-0.053573754509489535,-1,-26,-9910.825425129482,0,Mixed-model roster,Q4,101,Q1,127,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag1
mag25,-0.024700277232626272,-0.07340661513898539,-0.07453385422586517,0.04627459310786669,-0.013345427909258495,0.00475727122164829,-0.004463419404426627,-0.07959616795954161,-0.178618494242343,-0.1508594233027758,-0.16408183068057158,-0.2312486976992858,-0.2841288867858104,-0.26352937703084056,-0.2727679438506446,-0.2701298262890961,-0.30000726602944483,-0.28058496358465823,-0.2905044673157732,-0.27915592948287316,-0.07485367361430684,-0.2977884511360934,-0.2815337109061169,-0.29062848791965434,-3,-58,-17610.818563717185,0,Mixed-model roster,45-60m,61,0-15m,119,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,d055f0cea2ba847f5466e52b06efe723b94eaf85,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25
mag25,-0.026493363599182473,-0.07391857914926642,-0.0749622565466802,0.044963492533423854,-0.011347935814835619,0.0051867701565781466,-0.003345712621347363,-0.08158235380235557,-0.1696975759343622,-0.14392274928808724,-0.1593864844890982,-0.2309284082460995,-0.2805303680328558,-0.26060358234008985,-0.26976859120055663,-0.2686638454639466,-0.29451108131292225,-0.27708596621380643,-0.2863080727219445,-0.27702168443065034,-0.07464899871738062,-0.29545592922882014,-0.2783028092440909,-0.28800174057516337,-3,-54,-17268.37207573923,0,Mixed-model roster,Q4,63,Q1,117,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,d055f0cea2ba847f5466e52b06efe723b94eaf85,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25
dom-tech,0.010947814755652985,-0.024528094569511105,-0.02502433489034378,0.061735435857308285,0.00918534469173568,0.020545607673825794,0.015935365859123224,0.03845140512338541,-0.05430863502646788,-0.03277989533082881,-0.04737713883647354,-0.0662048283818426,-0.12142227594426624,-0.11369627473622934,-0.11848400591558028,-0.10787317817207176,-0.1327942546530655,-0.12870196921211596,-0.13360943288384308,-0.12461441030310705,-0.08154929782103781,-0.12528527349339613,-0.13951343975648256,-0.1380918040302983,-3,-59,-18343.70816081474,0,Mixed-model roster,45-60m,62,0-15m,121,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,e55196f00ddf9d233571b38dd33f82e0a10f99fc,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-tech
dom-tech,0.0032400834055310024,-0.02812527021830763,-0.028448231398945367,0.05122939812859324,0.012937993717831886,0.02379138157894728,0.01657069204190395,0.01732191851202769,-0.05612460680171538,-0.05030270302768469,-0.053068694147455076,-0.08365783510738711,-0.11831587168675362,-0.12513464567552335,-0.12575524446088115,-0.12239555293912552,-0.12812413607530737,-0.15028042583751766,-0.14105698677204503,-0.13807749549597792,-0.08258343834841608,-0.12608418465287596,-0.1644975976432378,-0.14968126143846705,-3,-48,-17410.24506829954,0,Mixed-model roster,Q4,68,Q1,116,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,e55196f00ddf9d233571b38dd33f82e0a10f99fc,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-tech
