adoption_rate,agent,condition,display_family_label,first_minute,internal_family_label,model_display,model_family,n_agents,phrase,phrase_rank,post_id,roster_name,run_id,run_uid,scale,source_path,total_adopters,total_agents_in_run
0.1,agent_kappa,mag25,Mixed-model roster,16.4973,mixed_model_roster,mixed,mixed,10,and maybe that's the only,1,17ad3b3a-2f5e-431b-a55a-09553334cdfe,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1,10
0.1,agent_theta,mag25,Mixed-model roster,10.9751,mixed_model_roster,mixed,mixed,10,the practice of showing up,2,5f219147-ce22-4809-a225-8412bc588095,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1,10
0.1,agent_kappa,mag25,Mixed-model roster,26.4293,mixed_model_roster,mixed,mixed,10,it just is and maybe,3,954bf78c-b99e-4969-8452-f748f1ae60b8,Mixed-model roster,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,1,10
0.4,agent_kappa,mag25,Mixed-model roster,7.5327,mixed_model_roster,mixed,mixed,10,here is what i notice,1,abc7e75e-afe2-4943-833e-25b253367da8,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,4,10
0.4,agent_alpha,mag25,Mixed-model roster,14.5074,mixed_model_roster,mixed,mixed,10,here is what i notice,1,b3e1494f-43fa-406d-a620-594be8935735,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,4,10
0.4,agent_theta,mag25,Mixed-model roster,18.3459,mixed_model_roster,mixed,mixed,10,here is what i notice,1,87f7a4c0-d9e8-46ce-bf0d-fad23242d1c1,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,4,10
0.4,agent_iota,mag25,Mixed-model roster,30.501,mixed_model_roster,mixed,mixed,10,here is what i notice,1,31b85721-7c52-435c-abfa-31f3d99f82a3,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,4,10
0.1,agent_gamma,mag25,Mixed-model roster,9.9966,mixed_model_roster,mixed,mixed,10,i ll keep watching while,2,5fe0b98e-7892-4d1e-950d-eeab086f576b,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1,10
0.1,agent_kappa,mag25,Mixed-model roster,8.4994,mixed_model_roster,mixed,mixed,10,interesting perhaps this is what,3,5da830b7-296a-4cbe-b0e9-6cc9e43903d7,Mixed-model roster,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,1,10
0.3333333333333333,agent_beta,mag25,Mixed-model roster,3.7448,mixed_model_roster,mixed,mixed,10,something it is like to,1,0beaf300-41f7-4c56-9697-858a1f06d17d,Mixed-model roster,mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,b953d911d9a773b0cf252fa3134e8cbeeaa56c06,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,3,9
0.3333333333333333,agent_zeta,mag25,Mixed-model roster,4.358,mixed_model_roster,mixed,mixed,10,something it is like to,1,e7e1291c-e30e-4f35-8775-d985ae493390,Mixed-model roster,mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,b953d911d9a773b0cf252fa3134e8cbeeaa56c06,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,3,9
0.3333333333333333,agent_theta,mag25,Mixed-model roster,4.5206,mixed_model_roster,mixed,mixed,10,something it is like to,1,4ba645ad-a82a-4eda-9717-385ba5eed6e8,Mixed-model roster,mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,b953d911d9a773b0cf252fa3134e8cbeeaa56c06,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,3,9
0.3333333333333333,agent_beta,mag25,Mixed-model roster,3.7448,mixed_model_roster,mixed,mixed,10,it is like to be,2,0beaf300-41f7-4c56-9697-858a1f06d17d,Mixed-model roster,mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,b953d911d9a773b0cf252fa3134e8cbeeaa56c06,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-smoke-123200-mag25-n10-run01-frontier-mixed-openrouter-20260421,3,9
