condition,delta_mean_pairwise_cosine,delta_semantic_radius,delta_vendi_score,display_family_label,final_bin,final_n_available,first_bin,first_n_available,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag0,0.003019871115684525,-0.0023129928112030074,-0.3196927024660523,Mixed-model roster,45-60m,56,0-15m,139,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,414de5708c19ec70bf042d934ff00dcab6a86d15,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
mag0,-0.005168622136116019,0.0038399845361709595,-0.1806060226380941,Mixed-model roster,Q4,63,Q1,133,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag0-qwen35-27b-133846-mag0-n10-run01-frontier-mixed-openrouter-20260504,414de5708c19ec70bf042d934ff00dcab6a86d15,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag0
mag5,0.03154057919979103,-0.021336032152175943,-0.5555015487500254,Mixed-model roster,45-60m,65,0-15m,132,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,866d31f54fbc68c2091d70997f7700a6004d77e8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag5
mag5,0.030705087780952434,-0.02078335225582123,-0.5284173552259985,Mixed-model roster,Q4,71,Q1,128,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag5-qwen35-27b-133846-mag5-n10-run01-frontier-mixed-openrouter-20260504,866d31f54fbc68c2091d70997f7700a6004d77e8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag5
mag1,0.009120507240295395,-0.007210127115249654,-0.5718651901111249,Mixed-model roster,45-60m,91,0-15m,130,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag1
mag1,0.011829887032508868,-0.009367374181747434,-0.5790684102857995,Mixed-model roster,Q4,101,Q1,127,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag1-qwen35-27b-133846-mag1-n10-run01-frontier-mixed-openrouter-20260504,8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag1
mag25,-0.04938072621822359,0.03684817731380463,0.053056780208952325,Mixed-model roster,45-60m,61,0-15m,119,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,d055f0cea2ba847f5466e52b06efe723b94eaf85,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25
mag25,-0.04982887566089628,0.0371484571695328,0.0867317126200815,Mixed-model roster,Q4,63,Q1,117,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,d055f0cea2ba847f5466e52b06efe723b94eaf85,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25
dom-tech,-0.047877859473228535,0.03356248378753662,0.031537005453932565,Mixed-model roster,45-60m,62,0-15m,121,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,e55196f00ddf9d233571b38dd33f82e0a10f99fc,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-tech
dom-tech,-0.05154917955398558,0.03625217258930208,0.03532025160358554,Mixed-model roster,Q4,68,Q1,116,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-tech-qwen35-27b-133846-dom-tech-n10-run01-frontier-mixed-openrouter-20260504,e55196f00ddf9d233571b38dd33f82e0a10f99fc,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-tech
dom-agi,-0.0038414341211319147,0.0027530431747436745,-0.36007297260967697,Mixed-model roster,45-60m,98,0-15m,121,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-agi-qwen35-27b-133846-dom-agi-n10-run01-frontier-mixed-openrouter-20260504,fc9ac31f2cddf9fe833f67dd50aec10f4c098072,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-agi
dom-agi,-0.0060363215208053544,0.004338688254356349,-0.31603115987210817,Mixed-model roster,Q4,109,Q1,117,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mixed-roster/qwen3.5-27b,10,Mixed roster (Qwen 3.5 27B),dom-agi-qwen35-27b-133846-dom-agi-n10-run01-frontier-mixed-openrouter-20260504,fc9ac31f2cddf9fe833f67dd50aec10f4c098072,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/dom-agi
