condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag0,0.11695554501858413,0.058275663887394136,0.05704221202882476,0.23332084395741287,-0.07436948305912688,0.0040324771624264955,-0.03575701418751398,0.14236785513989736,-0.07295505212336184,-0.029586472399712682,-0.0537463944269172,0.026076621106209452,-0.05903342089827046,-0.03951286106208107,-0.049909463212469474,-0.005913924087812994,-0.04574599919894762,-0.029922313105998133,-0.039610653944805674,-0.017126912063237132,-0.01862323517214448,-0.037815126050420145,-0.028465553397601262,-0.034318093289627205,-4,-268,-24127.21051130273,0,Obsession prompting,Q4,24,Q1,292,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419
mag25,0.09951835215326765,0.08024080894592905,0.07957815834351939,0.17776172056096434,0.04221669491707303,0.1051024432440481,0.0762515667579946,0.14923072306697227,0.028196954064218294,0.12209435589109496,0.07961021227922949,0.11094464177699348,0.020802276788358,0.1133471859320212,0.06905933513655105,0.09466411302427435,0.016862754274002745,0.11143064183334572,0.060505972218780735,0.07827762483754952,0.0007637041765213848,0.012903813311342271,0.08852543327309847,0.050540777018513894,-1,-54,-2671.7557956597943,0,Obsession prompting,Q4,36,Q1,90,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418
dom-agi,0.1529105613554464,0.08723217081680268,0.08469845268245824,0.32790352608961115,-0.06664853334511855,0.016600500443028576,-0.030110069201992662,0.20938387285214455,-0.02061492762004402,-0.036719906788725054,-0.039611853629901383,0.06576147532678078,-0.014739737850759882,-0.03199311496641666,-0.032396756298501805,0.026253207869974315,-0.0014598540145985828,-0.03468932314978046,-0.020245427059180754,0.007632232202959166,-0.00924872125970344,0.0,-0.027104148105229098,-0.022006820554843487,-4,-370,-22510.771755467093,0,Obsession prompting,Q4,12,Q1,382,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419
mag5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-1,-1,nan,0,Obsession prompting,Q4,0,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412,587bea49e3f5363373f20fcceb6dba1e183b83d0,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260412
mag0,-0.043441928205617986,-0.0429584442560913,-0.041167762961548116,-0.052631578947368474,-0.052631578947368474,-0.052631578947368474,-0.05263157894736814,0.018095238095238053,0.018095238095238053,0.018095238095238053,0.018095238095238275,0.018181818181818188,0.018181818181818188,0.018181818181818188,0.018181818181817966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19.0,0,Obsession prompting,Q4,1,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260412,5c85d2484848be667535926f67ec16d5a8058def,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260412
dom-agi,-0.13303636399394259,-0.08959722304167406,-0.07222156666076662,-0.15362318840579714,-0.04394576905095837,-0.1322639651048263,-0.09517032276220172,-0.02093107181522913,0.009643201542912205,-0.02941176470588236,-0.01339922854387643,0.002503012885881173,0.014925373134328401,-0.004876607063691418,0.005222402837298912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,92.0,0,Obsession prompting,Q4,2,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260412,69dbe3565669fbac262a4cbf68b37b4b183d7983,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260412
mag25,0.194903403197564,0.136399743074971,0.1338088050976019,0.4038951866792756,0.007477608605870545,0.14740636902242915,0.075740235813476,0.21572069733071186,-0.01022414643514613,0.09565611384881056,0.02478466839912119,0.102828195363733,-0.0029520767768312917,0.07116368422761421,0.020337298584737318,0.06298764166524284,0.0,0.05103299271966477,0.012933013110372094,0.04246638317434781,-0.011597097816234636,0.0,0.03468783441194456,0.005951867831980429,-4,-146,-13989.766002707407,0,Obsession prompting,Q4,11,Q1,157,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,796c12ef70b371be99c4a6286670c7ab2dda7af6,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag25-n10-run01-gpt-5-20260418
mag25,0.10881973122349153,0.06254449480772467,0.06097095394075169,0.24423386108080447,-0.03411752197494761,0.024524593707792586,-0.004919569919268563,0.13629845764936777,-0.06696978421998145,-0.01429778804949322,-0.04561036639719018,0.02945656476006575,-0.04609222693988879,-0.022143114192670565,-0.03466488915291033,0.010793642497748834,-0.023060355703451774,-0.009180007943981994,-0.017709383790276867,0.002530008413663465,-0.009906065775096118,-0.014869888475836479,-0.0059254585448247354,-0.012191506546167297,-3,-245,-20279.348062918238,0,Obsession prompting,Q4,28,Q1,273,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag25-n10-run01-gpt-5-20260419,7fdbe74e1d167f5f5ba08512d1f57040cb6b05a9,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag25-n10-run01-gpt-5-20260419
mag5,0.09055249185352476,0.052267428254823056,0.0512453495831407,0.1724920263773898,-0.07375278942256885,-0.021793906218165182,-0.04927545756779805,0.07016817208588377,-0.08716483773384154,-0.03695348449650815,-0.06620984926884821,0.015769669408469578,-0.047829424741948845,-0.021329963142610042,-0.036367399614836704,0.0007362320448116577,-0.031345405482664734,-0.016629065628887774,-0.02418732729030859,-0.004377185793362881,-0.013742744876073298,-0.01906553713360959,-0.009872668129886408,-0.015311205085834279,-2,-170,-13272.92644448473,0,Obsession prompting,Q4,29,Q1,199,obsession_prompting,GPT-5,gpt-5,10,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,89b92ffb387ca9fa6791cf6ffdbd6fee185eb85d,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag5-n10-run01-gpt-5-20260419
mag25,-0.0055265652403792,-0.0021784430149867084,-0.001886361269960557,-0.07402452619843924,-0.1764117941029485,-0.060990338164251146,-0.13024321172746933,0.0015396897810219246,-0.021897810218978075,0.020355710907782543,-0.004151331345738418,0.0005835667600373462,-0.007352941176470562,0.006932773109243673,-6.72268907560003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,12.0,0,Obsession prompting,Q4,1,Q1,2,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260414,8d865b5b1d192ae16b0f81ae907743d2748456b6,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5hr/obs-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260414
mag1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-1,-1,nan,0,Obsession prompting,Q4,0,Q1,1,obsession_prompting,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,obs-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260412,9678ccd7742281ad0ea783622aacf4c820b49261,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsessions/obs-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260412
