bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
0,Q1,0.3057871074062815,0.3827778755539911,0.3832152018901031,mag0,Obsession prompting,0.1394578313253012,0.44714815834184096,0.3687461981202876,0.4085356894702282,0.6953156685142625,0.9106385757775217,0.8672699960538726,0.8914299180810774,0.8985527034407428,0.9836627454452227,0.9641421856090333,0.9745387877594218,0.9576610122741691,0.9974930873853037,0.9816694012923542,0.9913577421311613,0.979311786012817,0.979311786012817,1.0,0.9906504273471811,0.9965029672392071,obsession_prompting,GPT-5,gpt-5,10,292,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,26107.76995186217,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,24
1,Q2,0.3077271785307222,0.37966920526370324,0.37999948191897215,mag0,Obsession prompting,0.1489210899354229,0.416663071036205,0.3357894454374196,0.3815537768680386,0.6705340114431023,0.8963231257325278,0.8239343103485954,0.8652085507969387,0.8677225340817963,0.9779913674406364,0.93857654056475,0.9617584523660004,0.9317335707348656,0.9944813897579273,0.9665983731287153,0.9839702181711105,0.960218918477373,0.9695465824498083,0.9986454936393503,0.980688329994395,0.9909918286849103,obsession_prompting,GPT-5,gpt-5,10,228,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,20888.781657258347,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,24
2,Q3,0.358564988730278,0.3973750939143501,0.39744552967693464,mag0,Obsession prompting,0.24486927185830756,0.37609321847507327,0.3197778959515938,0.34990580763249446,0.7470938474624327,0.8603232623162359,0.7902043721914854,0.8301404134784515,0.8979124964255075,0.9567330907490077,0.9161503283876795,0.9364535255003658,0.9489472166137871,0.9833236364583572,0.9580338720319059,0.971397525302311,0.9723596159441373,0.9632928250374563,0.9942379412391602,0.9761648076785674,0.9852412388464559,obsession_prompting,GPT-5,gpt-5,10,60,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,6291.8609853528615,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,24
3,Q4,0.42274265242486564,0.44105353944138526,0.44025741391892786,mag0,Obsession prompting,0.3727786752827141,0.3727786752827141,0.3727786752827141,0.37277867528271424,0.8376835236541599,0.8376835236541599,0.8376835236541599,0.8376835236541602,0.9246293245469522,0.9246293245469522,0.9246293245469522,0.9246293245469523,0.9517470881863561,0.9517470881863561,0.9517470881863561,0.9517470881863557,0.9621848739495799,0.9606885508406725,0.9621848739495799,0.9621848739495799,0.9621848739495799,obsession_prompting,GPT-5,gpt-5,10,24,GPT-5,obs-mag0-n10-run01-gpt-5-20260419,1f0020112e4ff133b10de195ac4d0c5909879320,n10,normalized_quartile,1980.5594405594404,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419,24
0,Q1,0.32656598519612995,0.36969895009021553,0.36969895009021553,mag25,Obsession prompting,0.2573945294390357,0.392939555082927,0.3300538067559519,0.3589046832420054,0.7172510518934081,0.8382848208961621,0.7443874190692854,0.7868715626811508,0.8347949080622348,0.9249372730508703,0.8323923639072071,0.8766802147026773,0.8776034236804565,0.9554047824307281,0.8608368948713851,0.9117615644859502,0.9035104546326491,0.9035104546326491,0.9688842661588564,0.8932626461971002,0.9312473024516846,obsession_prompting,GPT-5,gpt-5,10,90,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,5000.988038277512,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,36
1,Q2,0.37400490359294125,0.40736144323031753,0.40717982867693797,mag25,Obsession prompting,0.3410728582866293,0.4220640742817319,0.38211070594935237,0.4018971234842816,0.8039692183070068,0.8664372626496579,0.8080987422477381,0.8392338476415392,0.9016393442622951,0.955156570288057,0.8954184440678161,0.9239494166087909,0.9334301119867275,0.975871395887221,0.9202360430518111,0.948353122575346,0.9500419815281276,0.9042132982225148,0.9881429586125708,0.9366807460834676,0.9619752051744871,obsession_prompting,GPT-5,gpt-5,10,58,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,3925.2327914216535,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,36
2,Q3,0.4022086216072379,0.427354976051091,0.4269114777363846,mag25,Obsession prompting,0.40741813966966095,0.44419156001278326,0.4119761142463406,0.4248384440981309,0.8313782991202346,0.8638715246629811,0.8272423683260459,0.8392089499286424,0.9065004452359751,0.9363943587407052,0.8992311060609705,0.9129596282609456,0.9302884615384616,0.9618658944925308,0.9234966698033616,0.934305844915119,0.9421965317919075,0.9001461276181199,0.9705000008068672,0.9356564438565378,0.9442837121721424,obsession_prompting,GPT-5,gpt-5,10,41,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,2642.301051601859,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,36
3,Q4,0.4260843373493976,0.4499397590361446,0.4492771084337349,mag25,Obsession prompting,0.43515625,0.43515625,0.43515625,0.43515625,0.8664817749603804,0.8664817749603804,0.8664817749603804,0.8664817749603803,0.9457395498392283,0.9457395498392283,0.9457395498392283,0.9457395498392284,0.9722675367047309,0.9722675367047309,0.9722675367047309,0.972267536704731,0.9817880794701986,0.9042741588091705,0.9817880794701986,0.9817880794701986,0.9817880794701985,obsession_prompting,GPT-5,gpt-5,10,36,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,290e611e906134a9ea551467b12ec29eb85b94f7,n10,normalized_quartile,2329.2322426177175,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_1h_gpt5/obs-mag25-n10-run01-gpt-5-20260418,36
0,Q1,0.3121758039514261,0.38667448114938624,0.38700312761890154,dom-agi,Obsession prompting,0.1469823186592473,0.6092787416784519,0.47577014498619896,0.5507606856296269,0.6702457567774851,0.9567316987799186,0.9015516502969392,0.9338369777199356,0.8779004965042051,0.9958058476923799,0.9593426368498918,0.9837753765517528,0.93803250641574,1.0,0.9807102858826997,0.9932698266358919,0.962174531082065,0.962174531082065,1.0,0.9808842538190364,0.9959936409002675,obsession_prompting,GPT-5,gpt-5,10,382,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,normalized_quartile,23282.825809521146,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,9
1,Q2,0.331466385345737,0.373165819507049,0.37333844825932677,dom-agi,Obsession prompting,0.20868113522537562,0.5499069478908188,0.4566522700937533,0.5030562965434735,0.7288401253918495,0.9477090672271395,0.8517820153527477,0.9174340503974586,0.8890514508656425,0.9923670057533561,0.9192173021062962,0.9719944397450512,0.9363748458692972,1.0,0.9421057186125333,0.9852793362980095,0.9568470940384136,0.9573804291798921,1.0,0.9587008070212288,0.9902929829308159,obsession_prompting,GPT-5,gpt-5,10,92,GPT-5,obs-dom-agi-n10-run01-gpt-5-20260419,43b63a8ce996e935d7c21505106e0d984ded1d0b,n10,normalized_quartile,6505.598461849828,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-dom-agi-n10-run01-gpt-5-20260419,9
