bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
0,Q1,0.32351713912835034,0.385077727567318,0.3853174356561343,mag5,Obsession prompting,0.20373010893743226,0.4499749247373909,0.39801604153298725,0.42549759288261996,0.7522210684204453,0.9095540782401706,0.8593427250028373,0.8885990897751771,0.913802159323023,0.9774012534734414,0.9509017918741026,0.9659392283463296,0.964041095890411,0.9961227334178874,0.9814063935641104,0.9889646552255311,0.9851227818605485,0.9851227818605485,0.9998111332007952,0.990618264197072,0.9960568011530196,obsession_prompting,GPT-5,gpt-5,10,199,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,15606.839879659035,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
1,Q2,0.32406869257168164,0.39366766301339534,0.3940897265581756,mag5,Obsession prompting,0.17101072745558163,0.4511541952400161,0.38934165856818914,0.4195907937898254,0.7167267330930677,0.9093438667260019,0.851713756093856,0.8867620142667413,0.9027718184158586,0.98393929292693,0.9530114382263711,0.9701655987137374,0.9573544100403873,0.9963056100389798,0.982965732917599,0.9909532424207168,0.9804378406892914,0.9818918576674687,0.9996049146130703,0.9926619456404694,0.9969378513410717,obsession_prompting,GPT-5,gpt-5,10,279,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,21466.50228158964,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
2,Q3,0.37018332756831546,0.40152196471809065,0.401141473538568,mag5,Obsession prompting,0.2964583333333333,0.39401002170597454,0.349142778504163,0.37116998328669204,0.7650158061116965,0.8580298909661198,0.7848804245886265,0.8266492743328585,0.8946695095948828,0.9523918413307237,0.8955274813564472,0.9241060055813373,0.9367853290183388,0.9773907381097354,0.9322604067334098,0.9564962681487598,0.9587336244541484,0.9752184273232725,0.9896806761889954,0.9550048114542707,0.9744317091785669,obsession_prompting,GPT-5,gpt-5,10,55,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,4071.5062111801244,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
3,Q4,0.4140696309818751,0.43734515582214106,0.436562785239275,mag5,Obsession prompting,0.37622213531482207,0.37622213531482207,0.37622213531482207,0.3762221353148219,0.8223892405063291,0.8223892405063291,0.8223892405063291,0.8223892405063289,0.9295718287314926,0.9295718287314926,0.9295718287314926,0.9295718287314929,0.9647773279352226,0.9647773279352226,0.9647773279352226,0.9647773279352225,0.9807455960671856,0.9713800369844752,0.9807455960671856,0.9807455960671856,0.9807455960671854,obsession_prompting,GPT-5,gpt-5,10,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,2333.9134351743046,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
0,Q1,0.314400841353503,0.3879458990131217,0.3882516233964756,mag1,Obsession prompting,0.15351900639819346,0.4252506440336179,0.37948121244731414,0.40355251686625915,0.710086433385371,0.8968567243970759,0.8522861167079563,0.8757355552466725,0.8906225920789027,0.971148518011899,0.927246917893948,0.9568419106528158,0.9399196849779718,0.9877008297778571,0.9567932716396574,0.9761516582216027,0.9627101254833873,0.9627101254833873,0.996450641906529,0.9667130533040122,0.986121245215587,obsession_prompting,GPT-5,gpt-5,10,307,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,17685.106680619047,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
1,Q2,0.2943597469117204,0.3645616149442603,0.36512202470623684,mag1,Obsession prompting,0.14011600335607194,0.41148295224544834,0.3533575803616249,0.3855343911565733,0.6421737042373195,0.8829825109618139,0.8135939366827659,0.8528722800573741,0.8428063610851263,0.9701406061271549,0.9069125493291239,0.9471726222169804,0.9101626170349874,0.9885847657971711,0.9512549574823524,0.9757731850722913,0.9427737450551139,0.9510305766947585,0.9967241766623479,0.9666452738618451,0.986375823443243,obsession_prompting,GPT-5,gpt-5,10,344,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,18676.14449433869,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
2,Q3,0.40126410301848897,0.4258373205741627,0.4252466182290744,mag1,Obsession prompting,0.340499306518724,0.38327628232301825,0.3508164278124219,0.3689207354564031,0.7914175167077031,0.830934175229706,0.7869452657102866,0.8116444364233094,0.9050678087080657,0.9302402421346662,0.899385008403827,0.915148725360149,0.9406012314378849,0.9609746780259648,0.9341194528264756,0.9472345220316639,0.9584558823529412,0.946949111813527,0.9766182654193752,0.9520468129681664,0.9636638247681704,obsession_prompting,GPT-5,gpt-5,10,41,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,2335.353535353536,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
3,Q4,0.4028918368779392,0.4169298799747315,0.4162981680353759,mag1,Obsession prompting,0.33221897200167155,0.33221897200167155,0.33221897200167155,0.33221897200167155,0.7661016949152543,0.7661016949152543,0.7661016949152543,0.7661016949152541,0.8723678556080791,0.8723678556080791,0.8723678556080791,0.8723678556080788,0.9106364428945074,0.9106364428945074,0.9106364428945074,0.9106364428945075,0.9287925696594427,0.9409332860184528,0.9287925696594427,0.9287925696594427,0.9287925696594423,obsession_prompting,GPT-5,gpt-5,10,33,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,1829.0236135957064,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,33
0,Q1,0.32656598519612995,0.36969895009021553,0.36969895009021553,mag25,Obsession prompting,0.2573945294390357,0.392939555082927,0.3300538067559519,0.3589046832420054,0.7172510518934081,0.8382848208961621,0.7443874190692854,0.7868715626811508,0.8347949080622348,0.9249372730508703,0.8323923639072071,0.8766802147026773,0.8776034236804565,0.9554047824307281,0.8608368948713851,0.9117615644859502,0.9035104546326491,0.9035104546326491,0.9688842661588564,0.8932626461971002,0.9312473024516846,obsession_prompting,GPT-5,gpt-5,10,90,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,n10,normalized_quartile,5000.988038277512,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,36
1,Q2,0.37400490359294125,0.40736144323031753,0.40717982867693797,mag25,Obsession prompting,0.3410728582866293,0.4220640742817319,0.38211070594935237,0.4018971234842816,0.8039692183070068,0.8664372626496579,0.8080987422477381,0.8392338476415392,0.9016393442622951,0.955156570288057,0.8954184440678161,0.9239494166087909,0.9334301119867275,0.975871395887221,0.9202360430518111,0.948353122575346,0.9500419815281276,0.9042132982225148,0.9881429586125708,0.9366807460834676,0.9619752051744871,obsession_prompting,GPT-5,gpt-5,10,58,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,n10,normalized_quartile,3925.2327914216535,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,36
