condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag1,-0.05648044999550758,-0.08806885600985762,-0.08840848470540136,-0.01202605706199357,-0.07244107041928054,-0.06266972112358167,-0.06729784319863727,-0.14964965971512606,-0.24587918246592438,-0.22248038311302626,-0.23413293075562758,-0.23480590865344475,-0.2891506846370725,-0.2719741791877467,-0.28146225623386234,-0.2268217067786773,-0.25246740722079886,-0.23716312310642473,-0.24533819351266828,-0.19508939698517402,-0.06412242857509887,-0.20873500164465153,-0.19843912368182193,-0.2045263514663297,-18,-117,-12295.847363979003,0,Single-model final runs,45-60m,115,0-15m,232,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
mag1,-0.060917215324601814,-0.09953460168645703,-0.1001476722212227,-0.01106060589312334,-0.07802086639961363,-0.06794428500349774,-0.07268554715941386,-0.1650829126994271,-0.27067252960394717,-0.24933371956537798,-0.25951730613629853,-0.2657820926503386,-0.32713041998202663,-0.30659940748880965,-0.3170591647339459,-0.2627829125366039,-0.28956212490919564,-0.2750209544214389,-0.2835187134604499,-0.2312502806127067,-0.06816482321365136,-0.24517176655633155,-0.23434711343209025,-0.2411642888405936,-17,-134,-14054.845182611993,0,Single-model final runs,Q4,114,Q1,248,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
dom-tech,-0.017844997586443034,-0.024630910649204973,-0.02482534205036796,-0.018769799755296496,-0.04998968265862544,-0.04136350531190275,-0.044535026942871425,-0.07152374673684658,-0.07491941996222617,-0.0954478225457781,-0.09003517467537792,-0.06595942091120588,-0.04604249167806718,-0.08444585778186742,-0.06121806174184996,-0.06109637629278586,-0.016619924898549354,-0.08033650958685801,-0.04908314888300669,-0.06323156820441211,-0.02297957403956119,-0.017342810669465414,-0.07705231391052259,-0.045957041408778654,0,-25,-4073.6904004897374,0,Single-model final runs,45-60m,82,0-15m,107,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
dom-tech,-0.03763122256494261,-0.038949048211745996,-0.03801327933320958,-0.04975920947200291,-0.018027398432873876,-0.019974284976836343,-0.022017157725012226,-0.10847388041204475,-0.023707891681078785,-0.051028657562348534,-0.030072920946608295,-0.07570165390224903,0.0012898339031836015,-0.037798030466253185,-0.007383949116410937,-0.06134804310119735,0.0034141913416971814,-0.04504392521376532,-0.00019497355664133131,-0.0623928987861464,-0.026863813406537318,0.0006743625302937373,-0.05395357981108562,-0.003609526122732465,0,31,-903.2171052741787,0,Single-model final runs,Q4,129,Q1,98,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
mag1,-0.025274434641908206,-0.05855438059330642,-0.0590559426084355,0.000564218976424391,-0.040139491069968974,-0.022568298787101204,-0.03253878730796683,-0.14424678246537503,-0.1925410840415127,-0.1711646794345023,-0.18138004305481925,-0.16323850669925577,-0.19570275233542933,-0.17116338427345357,-0.18304283444543334,-0.140562258640631,-0.1611565046012562,-0.14334323254756542,-0.15133132598568522,-0.12066333246346639,-0.06051405347762229,-0.13529842953170224,-0.12164583937503504,-0.12840831161673272,0,-38,-4965.125052370934,0,Single-model final runs,45-60m,96,0-15m,134,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
mag1,-0.02804640354815341,-0.05643196039009568,-0.05659092863416176,-0.020491174526101524,-0.02360736155415205,-0.019492168603581883,-0.022078598818774803,-0.14131891529998097,-0.1459029808127985,-0.1404417951205268,-0.14308470321359312,-0.14615624677375427,-0.14929573571719934,-0.14543576727221486,-0.1471006896836835,-0.12346428985042446,-0.1263369354589594,-0.12279193970790159,-0.12384548884004487,-0.10434822487196815,-0.06754575266874951,-0.10687431574757744,-0.10384859896515619,-0.10467430285826995,0,-2,-3616.2279282477434,0,Single-model final runs,Q4,121,Q1,123,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
dom-tech,0.0010511446033446281,-0.017880860653985753,-0.018260319623597032,0.03087016122113817,0.032285185877655526,0.027881276280510417,0.029891296754069915,0.0381945684114276,0.03271948992654994,0.020799072266833862,0.028329199047231413,-0.01023855117210104,-0.01816622822844438,-0.016617586712544652,-0.020082736556365166,-0.025048309768795907,-0.036856897725595195,-0.025452216279004403,-0.03020776446382878,-0.02348018645331218,-0.039818992048291424,-0.02831561459046017,-0.02312178814558208,-0.026723057768406444,-1,-9,-16225.864187529596,0,Single-model final runs,45-60m,115,0-15m,124,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-tech-n10-run01,0e810c3a077d74956348bd4b33566f4e5e61696a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
dom-tech,-0.02697564533245242,-0.05790161813710534,-0.058263254671409054,0.017094544010961277,0.027612650891003718,0.020966820513322895,0.02452491970092495,-0.04933468565019644,-0.021108403351999983,-0.046578420320317226,-0.03380493085137365,-0.13969528263269526,-0.11013899034571306,-0.14014051617968182,-0.12440018176504886,-0.156040828265135,-0.12364286178034478,-0.15944189034174128,-0.14382113763989135,-0.14655172010445028,-0.07095724205832432,-0.11725787740828564,-0.15155652037165013,-0.13499859283136362,0,19,-22293.47274552427,0,Single-model final runs,Q4,162,Q1,143,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-dom-tech-n10-run01,0e810c3a077d74956348bd4b33566f4e5e61696a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
mag5,-0.011834540709803165,-0.029764023832467623,-0.029841534124733116,-0.001370337989759704,-0.018893510761022844,-0.013607250683070143,-0.016225622283446803,-0.034018081810097134,-0.07148819560347164,-0.05709076614376796,-0.06446167743707387,-0.052393496571975895,-0.07824042574895684,-0.06483803696720669,-0.07190438459226811,-0.053439008389183695,-0.06824307984654221,-0.05975773113554239,-0.06350107244816039,-0.05062039615119007,-0.050401229466675246,-0.060460510845740334,-0.0528592911000626,-0.05656138595576621,0,-32,-12810.01635106766,0,Single-model final runs,45-60m,107,0-15m,139,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag5-n10-run01,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
mag5,-0.02186326896417165,-0.03282252867080365,-0.03280853271084505,-0.009378137730280803,-0.0066890848740171205,-0.006860684786590396,-0.006859470793515052,-0.06273604052671616,-0.05581838721627108,-0.05594596507426863,-0.05568347043425309,-0.07765504472413809,-0.06709252154240741,-0.07106211265956308,-0.06948558616510148,-0.06148139394801366,-0.052929668942758856,-0.05806656629084728,-0.05547777482583738,-0.04539785083446379,-0.06489000185239013,-0.037800068573883405,-0.043226120554642034,-0.04047085322720745,0,9,-13830.116691169353,0,Single-model final runs,Q4,172,Q1,163,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag5-n10-run01,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
