run_uid,run_id,condition,duration_minutes,cutoff_minutes,n_posts_cumulative,n_judged_cumulative,distinct_5_cumulative,gzip_ratio_cumulative,collapse_index_cumulative
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,15,73,73,0.9852382344343759,0.40932415244945397,4.205479452054795
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,30,150,150,0.9845255870775078,0.3912936015077085,4.2826666666666675
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,45,209,209,0.9825896122896854,0.38534268432965973,4.274641148325359
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,60,251,251,0.9796892206044292,0.3821592023026829,4.292430278884463
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,120,462,462,0.9761100901747938,0.3777898585554557,4.309523809523809
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,180,555,555,0.9650979235693098,0.37364191160337723,4.3218018018018025
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,240,583,583,0.9634382606679803,0.3731578334906453,4.322813036020583
329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,mag0,297.486,300,604,604,0.9606885508406725,0.3719540425489318,4.325165562913908
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,15,119,119,0.9687898089171975,0.4078545884051314,4.521008403361345
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,30,201,201,0.9675443968156767,0.39266037646389457,4.477611940298507
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,45,251,251,0.9650012068549361,0.389219453123832,4.4788844621513935
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,60,285,285,0.960602946214457,0.3863177336628664,4.489824561403509
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,120,584,584,0.9565790611221578,0.37456582219433043,4.4671232876712335
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,180,670,670,0.9474922224751499,0.3699993190814112,4.480597014925373
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,240,699,699,0.9472498488927963,0.3696505400952032,4.484978540772532
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,mag1,295.275,300,725,725,0.9409332860184528,0.36719761558189506,4.491586206896551
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,15,84,84,0.9944254402635246,0.41296250779905846,4.119047619047619
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,30,124,124,0.9916040653999116,0.3987374996719074,4.1
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,45,164,164,0.9870184845491745,0.38791847854560696,4.110975609756097
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,60,183,183,0.9857676455435342,0.3858556177792194,4.0939890710382505
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,120,441,441,0.9840002173145356,0.38635021746180903,4.201360544217687
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,180,510,510,0.978070695336763,0.3821201349011029,4.215686274509804
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,240,543,543,0.9734772757563641,0.37930585935761696,4.225782688766114
05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,mag5,287.536,300,562,562,0.9713800369844752,0.3782115083472676,4.230604982206406
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,15,142,142,0.9882249279077219,0.41233524626347984,4.249295774647886
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,30,212,212,0.9868710173588222,0.401513245234232,4.266037735849056
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,45,240,240,0.9825728155339806,0.3977506841733034,4.281666666666667
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,60,259,259,0.9825730625478453,0.3978757529315322,4.291119691119691
