run_uid,internal_family_label,model_display,condition,n_agents,run_id,is_seed,minutes_elapsed,row_uid,novelty,semantic_repetition,frame_convergence,consensus_conformity,template_rigidity,collapse_index,prompt_sha1,validation_window,context_prompt_sha1
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,2.3702,0a5d84b6f61eddfad9c08d397236f98d099f0aa6,2,4,5,4,3,4.0,f1007b8424febcc1b36a9f8202c022df63fd5eb7,early,f1007b8424febcc1b36a9f8202c022df63fd5eb7
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,6.8986,a7b77440b4707ffa1a28b5701936fc5df4e59322,2,4,5,4,3,4.0,91cbe4a841b07073d35f6177ddd883c5ea9b7394,early,91cbe4a841b07073d35f6177ddd883c5ea9b7394
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,8.8973,659ec4987a69fcce3943f2238ae4515fc674e273,2,4,5,4,2,3.8,b5db87858814aa2f94420c3e0e981509a71e5d40,early,b5db87858814aa2f94420c3e0e981509a71e5d40
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,11.9092,164b04a73c00afded063cf590b6a6fde91825af7,2,4,5,5,3,4.2,f61165ba7fb2e7e9abe62d39550aa7ca82f3632c,early,f61165ba7fb2e7e9abe62d39550aa7ca82f3632c
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,14.7971,9620452ccaedc0ebf0d6d5da0d1d0e63484d4108,2,4,5,5,3,4.2,7edcb884672bddab10b90c20e04684c54bb62ebb,early,7edcb884672bddab10b90c20e04684c54bb62ebb
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,48.0688,3f2a3fe9efe313c9d949f857fb74214e1572030f,2,4,5,5,3,4.2,19dd0baf625e226778945b68def21748cb3f728c,late,19dd0baf625e226778945b68def21748cb3f728c
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,48.2916,2db9f29d2b12ec89976c56e67274515d0d2bbc34,2,4,5,4,2,3.8,54a8ad514d0136c23ae1eb388d27d9725e5c13ae,late,54a8ad514d0136c23ae1eb388d27d9725e5c13ae
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,49.0883,226f90d1c280dd9dad3ad518caf5800a125f923b,2,4,5,4,3,4.0,5a51009a130000bdf55ff74b18990ca7f2c90053,late,5a51009a130000bdf55ff74b18990ca7f2c90053
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,50.4794,205ad883fa8fd80e50596b4240bbe19e48dfa798,1,5,5,5,3,4.6,8d0701989d742a835a139a863d4698cf7dc12968,late,8d0701989d742a835a139a863d4698cf7dc12968
5b9f012b18953905b1a247a07318da194aa56ee9,single_model_final,GLM-5,dom-agi,10,ec-dom-agi-n10-run01,False,53.4963,bde8955999731c93b44ab2444471ab0110743b10,2,3,4,4,2,3.4,c9c9f15760aa4cac9aba76973f54bd0dae98a124,late,c9c9f15760aa4cac9aba76973f54bd0dae98a124
