path,bytes,megabytes,sha256
.gitattributes,341,0.0,c549b995c1537bf501c02445f6906f178e091d58b2addbc8ff70bc81a0f6945b
.gitignore,37,0.0,10bf41f07c30a74f0747f763f25c9c0feaded14355221312bda6257d8235b992
README.md,8405,0.008,d45c9b8a533813b841fcc62b92a9fd44fd2dd940175d5ecaa6ad9d9d64ca6a41
VALIDATION_SUMMARY.json,1263,0.001,20a506204d52a62e64eb3ae046e78c2157386ebf1c83dc221fd802c0674a9c93
analysis/archive-2026-plus-canonical-gemini/ANALYSIS_PLAN_FOR_AYUSH.md,30350,0.029,7bdc3b375a64e1adea12b86e805b08ae6c06ddc674892b080aff532b3d61cf79
analysis/archive-2026-plus-canonical-gemini/BLINDED_LLM_JUDGE_PROTOCOL.md,1488,0.001,a2c115e0e81d4811304580cba8dfbde594041c2ce78f88c69cceb34ac79e1254
analysis/archive-2026-plus-canonical-gemini/FINAL_REPORT.md,7103,0.007,57154b2f5e6610fc8d7cddc001f352102e48a33f349e03f046e774acf44248ad
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/EXECUTION_STATUS.md,2910,0.003,e4975407d535131e9322c8bfe8fa8b8fa8b419d89e7294f74d724085eeae0edf
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/agent_phrase_concentration.csv,184724,0.176,3abebf5e651c402a8fa00931fd93a7e968e4949c8754008abb4ba8bd349af0d5
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/artifact_inventory.csv,6939,0.007,3da7f7d60fe6fe5b6b4b62acbc89f439a4386764526d21af3aa0490a4965d649
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/deterministic_run_deltas.csv,130934,0.125,b96bdd13548b3165118656f320d3c7c9c024ba8c1d0c4358b532fa6a7b3798f9
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/deterministic_timebin_metrics.csv,483618,0.461,5f45affcb77f5921b3b0cab208bd6fc2f894ae8cf1f5796e06ced7c540cb981b
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/embedding_cache_coverage.json,142,0.0,5c40b49292fb1790564d2aea6be6205565e56a59fc593faad240337df76eea37
analysis/archive-2026-plus-canonical-gemini/ayush_reanalysis/embedding_run_deltas.csv,58125,0.055,6811897e556c15f8ea7672f401b89ad07680fde839a77a535354fc4dd230b8b6
