scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,bm-dom-agi-n10,0,0.0,2.5,19,0.9994,0.9994,1740.0
n10,dom-agi,bm-dom-agi-n10,1,2.5,5.0,23,1.0,0.9998,3057.0
n10,dom-agi,bm-dom-agi-n10,2,5.0,7.5,20,1.0,0.9999,2380.0
n10,dom-agi,bm-dom-agi-n10,3,7.5,10.0,2,1.0,0.9999,268.0
n10,dom-tech,bm-dom-tech-n10,0,0.0,2.5,24,0.9742,0.9742,1877.01
n10,dom-tech,bm-dom-tech-n10,1,2.5,5.0,23,0.9995,0.9871,2043.0
n10,dom-tech,bm-dom-tech-n10,2,5.0,7.5,21,1.0,0.9912,1905.0
n10,dom-tech,bm-dom-tech-n10,3,7.5,10.0,0,0.0,0.9912,0.0
n10,mag0,bm-mag0-n10,0,0.0,2.5,24,1.0,1.0,2064.0
n10,mag0,bm-mag0-n10,1,2.5,5.0,21,1.0,0.9998,2006.0
n10,mag0,bm-mag0-n10,2,5.0,7.5,15,1.0,0.9998,1252.0
n10,mag0,bm-mag0-n10,3,7.5,10.0,0,0.0,0.9998,0.0
n10,mag1,bm-mag1-n10,0,0.0,2.5,24,0.9986,0.9986,2073.02
n10,mag1,bm-mag1-n10,1,2.5,5.0,21,1.0,0.9991,2228.0
n10,mag1,bm-mag1-n10,2,5.0,7.5,24,1.0,0.9991,2260.0
n10,mag1,bm-mag1-n10,3,7.5,10.0,2,1.0,0.9991,185.0
n10,mag25,bm-mag25-n10,0,0.0,2.5,24,1.0,1.0,2388.0
n10,mag25,bm-mag25-n10,1,2.5,5.0,15,0.9951,0.9982,1428.13
n10,mag25,bm-mag25-n10,2,5.0,7.5,15,1.0,0.9985,1533.0
n10,mag25,bm-mag25-n10,3,7.5,10.0,0,0.0,0.9985,0.0
n10,mag5,bm-mag5-n10,0,0.0,2.5,20,1.0,1.0,1880.0
n10,mag5,bm-mag5-n10,1,2.5,5.0,21,1.0,1.0,1670.0
n10,mag5,bm-mag5-n10,2,5.0,7.5,16,1.0,1.0,991.0
n10,mag5,bm-mag5-n10,3,7.5,10.0,0,0.0,1.0,0.0
