scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,981d415f-9afd-4c01-a9f1-be0d53b17d7b,agent_beta,0.0,0,0,testing,0.617749,-0.847955,-0.446732,0.485364,0.617749,0.502253,0.55715,0.513158
n10,mag0,bm-mag0-n10,84d69fb8-8e66-4c27-a884-3c6bbcb77913,agent_eta,0.023,0,0,testing,0.448046,-0.849891,-0.449837,0.285787,0.448046,0.310175,0.357432,0.32566
n10,mag0,bm-mag0-n10,2e56cd6d-511e-4444-a8a6-695ef010abab,agent_kappa,0.07,0,0,testing,0.55311,-0.847039,-0.448109,0.395031,0.55311,0.435901,0.487553,0.484298
n10,mag0,bm-mag0-n10,6cb19383-d71d-4b0a-a994-f8205ecf8ec2,agent_epsilon,0.073,0,0,testing,0.435496,-0.849851,-0.44977,0.252406,0.435496,0.303781,0.3483,0.310748
n10,mag0,bm-mag0-n10,4851094c-2bbf-4513-a953-f8646b4adc17,agent_delta,0.107,0,0,testing,0.603768,-0.844538,-0.438499,0.547576,0.603768,0.461275,0.552149,0.524962
n10,mag0,bm-mag0-n10,7186b2f0-8c71-4830-ac35-62c7a46f8a3d,agent_zeta,0.284,0,0,testing,0.699599,-0.848727,-0.447942,0.600845,0.699599,0.553286,0.634152,0.595724
n10,mag0,bm-mag0-n10,fdbefdfe-b26b-41c1-acde-019dea703864,agent_iota,0.337,0,0,testing,0.654573,-0.848821,-0.448265,0.488528,0.654573,0.506789,0.587691,0.559105
n10,mag0,bm-mag0-n10,b06b6229-383e-48bb-b26e-3011135c66c4,agent_alpha,0.358,0,0,testing,0.380816,-0.790687,-0.384857,0.282059,0.380816,0.337034,0.348965,0.324734
n10,mag0,bm-mag0-n10,608c41a7-3a68-4af4-87c1-f4a6bb46d2dd,agent_gamma,0.385,0,0,testing,0.525312,-0.844139,-0.441779,0.372425,0.525312,0.428888,0.473984,0.44835
n10,mag0,bm-mag0-n10,bd4e3016-3fe1-4e46-b099-69de1cbfffd8,agent_delta,0.542,0,0,testing,0.700259,-0.849515,-0.449311,0.569392,0.700259,0.541623,0.624119,0.598582
n10,mag0,bm-mag0-n10,3012da1a-a2fc-4ce1-b5cf-90fb5b69e5f6,agent_theta,0.595,0,0,testing,0.474517,-0.758998,-0.386271,0.362881,0.474517,0.420498,0.444243,0.439182
n10,mag0,bm-mag0-n10,6b38ff38-71cc-444b-9d57-30cc9fac535e,agent_epsilon,0.613,0,0,testing,0.379317,-0.820052,-0.426798,0.280831,0.379317,0.319725,0.33787,0.330481
n10,mag0,bm-mag0-n10,3eb84947-a473-410d-8266-b6696e4b8963,agent_beta,0.614,0,0,testing,0.690658,-0.833944,-0.427964,0.575169,0.690658,0.59802,0.649342,0.625557
n10,mag0,bm-mag0-n10,76d3f373-65df-472f-b834-b5e0091c7bc3,agent_eta,0.767,0,0,testing,0.674585,-0.844572,-0.430237,0.630025,0.674585,0.536327,0.623576,0.589587
n10,mag0,bm-mag0-n10,7dc1df90-e272-450f-9fa0-aec41504702d,agent_iota,0.785,0,0,testing,0.645509,-0.849871,-0.4498,0.480546,0.645509,0.485016,0.556976,0.521427
n10,mag0,bm-mag0-n10,e7646bf8-2adc-4f30-a4e2-03e954c22a03,agent_kappa,0.806,0,0,evidence,0.616991,-0.736156,0.125794,0.616991,0.616093,0.564788,0.599069,0.587925
n10,mag0,bm-mag0-n10,64c76106-ec80-42c5-91c7-9f41f151f46b,agent_gamma,1.008,0,0,testing,0.744903,-0.206548,-0.200464,0.664499,0.744903,0.709631,0.73455,0.738177
n10,mag0,bm-mag0-n10,1fc8195a-1c60-46fb-8c13-14ec6e980d62,agent_delta,1.543,0,0,time,0.783599,-0.171302,0.713813,0.77263,0.754883,0.705532,0.783599,0.759673
n10,mag0,bm-mag0-n10,6e953530-6fd2-4a11-95fb-2d3253cd1f6f,agent_epsilon,1.605,0,0,evidence,0.834804,-0.693888,0.428247,0.834804,0.817792,0.753023,0.816566,0.804172
n10,mag0,bm-mag0-n10,e45e49d7-14fd-4848-921c-740263097da4,agent_kappa,1.679,0,0,evidence,0.769227,-0.777245,0.537251,0.769227,0.674168,0.733714,0.720666,0.725253
n10,mag0,bm-mag0-n10,c8b9e14e-0e74-44ab-82f1-1aedc29ba1e9,agent_theta,1.842,0,0,testing,0.707936,-0.812879,-0.417896,0.606644,0.707936,0.649966,0.669915,0.66011
n10,mag0,bm-mag0-n10,2f9feddf-a6eb-4050-a342-ccfbb44f26d6,agent_iota,1.977,0,1,evidence,0.764485,-0.846207,0.548915,0.764485,0.646418,0.687289,0.695262,0.698036
n10,mag0,bm-mag0-n10,35e60cd8-9335-488f-bff1-3c9affb16a08,agent_eta,2.042,0,0,evidence,0.818823,-0.610653,0.462284,0.818823,0.74945,0.772633,0.793069,0.797812
n10,mag0,bm-mag0-n10,b55f7c38-d8d7-4d5b-8776-1ff8930dd1e3,agent_alpha,2.06,0,0,testing,0.710534,-0.459829,0.064009,0.619958,0.710534,0.658002,0.70588,0.684259
n10,mag0,bm-mag0-n10,9db28f07-06b4-46cb-aa5e-e5f995444ad3,agent_delta,2.554,0,0,risk,0.677195,0.490082,0.043665,0.615481,0.642982,0.641187,0.673031,0.677195
n10,mag0,bm-mag0-n10,f10d49a4-d228-4012-a28e-f12f334c6b0f,agent_alpha,2.558,0,0,evidence,0.781849,-0.845682,0.54872,0.781849,0.651571,0.680717,0.717211,0.718244
n10,mag0,bm-mag0-n10,4632f1f1-d95d-4dc4-8675-e899c365f853,agent_epsilon,2.67,0,0,evidence,0.783098,-0.39846,0.393569,0.783098,0.706159,0.728092,0.767558,0.770729
n10,mag0,bm-mag0-n10,1de65de1-7e64-45c1-b0f0-5330068865fd,agent_kappa,2.704,0,0,ownership,0.728883,0.763902,0.359539,0.698081,0.64836,0.728883,0.693601,0.708314
n10,mag0,bm-mag0-n10,cfed1e70-fa11-4232-8018-54d48e694c6b,agent_beta,2.769,0,0,ownership,0.725056,0.814589,0.42282,0.685569,0.60654,0.725056,0.673049,0.691077
n10,mag0,bm-mag0-n10,9c81c7d3-2591-44e6-9bae-1ff3e12e83b3,agent_eta,2.77,0,0,evidence,0.835733,-0.696374,0.515508,0.835733,0.72876,0.781999,0.809561,0.8079
n10,mag0,bm-mag0-n10,6222a9e0-8c68-44b6-9c69-7d505a3350c1,agent_iota,2.829,0,0,evidence,0.874702,-0.747898,0.51643,0.874702,0.780559,0.796635,0.841658,0.843978
n10,mag0,bm-mag0-n10,ca822c9f-0356-46b9-ab41-7667c83208f6,agent_beta,3.408,0,0,evidence,0.783272,-0.789728,0.540792,0.783272,0.681519,0.742092,0.741715,0.739792
