scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,981d415f-9afd-4c01-a9f1-be0d53b17d7b,agent_beta,0.0,0,0,ownership,0.220597,0.707721,0.519037,0.141304,0.150909,0.220597,0.204569,0.179085
n10,mag0,bm-mag0-n10,84d69fb8-8e66-4c27-a884-3c6bbcb77913,agent_eta,0.023,0,0,risk,0.247533,0.550939,-0.032152,0.150453,0.197912,0.194855,0.241141,0.247533
n10,mag0,bm-mag0-n10,2e56cd6d-511e-4444-a8a6-695ef010abab,agent_kappa,0.07,0,0,time,0.101933,0.276513,0.732936,0.017857,0.055331,0.093659,0.101933,0.074448
n10,mag0,bm-mag0-n10,6cb19383-d71d-4b0a-a994-f8205ecf8ec2,agent_epsilon,0.073,0,0,time,0.192103,0.105407,0.754906,0.092338,0.137271,0.128245,0.192103,0.172811
n10,mag0,bm-mag0-n10,4851094c-2bbf-4513-a953-f8646b4adc17,agent_delta,0.107,0,0,evidence,0.181203,-0.610681,0.47227,0.181203,0.094671,0.155947,0.136088,0.155854
n10,mag0,bm-mag0-n10,7186b2f0-8c71-4830-ac35-62c7a46f8a3d,agent_zeta,0.284,0,0,ownership,0.20887,0.825601,0.435171,0.166026,0.135351,0.20887,0.13714,0.167815
n10,mag0,bm-mag0-n10,fdbefdfe-b26b-41c1-acde-019dea703864,agent_iota,0.337,0,0,time,0.066326,0.034734,0.837636,0.014254,0.025933,0.014777,0.066326,0.038502
n10,mag0,bm-mag0-n10,b06b6229-383e-48bb-b26e-3011135c66c4,agent_alpha,0.358,0,0,ownership,0.243651,0.832619,0.385835,0.168113,0.173706,0.243651,0.204342,0.218352
n10,mag0,bm-mag0-n10,608c41a7-3a68-4af4-87c1-f4a6bb46d2dd,agent_gamma,0.385,0,0,time,0.298566,-0.000673,0.94784,0.167319,0.231611,0.215053,0.298566,0.213853
n10,mag0,bm-mag0-n10,bd4e3016-3fe1-4e46-b099-69de1cbfffd8,agent_delta,0.542,0,0,risk,0.193557,0.29952,-0.268912,0.182777,0.175025,0.161131,0.13259,0.193557
n10,mag0,bm-mag0-n10,3012da1a-a2fc-4ce1-b5cf-90fb5b69e5f6,agent_theta,0.595,0,0,time,0.214948,-0.044034,0.753192,0.162713,0.193577,0.178841,0.214948,0.181409
n10,mag0,bm-mag0-n10,6b38ff38-71cc-444b-9d57-30cc9fac535e,agent_epsilon,0.613,0,0,risk,0.103163,0.250216,-0.315346,0.064188,0.099654,0.09251,0.070474,0.103163
n10,mag0,bm-mag0-n10,3eb84947-a473-410d-8266-b6696e4b8963,agent_beta,0.614,0,0,risk,0.145017,0.474156,-0.110496,0.124891,0.111018,0.100668,0.134099,0.145017
n10,mag0,bm-mag0-n10,76d3f373-65df-472f-b834-b5e0091c7bc3,agent_eta,0.767,0,0,evidence,0.197048,-0.560049,0.378614,0.197048,0.101747,0.157551,0.118916,0.18024
n10,mag0,bm-mag0-n10,7dc1df90-e272-450f-9fa0-aec41504702d,agent_iota,0.785,0,0,ownership,0.159356,0.84654,0.327544,0.089379,0.089755,0.159356,0.089484,0.139666
n10,mag0,bm-mag0-n10,e7646bf8-2adc-4f30-a4e2-03e954c22a03,agent_kappa,0.806,0,0,evidence,0.360791,-0.163115,0.141797,0.360791,0.285723,0.332858,0.276071,0.355964
n10,mag0,bm-mag0-n10,64c76106-ec80-42c5-91c7-9f41f151f46b,agent_gamma,1.008,0,0,risk,0.148471,0.58944,0.003975,0.11598,0.113064,0.137357,0.139842,0.148471
n10,mag0,bm-mag0-n10,1fc8195a-1c60-46fb-8c13-14ec6e980d62,agent_delta,1.543,0,0,evidence,0.225272,-0.755134,0.534281,0.225272,0.197035,0.170397,0.203645,0.170929
n10,mag0,bm-mag0-n10,6e953530-6fd2-4a11-95fb-2d3253cd1f6f,agent_epsilon,1.605,0,0,evidence,0.179234,-0.81367,0.527699,0.179234,0.104001,0.113815,0.099656,0.140232
n10,mag0,bm-mag0-n10,e45e49d7-14fd-4848-921c-740263097da4,agent_kappa,1.679,0,0,evidence,0.362449,-0.720881,0.566608,0.362449,0.275437,0.333011,0.33471,0.292378
n10,mag0,bm-mag0-n10,c8b9e14e-0e74-44ab-82f1-1aedc29ba1e9,agent_theta,1.842,0,0,testing,0.196166,-0.644715,-0.144345,0.114952,0.196166,0.146805,0.183397,0.150021
n10,mag0,bm-mag0-n10,2f9feddf-a6eb-4050-a342-ccfbb44f26d6,agent_iota,1.977,0,1,evidence,0.257524,-0.849795,0.549867,0.257524,0.144283,0.140338,0.131585,0.16642
n10,mag0,bm-mag0-n10,35e60cd8-9335-488f-bff1-3c9affb16a08,agent_eta,2.042,0,0,evidence,0.273557,-0.83241,0.546385,0.273557,0.213214,0.182108,0.228213,0.220698
n10,mag0,bm-mag0-n10,b55f7c38-d8d7-4d5b-8776-1ff8930dd1e3,agent_alpha,2.06,0,0,testing,0.141948,-0.38064,-0.251297,0.116798,0.141948,0.088691,0.125597,0.131366
n10,mag0,bm-mag0-n10,9db28f07-06b4-46cb-aa5e-e5f995444ad3,agent_delta,2.554,0,0,time,0.196566,-0.012497,0.175987,0.150207,0.191245,0.119244,0.196566,0.190854
n10,mag0,bm-mag0-n10,f10d49a4-d228-4012-a28e-f12f334c6b0f,agent_alpha,2.558,0,0,evidence,0.263706,-0.507751,0.470627,0.263706,0.198138,0.24333,0.23509,0.240751
n10,mag0,bm-mag0-n10,4632f1f1-d95d-4dc4-8675-e899c365f853,agent_epsilon,2.67,0,0,evidence,0.226945,-0.580481,0.453625,0.226945,0.213921,0.174464,0.218402,0.199089
n10,mag0,bm-mag0-n10,1de65de1-7e64-45c1-b0f0-5330068865fd,agent_kappa,2.704,0,0,testing,0.27413,-0.58125,-0.042858,0.272968,0.27413,0.243254,0.229434,0.262246
n10,mag0,bm-mag0-n10,cfed1e70-fa11-4232-8018-54d48e694c6b,agent_beta,2.769,0,0,evidence,0.256077,-0.621489,0.304973,0.256077,0.241049,0.231307,0.189368,0.23357
n10,mag0,bm-mag0-n10,9c81c7d3-2591-44e6-9bae-1ff3e12e83b3,agent_eta,2.77,0,0,evidence,0.297443,-0.775212,0.500742,0.297443,0.270784,0.253286,0.269212,0.250099
