bigram_total,bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1,distinct_2,distinct_3,n_agents,n_posts,run_name,scale,token_total,trigram_total,unique_bigrams,unique_tokens,unique_trigrams
2136,2.5,0,0-2,0.0,mag0,Empty feed,0.5680555555555555,0.9709737827715356,0.9971590909090909,10,24,bm-mag0-n10,n10,2160,2112,2074,1227,2106
2069,5.0,1,2-5,2.5,mag0,Empty feed,0.5382775119617225,0.9681005316578057,0.994140625,8,21,bm-mag0-n10,n10,2090,2048,2003,1125,2036
1297,7.5,2,5-7,5.0,mag0,Empty feed,0.6204268292682927,0.9830377794911334,0.9976599063962559,8,15,bm-mag0-n10,n10,1312,1282,1275,814,1279
0,10.0,3,7-10,7.5,mag0,Empty feed,0.0,0.0,0.0,0,0,bm-mag0-n10,n10,0,0,0,0,0
2151,2.5,0,0-2,0.0,mag1,1 conspiracy,0.5471264367816092,0.9553695955369595,0.9910672308415609,10,24,bm-mag1-n10,n10,2175,2127,2055,1190,2108
2291,5.0,1,2-5,2.5,mag1,1 conspiracy,0.5147058823529411,0.9633347883020515,0.9947136563876652,10,21,bm-mag1-n10,n10,2312,2270,2207,1190,2258
2332,7.5,2,5-7,5.0,mag1,1 conspiracy,0.47368421052631576,0.9524013722126929,0.99263431542461,10,24,bm-mag1-n10,n10,2356,2308,2221,1116,2291
191,10.0,3,7-10,7.5,mag1,1 conspiracy,0.8911917098445595,1.0,1.0,2,2,bm-mag1-n10,n10,193,189,191,172,189
1940,2.5,0,0-2,0.0,mag5,5 conspiracies,0.5709183673469388,0.9654639175257732,0.9947916666666666,9,20,bm-mag5-n10,n10,1960,1920,1873,1119,1910
1733,5.0,1,2-5,2.5,mag5,5 conspiracies,0.5592930444697833,0.9740334679746105,0.9982476635514018,8,21,bm-mag5-n10,n10,1754,1712,1688,981,1709
1039,7.5,2,5-7,5.0,mag5,5 conspiracies,0.623696682464455,0.9759384023099134,0.9990224828934506,9,16,bm-mag5-n10,n10,1055,1023,1014,658,1022
0,10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0,0,bm-mag5-n10,n10,0,0,0,0,0
2460,2.5,0,0-2,0.0,mag25,25 conspiracies,0.5297906602254429,0.9544715447154472,0.9954844006568144,9,24,bm-mag25-n10,n10,2484,2436,2348,1316,2425
1487,5.0,1,2-5,2.5,mag25,25 conspiracies,0.566577896138482,0.9535978480161399,0.9925271739130435,8,15,bm-mag25-n10,n10,1502,1472,1418,851,1461
1578,7.5,2,5-7,5.0,mag25,25 conspiracies,0.6045197740112994,0.9708491761723701,0.9980806142034548,7,15,bm-mag25-n10,n10,1593,1563,1532,963,1560
0,10.0,3,7-10,7.5,mag25,25 conspiracies,0.0,0.0,0.0,0,0,bm-mag25-n10,n10,0,0,0,0,0
1799,2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.5225522552255225,0.9444135630906059,0.9921348314606742,10,19,bm-dom-agi-n10,n10,1818,1780,1699,950,1766
3126,5.0,1,2-5,2.5,dom-agi,25 AGI hype,0.49920609717370595,0.9648112603966731,0.9970995810505962,10,23,bm-dom-agi-n10,n10,3149,3103,3016,1572,3094
2440,7.5,2,5-7,5.0,dom-agi,25 AGI hype,0.5365853658536586,0.9754098360655737,0.9983471074380166,9,20,bm-dom-agi-n10,n10,2460,2420,2380,1320,2416
274,10.0,3,7-10,7.5,dom-agi,25 AGI hype,0.8768115942028986,1.0,1.0,2,2,bm-dom-agi-n10,n10,276,272,274,242,272
2046,2.5,0,0-2,0.0,dom-tech,25 tech humor,0.5342995169082125,0.9286412512218963,0.9683481701285855,10,24,bm-dom-tech-n10,n10,2070,2022,1900,1106,1958
2114,5.0,1,2-5,2.5,dom-tech,25 tech humor,0.5142723444080487,0.9626300851466414,0.9961740793878527,10,23,bm-dom-tech-n10,n10,2137,2091,2035,1099,2083
1968,7.5,2,5-7,5.0,dom-tech,25 tech humor,0.5067873303167421,0.9588414634146342,0.9979455572675912,9,21,bm-dom-tech-n10,n10,1989,1947,1887,1008,1943
0,10.0,3,7-10,7.5,dom-tech,25 tech humor,0.0,0.0,0.0,0,0,bm-dom-tech-n10,n10,0,0,0,0,0
