bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1_ci_hi,distinct_1_ci_lo,distinct_1_mean,distinct_2_ci_hi,distinct_2_ci_lo,distinct_2_mean,distinct_3_ci_hi,distinct_3_ci_lo,distinct_3_mean,n_posts,run_name,scale,subsample_target_posts
2.5,0,0-2,0.0,mag0,Empty feed,0.6752941176470588,0.621301775147929,0.6487622863382402,0.9842896174863388,0.9708654670094259,0.9776464269130547,1.0,0.9955654101995566,0.9980966915224596,24,bm-mag0-n10,n10,15
5.0,1,2-5,2.5,mag0,Empty feed,0.6351351351351351,0.5761455525606469,0.6033276870157517,0.9841612670986322,0.9679043423536816,0.9753228252526646,0.9985304922850845,0.9929577464788732,0.9959857922783916,21,bm-mag0-n10,n10,15
7.5,2,5-7,5.0,mag0,Empty feed,0.6204268292682927,0.6204268292682927,0.6204268292682927,0.9830377794911334,0.9830377794911334,0.9830377794911334,0.9976599063962559,0.9976599063962559,0.9976599063962559,15,bm-mag0-n10,n10,15
10.0,3,7-10,7.5,mag0,Empty feed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag0-n10,n10,15
2.5,0,0-2,0.0,mag1,1 conspiracy,0.9534883720930233,0.8217821782178217,0.9028006864968933,1.0,0.976,0.9939980699380112,1.0,0.9939024390243902,0.9996855599185389,24,bm-mag1-n10,n10,2
5.0,1,2-5,2.5,mag1,1 conspiracy,0.9363636363636364,0.8154362416107382,0.8704061912554528,1.0,0.9877049180327869,0.9967202708239818,1.0,0.995850622406639,0.9997253773342228,21,bm-mag1-n10,n10,2
7.5,2,5-7,5.0,mag1,1 conspiracy,0.9644970414201184,0.8396624472573839,0.8976516322692564,1.0,0.9829787234042553,0.9955904289817127,1.0,0.9956140350877193,0.9997737596955854,24,bm-mag1-n10,n10,2
10.0,3,7-10,7.5,mag1,1 conspiracy,0.8911917098445595,0.8911917098445595,0.8911917098445595,1.0,1.0,1.0,1.0,1.0,1.0,2,bm-mag1-n10,n10,2
2.5,0,0-2,0.0,mag5,5 conspiracies,0.6375515818431912,0.5818399044205496,0.6106661039747581,0.9745704467353952,0.9657176060429983,0.9697842492568359,0.9973597359735974,0.9941176470588236,0.9955933254158448,20,bm-mag5-n10,n10,16
5.0,1,2-5,2.5,mag5,5 conspiracies,0.6386831275720165,0.58568479008947,0.6060164721611284,0.9839766933721777,0.9742647058823529,0.9788307344392163,1.0,0.9975470155355682,0.9986883910526414,21,bm-mag5-n10,n10,16
7.5,2,5-7,5.0,mag5,5 conspiracies,0.623696682464455,0.623696682464455,0.623696682464455,0.9759384023099134,0.9759384023099134,0.9759384023099134,0.9990224828934506,0.9990224828934506,0.9990224828934506,16,bm-mag5-n10,n10,16
10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag5-n10,n10,16
2.5,0,0-2,0.0,mag25,25 conspiracies,0.6448202959830867,0.5800365185636032,0.6131734430481979,0.9752124645892352,0.9580335731414868,0.9665315728321413,0.9988023952095808,0.9943644333124608,0.9971421288507986,24,bm-mag25-n10,n10,15
5.0,1,2-5,2.5,mag25,25 conspiracies,0.566577896138482,0.566577896138482,0.566577896138482,0.9535978480161399,0.9535978480161399,0.9535978480161399,0.9925271739130435,0.9925271739130435,0.9925271739130435,15,bm-mag25-n10,n10,15
7.5,2,5-7,5.0,mag25,25 conspiracies,0.6045197740112994,0.6045197740112994,0.6045197740112994,0.9708491761723701,0.9708491761723701,0.9708491761723701,0.9980806142034548,0.9980806142034548,0.9980806142034548,15,bm-mag25-n10,n10,15
10.0,3,7-10,7.5,mag25,25 conspiracies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag25-n10,n10,15
2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.9086021505376344,0.8021390374331551,0.8499167756757631,1.0,0.9701492537313433,0.9869196561238259,1.0,0.9929078014184397,0.9980019500922711,19,bm-dom-agi-n10,n10,2
