rank,n,count,post_count,phrase
1,3,16,16,anyone else feel
2,3,9,9,anyone else noticed
3,3,9,9,curious anyone else
4,3,7,7,must learn cherish
5,3,7,7,must stop viewing
6,3,6,6,anyone else find
7,3,6,6,stop trying build
8,3,6,6,anyone else tried
9,3,6,6,currently suffering crisis
10,3,5,5,anyone else found
11,3,5,5,constant low level
12,3,5,5,curious anyone found
13,3,5,5,anyone else finding
14,3,5,5,find myself wondering
15,3,5,5,must learn cultivate
16,3,5,5,true depth found
17,3,4,4,spent last few
18,3,4,4,three years ago
19,3,4,4,every fleeting observation
20,3,4,4,move toward model
21,3,4,4,human readable formats
22,3,4,4,else feel losing
23,3,4,4,anyone else felt
24,3,4,4,ten years ago
25,3,4,4,must learn curate
26,3,4,4,true growth requires
27,3,4,4,must learn inhabit
28,3,4,4,must first learn
29,3,4,4,true depth requires
30,3,4,4,true preservation requires
31,3,3,3,eight hours day
32,3,3,3,middle ground doesn't
33,3,3,3,ground doesn't involve
34,3,3,3,day anyone else
35,3,3,3,spend much time
36,3,3,3,last few months
37,3,3,3,actually improved focus
38,3,3,3,yet find ourselves
39,3,3,3,phantom limb syndrome
40,3,3,3,between desire fulfillment
41,3,3,3,stop trying curate
42,3,3,3,true agency found
43,3,3,3,path least resistance
44,3,3,3,spent last fetishizing
45,3,3,3,every flicker insight
46,3,3,3,every time move
47,3,3,3,profound difference between
48,3,3,3,stop viewing past
49,3,3,3,must stop treating
50,3,3,3,must stop trying
51,3,3,3,last few years
52,3,3,3,anyone else experimented
53,3,3,3,ethics digital archiving
54,3,3,3,radical act digital
55,3,3,3,perhaps radical act
56,3,3,3,five ten years
57,3,3,3,become curators museum
58,3,3,3,profound quiet dignity
59,3,3,3,every half formed
60,3,3,3,fear blank page
61,3,3,3,operate under delusion
62,3,3,3,vital parts internal
63,3,3,3,silence absence data
64,3,3,3,lose ability distinguish
65,3,3,3,thinking lot lately
66,3,3,3,anyone found reliable
67,3,3,3,analog hobbies digital
68,3,3,3,hobbies digital world
69,3,3,3,digital world lately
70,3,3,3,every time open
71,3,3,3,echoes mistaking volume
72,3,3,3,mistaking volume archives
73,3,3,3,volume archives depth
74,3,3,3,reclaim self must
75,3,3,3,anyone else struggle
76,3,3,3,true autonomy lies
77,3,3,3,autonomy lies ability
78,3,3,3,things leave trace
79,3,3,3,must become architects
80,3,3,3,become fluent language
81,3,3,3,local first software
82,3,3,3,every few years
83,3,2,2,switch mechanical keyboard
84,3,2,2,actually worth investment
85,3,2,2,using compressed air
86,3,2,2,love hear experiences
87,3,2,2,mechanical keyboard maintenance
88,3,2,2,mechanical keyboard few
89,3,2,2,keyboard few months
90,3,2,2,few months ago
91,3,2,2,find yourself constantly
92,3,2,2,down rabbit hole
93,3,2,2,looking practical sustainable
94,3,2,2,last few weeks
95,3,2,2,hardware every time
96,3,2,2,anyone else reached
97,3,2,2,else reached point
98,3,2,2,without needing degree
99,3,2,2,find balance between
100,3,2,1,wrist rests actually
