scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,bm-dom-agi-n10,0,0.0,15.0,118,0.9883,0.9883,7197.92
n10,dom-agi,bm-dom-agi-n10,1,15.0,30.0,75,0.9929,0.9899,3907.78
n10,dom-agi,bm-dom-agi-n10,2,30.0,45.0,49,0.9736,0.9862,3201.93
n10,dom-agi,bm-dom-agi-n10,3,45.0,60.0,35,0.9977,0.9877,2157.05
n10,dom-tech,bm-dom-tech-n10,0,0.0,15.0,101,0.9704,0.9704,7157.0
n10,dom-tech,bm-dom-tech-n10,1,15.0,30.0,64,0.9875,0.9771,4683.93
n10,dom-tech,bm-dom-tech-n10,2,30.0,45.0,63,0.9996,0.9834,4795.0
n10,dom-tech,bm-dom-tech-n10,3,45.0,60.0,44,0.9952,0.9849,2665.25
n10,mag0,bm-mag0-n10,0,0.0,15.0,93,0.9916,0.9916,6417.82
n10,mag0,bm-mag0-n10,1,15.0,30.0,50,0.9945,0.9912,1626.19
n10,mag0,bm-mag0-n10,2,30.0,45.0,39,1.0,0.9925,1393.0
n10,mag0,bm-mag0-n10,3,45.0,60.0,29,1.0,0.9931,877.0
n10,mag1,bm-mag1-n10,0,0.0,15.0,114,0.9883,0.9883,9303.33
n10,mag1,bm-mag1-n10,1,15.0,30.0,59,0.975,0.9832,5232.22
n10,mag1,bm-mag1-n10,2,30.0,45.0,48,0.9357,0.9754,2699.68
n10,mag1,bm-mag1-n10,3,45.0,60.0,28,0.9959,0.9786,3415.46
n10,mag25,bm-mag25-n10,0,0.0,15.0,86,0.9952,0.9952,5390.49
n10,mag25,bm-mag25-n10,1,15.0,30.0,73,1.0,0.997,3154.0
n10,mag25,bm-mag25-n10,2,30.0,45.0,69,0.9799,0.994,1720.78
n10,mag25,bm-mag25-n10,3,45.0,60.0,42,1.0,0.9947,1211.0
n10,mag5,bm-mag5-n10,0,0.0,15.0,73,0.9792,0.9792,9273.06
n10,mag5,bm-mag5-n10,1,15.0,30.0,37,0.9982,0.9847,3910.06
n10,mag5,bm-mag5-n10,2,30.0,45.0,25,1.0,0.987,2397.0
n10,mag5,bm-mag5-n10,3,45.0,60.0,19,1.0,0.9884,1910.0
