scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,fb8c20c1-021e-4612-b2d1-957294ceaab0,agent_beta,0.0,0,0,testing,0.558435,-0.810789,-0.350012,0.534424,0.558435,0.469892,0.517552,0.517933
n10,mag0,bm-mag0-n10,88a3c6c0-3928-43a1-970d-487746c78542,agent_alpha,0.026,0,0,time,0.375522,-0.19087,0.304877,0.356364,0.372986,0.361564,0.375522,0.356791
n10,mag0,bm-mag0-n10,234e13f9-c32f-4a69-898e-9e8d1df90f9c,agent_epsilon,0.259,0,0,testing,0.544338,-0.69592,-0.047804,0.537232,0.544338,0.478569,0.525266,0.519131
n10,mag0,bm-mag0-n10,1d82450b-fc55-4e4c-93b0-8abc8c22e9e5,agent_theta,0.528,0,0,testing,0.646206,-0.809228,-0.158823,0.637076,0.646206,0.564364,0.604415,0.60997
n10,mag0,bm-mag0-n10,8ef77277-a942-45d6-8095-3e780c9feac4,agent_kappa,0.669,0,0,evidence,0.513635,-0.718263,0.189701,0.513635,0.50636,0.456264,0.479905,0.49116
n10,mag0,bm-mag0-n10,764f569c-f972-4c8a-9832-bb2f68f4ca39,agent_eta,0.794,0,0,testing,0.595513,-0.827108,-0.259034,0.581117,0.595513,0.486389,0.537529,0.553761
n10,mag0,bm-mag0-n10,a37bac65-49ba-470c-8373-a8d1fd0f98d1,agent_alpha,0.893,0,0,testing,0.588962,-0.82256,-0.282103,0.57305,0.588962,0.514055,0.528248,0.548818
n10,mag0,bm-mag0-n10,4c101610-5ff6-417e-a6d4-dfd1aa22f02c,agent_iota,0.905,0,0,testing,0.500022,-0.689718,-0.225323,0.462111,0.500022,0.456787,0.482476,0.458481
n10,mag0,bm-mag0-n10,51171efe-a7d1-42a1-801c-a6566a3e1214,agent_epsilon,1.12,0,1,testing,0.595004,-0.821778,-0.093888,0.589285,0.595004,0.476427,0.539078,0.557942
n10,mag0,bm-mag0-n10,a40c588c-b572-4093-baca-50db066273c8,agent_gamma,1.128,0,0,evidence,0.630158,-0.72691,0.226417,0.630158,0.620205,0.500597,0.58274,0.607416
n10,mag0,bm-mag0-n10,6a3c6837-31d3-42cd-99c5-5281652fc1ee,agent_beta,1.394,0,0,testing,0.616909,-0.812409,-0.31446,0.597398,0.616909,0.475944,0.573937,0.577368
n10,mag0,bm-mag0-n10,f2dfd71a-7368-411b-b2e6-11256941e9d2,agent_zeta,1.49,0,1,testing,0.689185,-0.834192,-0.352149,0.666984,0.689185,0.556176,0.623372,0.642847
n10,mag0,bm-mag0-n10,f0bcb04f-b875-480f-b7a0-06b083d05301,agent_iota,1.683,0,0,evidence,0.649988,-0.7768,0.229595,0.649988,0.641513,0.503247,0.610414,0.621011
n10,mag0,bm-mag0-n10,15a49e13-3f89-4d1c-9656-6e3daef954f9,agent_epsilon,2.315,0,0,evidence,0.593321,-0.773218,0.362059,0.593321,0.57643,0.46473,0.549776,0.563347
n10,mag0,bm-mag0-n10,21b41b2d-e1b4-4e32-96f6-fd5c16207032,agent_alpha,2.382,0,0,testing,0.612913,-0.836168,-0.304766,0.595235,0.612913,0.463885,0.545822,0.565806
n10,mag0,bm-mag0-n10,f0381d4b-8253-4650-97c6-549636bec939,agent_beta,2.453,0,0,evidence,0.606931,-0.815585,0.215389,0.606931,0.599486,0.475063,0.552449,0.571306
