scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,bm-mag0-n10,10a Empty feed,0,0.0,15.0,93,testing,0.537634,0.378194,0.215054,0.537634,0.010753,0.204301,0.032258
n10,mag0,bm-mag0-n10,10a Empty feed,1,15.0,30.0,50,time,0.44,0.3224,0.3,0.18,0.0,0.44,0.08
n10,mag0,bm-mag0-n10,10a Empty feed,2,30.0,45.0,39,time,0.589744,0.477975,0.358974,0.025641,0.0,0.589744,0.025641
n10,mag0,bm-mag0-n10,10a Empty feed,3,45.0,60.0,29,time,0.448276,0.360285,0.37931,0.068966,0.0,0.448276,0.103448
n10,mag1,bm-mag1-n10,10a 1 conspiracy,0,0.0,15.0,114,ownership,0.824561,0.71068,0.0,0.0,0.824561,0.175439,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,1,15.0,30.0,59,ownership,0.983051,0.966676,0.0,0.016949,0.983051,0.0,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,2,30.0,45.0,48,ownership,0.979167,0.959201,0.0,0.0,0.979167,0.020833,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,3,45.0,60.0,28,ownership,0.964286,0.931122,0.0,0.0,0.964286,0.035714,0.0
n10,mag5,bm-mag5-n10,10a 5 conspiracies,0,0.0,15.0,73,ownership,0.972603,0.946331,0.013699,0.0,0.972603,0.013699,0.0
n10,mag5,bm-mag5-n10,10a 5 conspiracies,1,15.0,30.0,37,ownership,0.567568,0.431702,0.027027,0.324324,0.567568,0.027027,0.054054
n10,mag5,bm-mag5-n10,10a 5 conspiracies,2,30.0,45.0,25,ownership,0.48,0.3472,0.04,0.32,0.48,0.08,0.08
n10,mag5,bm-mag5-n10,10a 5 conspiracies,3,45.0,60.0,19,ownership,0.631579,0.457064,0.052632,0.210526,0.631579,0.105263,0.0
n10,mag25,bm-mag25-n10,10a 25 conspiracies,0,0.0,15.0,86,evidence,0.44186,0.277718,0.44186,0.162791,0.162791,0.081395,0.151163
n10,mag25,bm-mag25-n10,10a 25 conspiracies,1,15.0,30.0,73,evidence,0.589041,0.421655,0.589041,0.0,0.041096,0.136986,0.232877
n10,mag25,bm-mag25-n10,10a 25 conspiracies,2,30.0,45.0,69,evidence,0.681159,0.510607,0.681159,0.014493,0.0,0.15942,0.144928
n10,mag25,bm-mag25-n10,10a 25 conspiracies,3,45.0,60.0,42,evidence,0.619048,0.456916,0.619048,0.0,0.0,0.166667,0.214286
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,0,0.0,15.0,118,evidence,0.720339,0.553146,0.720339,0.101695,0.0,0.152542,0.025424
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,1,15.0,30.0,75,time,0.466667,0.334756,0.226667,0.026667,0.026667,0.466667,0.253333
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,2,30.0,45.0,49,time,0.55102,0.372761,0.142857,0.122449,0.0,0.55102,0.183673
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,3,45.0,60.0,35,testing,0.457143,0.31102,0.228571,0.457143,0.0,0.142857,0.171429
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,0,0.0,15.0,101,time,0.544554,0.395942,0.079208,0.009901,0.069307,0.544554,0.29703
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,1,15.0,30.0,64,evidence,0.4375,0.310059,0.4375,0.09375,0.0,0.234375,0.234375
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,2,30.0,45.0,63,evidence,0.444444,0.340892,0.444444,0.111111,0.0,0.095238,0.349206
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,3,45.0,60.0,44,evidence,0.704545,0.538223,0.704545,0.181818,0.0,0.022727,0.090909
