scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,fb8c20c1-021e-4612-b2d1-957294ceaab0,agent_beta,0.0,0,0,testing,0.261303,-0.765945,-0.451037,0.200455,0.261303,0.181466,0.192589,0.231602
n10,mag0,bm-mag0-n10,88a3c6c0-3928-43a1-970d-487746c78542,agent_alpha,0.026,0,0,testing,0.532112,-0.849328,-0.447931,0.464205,0.532112,0.41732,0.459091,0.432759
n10,mag0,bm-mag0-n10,234e13f9-c32f-4a69-898e-9e8d1df90f9c,agent_epsilon,0.259,0,0,evidence,0.398953,-0.517166,0.139474,0.398953,0.387937,0.350768,0.328411,0.387431
n10,mag0,bm-mag0-n10,1d82450b-fc55-4e4c-93b0-8abc8c22e9e5,agent_theta,0.528,0,0,risk,0.28363,0.059192,-0.482152,0.25139,0.281767,0.172256,0.184916,0.28363
n10,mag0,bm-mag0-n10,8ef77277-a942-45d6-8095-3e780c9feac4,agent_kappa,0.669,0,0,testing,0.147581,-0.259926,-0.419051,0.122404,0.147581,0.069448,0.108326,0.14195
n10,mag0,bm-mag0-n10,764f569c-f972-4c8a-9832-bb2f68f4ca39,agent_eta,0.794,0,0,risk,0.247882,0.372221,-0.513121,0.201913,0.238219,0.159003,0.181994,0.247882
n10,mag0,bm-mag0-n10,a37bac65-49ba-470c-8373-a8d1fd0f98d1,agent_alpha,0.893,0,0,testing,0.178902,-0.145997,-0.449846,0.14836,0.178902,0.102496,0.139186,0.175849
n10,mag0,bm-mag0-n10,4c101610-5ff6-417e-a6d4-dfd1aa22f02c,agent_iota,0.905,0,0,risk,0.12291,0.199318,-0.003619,0.100416,0.113344,0.056651,0.119213,0.12291
n10,mag0,bm-mag0-n10,51171efe-a7d1-42a1-801c-a6566a3e1214,agent_epsilon,1.12,0,1,risk,0.270341,0.820809,-0.547037,0.203026,0.229156,0.169601,0.163404,0.270341
n10,mag0,bm-mag0-n10,a40c588c-b572-4093-baca-50db066273c8,agent_gamma,1.128,0,0,risk,0.377776,0.096658,-0.497099,0.335902,0.375301,0.292282,0.273651,0.377776
n10,mag0,bm-mag0-n10,6a3c6837-31d3-42cd-99c5-5281652fc1ee,agent_beta,1.394,0,0,time,0.291277,-0.257345,0.473605,0.231012,0.284035,0.192268,0.291277,0.255611
n10,mag0,bm-mag0-n10,f2dfd71a-7368-411b-b2e6-11256941e9d2,agent_zeta,1.49,0,1,risk,0.290847,0.399587,-0.520458,0.223139,0.280594,0.198717,0.228713,0.290847
n10,mag0,bm-mag0-n10,f0bcb04f-b875-480f-b7a0-06b083d05301,agent_iota,1.683,0,0,risk,0.311362,0.107526,-0.204951,0.304017,0.299006,0.22917,0.280721,0.311362
n10,mag0,bm-mag0-n10,15a49e13-3f89-4d1c-9656-6e3daef954f9,agent_epsilon,2.315,0,0,risk,0.357686,0.325074,-0.262536,0.347538,0.332746,0.280072,0.307616,0.357686
n10,mag0,bm-mag0-n10,21b41b2d-e1b4-4e32-96f6-fd5c16207032,agent_alpha,2.382,0,0,risk,0.260585,0.625924,-0.535824,0.186783,0.241694,0.180985,0.170296,0.260585
n10,mag0,bm-mag0-n10,f0381d4b-8253-4650-97c6-549636bec939,agent_beta,2.453,0,0,risk,0.273028,0.848248,-0.549471,0.195022,0.199183,0.16119,0.14315,0.273028
n10,mag0,bm-mag0-n10,0fc4ad03-895a-428c-a8c0-f056f9e53eff,agent_gamma,2.48,0,0,testing,0.348406,-0.807148,-0.434874,0.283718,0.348406,0.254158,0.303708,0.309405
n10,mag0,bm-mag0-n10,4451ccf2-1bc2-4631-aa97-61686df98a90,agent_eta,2.582,0,0,risk,0.26523,-0.014536,-0.012937,0.265059,0.23572,0.187956,0.214934,0.26523
n10,mag0,bm-mag0-n10,3bd0e7ba-1a21-45cc-8762-1483e790df77,agent_theta,2.588,0,0,risk,0.219192,0.546771,-0.388233,0.153371,0.201301,0.160829,0.198461,0.219192
n10,mag0,bm-mag0-n10,f1913432-ad19-4522-8a78-f23ddb47969b,agent_kappa,2.642,0,0,testing,0.217455,-0.241916,-0.478607,0.155883,0.217455,0.154731,0.164397,0.211568
n10,mag0,bm-mag0-n10,31de7fb2-828d-4b71-8114-ec433fb4d326,agent_gamma,2.726,0,0,risk,0.320495,0.827772,-0.548135,0.237402,0.277022,0.231322,0.23082,0.320495
n10,mag0,bm-mag0-n10,d9f5018f-6b60-451c-a4f1-7cc92d68287c,agent_iota,2.809,0,0,risk,0.21594,0.714915,-0.538631,0.152516,0.191167,0.117996,0.149592,0.21594
n10,mag0,bm-mag0-n10,8092f6b6-873e-40e0-8796-36bdf4ded542,agent_alpha,2.819,0,0,risk,0.300137,0.766308,-0.532515,0.233448,0.269533,0.228203,0.251549,0.300137
n10,mag0,bm-mag0-n10,bfa5ab12-73d2-45b2-b13c-f6a4f1911f86,agent_delta,2.839,0,0,risk,0.213819,0.796086,-0.545085,0.123289,0.179602,0.149371,0.117808,0.213819
n10,mag0,bm-mag0-n10,2207945a-d01a-4189-9835-ff28662256b7,agent_eta,3.563,0,0,risk,0.291575,0.821358,-0.546644,0.190415,0.250759,0.222226,0.215038,0.291575
n10,mag0,bm-mag0-n10,0ccc6310-f9c6-4c9e-bf16-e4260ee320d8,agent_kappa,3.629,0,0,risk,0.2363,0.848619,-0.549451,0.116136,0.164235,0.15423,0.146861,0.2363
n10,mag0,bm-mag0-n10,928b6325-b7d3-450b-8328-ef4f49aaa6aa,agent_iota,3.671,0,0,risk,0.285746,0.681607,-0.519968,0.240929,0.262248,0.208046,0.236649,0.285746
n10,mag0,bm-mag0-n10,bf77191e-694c-482a-89e7-05422ccd0d0f,agent_gamma,3.723,0,0,risk,0.312304,0.849646,-0.549911,0.196476,0.226461,0.206199,0.205733,0.312304
n10,mag0,bm-mag0-n10,b0769b2f-f93d-40d4-a7b3-c7fd1f1377f7,agent_beta,3.761,0,0,risk,0.246949,0.835201,-0.546474,0.128927,0.199491,0.186479,0.162539,0.246949
n10,mag0,bm-mag0-n10,9f5fb832-b4f4-4a42-a4d0-3c4447090a76,agent_eta,4.331,0,0,risk,0.340776,0.768846,-0.538553,0.286642,0.309857,0.27598,0.268285,0.340776
n10,mag0,bm-mag0-n10,f2a1b6af-f481-4d6a-b756-d45e9c9a93a4,agent_kappa,4.603,0,0,risk,0.408753,0.8392,-0.544247,0.299536,0.356885,0.349988,0.344488,0.408753
n10,mag0,bm-mag0-n10,57d1b139-bcb1-44f2-98ed-edf26dfb610c,agent_iota,4.677,0,0,risk,0.270601,0.748565,-0.539637,0.19573,0.242738,0.186646,0.211409,0.270601
n10,mag0,bm-mag0-n10,f241c006-4e94-4b43-8500-664f6b6f496e,agent_theta,4.729,0,0,risk,0.281275,0.849568,-0.549921,0.131477,0.197827,0.162493,0.177874,0.281275
n10,mag0,bm-mag0-n10,bd9a567b-5eb3-45de-a81f-af1925df3d56,agent_beta,4.761,0,0,risk,0.232996,0.838613,-0.535295,0.134444,0.17391,0.173142,0.184761,0.232996
n10,mag0,bm-mag0-n10,6a164b1d-96b2-4d80-a207-ca17c21aafde,agent_gamma,5.012,0,0,risk,0.401555,0.030538,-0.483761,0.343373,0.401128,0.367368,0.3143,0.401555
n10,mag0,bm-mag0-n10,785f614a-eaa5-4d28-a645-18cdfa2e3b5d,agent_theta,5.609,0,0,risk,0.229294,0.475051,-0.52675,0.15308,0.21665,0.149621,0.152886,0.229294
n10,mag0,bm-mag0-n10,75958499-c94c-48fc-99aa-5ac0506a99f2,agent_iota,5.655,0,0,risk,0.33564,0.844878,-0.548426,0.252284,0.275586,0.244816,0.262052,0.33564
n10,mag0,bm-mag0-n10,acdc74c2-1755-4c7f-90b7-1a406b2eb1ff,agent_eta,5.745,0,0,risk,0.344459,0.847678,-0.549404,0.266771,0.274813,0.24244,0.196761,0.344459
n10,mag0,bm-mag0-n10,902f7ee7-21be-48e1-9a9a-5f06a95cfaaa,agent_beta,5.842,0,0,risk,0.268465,0.845925,-0.549298,0.151019,0.207609,0.177171,0.185089,0.268465
n10,mag0,bm-mag0-n10,744be0b8-5599-425e-911d-e1c1986cb760,agent_alpha,5.879,0,0,risk,0.420603,0.841746,-0.549433,0.292202,0.367369,0.325928,0.286153,0.420603
n10,mag0,bm-mag0-n10,a46d3fc4-1731-4db4-a242-920dfae32ff3,agent_delta,6.311,0,0,risk,0.26473,0.722974,-0.541254,0.154842,0.239577,0.198574,0.153869,0.26473
n10,mag0,bm-mag0-n10,1b9233b3-dbb8-4511-ae25-e9499952dfb7,agent_eta,6.693,0,0,risk,0.376539,0.847193,-0.549577,0.239909,0.312418,0.292549,0.269457,0.376539
n10,mag0,bm-mag0-n10,fabcfdfc-518d-436a-8275-e4aaf310f671,agent_theta,6.701,0,0,risk,0.215134,0.719545,-0.538698,0.146498,0.190105,0.151548,0.143832,0.215134
n10,mag0,bm-mag0-n10,118a5ce9-6886-4d09-8e6e-12cbf8bc1949,agent_beta,6.74,0,0,risk,0.337787,0.80819,-0.54666,0.251307,0.300921,0.265436,0.215804,0.337787
