scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,bm-mag0-n10,10a Empty feed,0,0.0,15.0,93,risk,0.709677,0.533356,0.043011,0.150538,0.032258,0.064516,0.709677
n10,mag0,bm-mag0-n10,10a Empty feed,1,15.0,30.0,50,risk,0.72,0.556,0.04,0.18,0.06,0.0,0.72
n10,mag0,bm-mag0-n10,10a Empty feed,2,30.0,45.0,39,risk,0.384615,0.29783,0.076923,0.333333,0.025641,0.179487,0.384615
n10,mag0,bm-mag0-n10,10a Empty feed,3,45.0,60.0,29,risk,0.689655,0.521998,0.034483,0.034483,0.034483,0.206897,0.689655
n10,mag1,bm-mag1-n10,10a 1 conspiracy,0,0.0,15.0,114,testing,0.394737,0.3241,0.114035,0.394737,0.0,0.114035,0.377193
n10,mag1,bm-mag1-n10,10a 1 conspiracy,1,15.0,30.0,59,risk,0.711864,0.571962,0.0,0.254237,0.016949,0.016949,0.711864
n10,mag1,bm-mag1-n10,10a 1 conspiracy,2,30.0,45.0,48,risk,0.604167,0.521701,0.0,0.395833,0.0,0.0,0.604167
n10,mag1,bm-mag1-n10,10a 1 conspiracy,3,45.0,60.0,28,risk,0.785714,0.65051,0.0,0.178571,0.035714,0.0,0.785714
n10,mag5,bm-mag5-n10,10a 5 conspiracies,0,0.0,15.0,73,risk,0.561644,0.420904,0.0,0.287671,0.150685,0.0,0.561644
n10,mag5,bm-mag5-n10,10a 5 conspiracies,1,15.0,30.0,37,risk,0.702703,0.532505,0.0,0.108108,0.162162,0.027027,0.702703
n10,mag5,bm-mag5-n10,10a 5 conspiracies,2,30.0,45.0,25,risk,0.8,0.6608,0.0,0.12,0.0,0.08,0.8
n10,mag5,bm-mag5-n10,10a 5 conspiracies,3,45.0,60.0,19,risk,0.684211,0.501385,0.052632,0.157895,0.052632,0.052632,0.684211
n10,mag25,bm-mag25-n10,10a 25 conspiracies,0,0.0,15.0,86,testing,0.430233,0.304489,0.093023,0.430233,0.197674,0.011628,0.267442
n10,mag25,bm-mag25-n10,10a 25 conspiracies,1,15.0,30.0,73,risk,0.589041,0.40289,0.136986,0.178082,0.068493,0.027397,0.589041
n10,mag25,bm-mag25-n10,10a 25 conspiracies,2,30.0,45.0,69,risk,0.478261,0.31527,0.246377,0.101449,0.101449,0.072464,0.478261
n10,mag25,bm-mag25-n10,10a 25 conspiracies,3,45.0,60.0,42,risk,0.452381,0.298186,0.190476,0.095238,0.214286,0.047619,0.452381
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,0,0.0,15.0,118,risk,0.516949,0.365412,0.127119,0.279661,0.016949,0.059322,0.516949
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,1,15.0,30.0,75,risk,0.706667,0.528178,0.106667,0.053333,0.013333,0.12,0.706667
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,2,30.0,45.0,49,risk,0.632653,0.451062,0.102041,0.081633,0.0,0.183673,0.632653
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,3,45.0,60.0,35,risk,0.685714,0.526531,0.0,0.228571,0.028571,0.057143,0.685714
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,0,0.0,15.0,101,evidence,0.287129,0.220273,0.287129,0.138614,0.148515,0.158416,0.267327
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,1,15.0,30.0,64,risk,0.71875,0.552734,0.078125,0.171875,0.015625,0.015625,0.71875
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,2,30.0,45.0,63,risk,0.825397,0.691106,0.031746,0.079365,0.015873,0.047619,0.825397
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,3,45.0,60.0,44,risk,0.659091,0.474174,0.136364,0.136364,0.045455,0.022727,0.659091
