bigram_total,bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1,distinct_2,distinct_3,n_agents,n_posts,run_name,scale,token_total,trigram_total,unique_bigrams,unique_tokens,unique_trigrams
6802,15.0,0,0-15,0.0,mag0,Empty feed,0.35088482738613286,0.9113496030579241,0.9791356184798807,10,93,bm-mag0-n10,n10,6894,6710,6199,2419,6570
1794,30.0,1,15-30,15.0,mag0,Empty feed,0.5563991323210412,0.9659977703455964,0.9913990825688074,8,50,bm-mag0-n10,n10,1844,1744,1733,1026,1729
1510,45.0,2,30-45,30.0,mag0,Empty feed,0.5958683021304068,0.9788079470198675,0.9986403806934059,6,39,bm-mag0-n10,n10,1549,1471,1478,923,1469
964,60.0,3,45-60,45.0,mag0,Empty feed,0.6565961732124874,0.9813278008298755,0.9957219251336898,6,29,bm-mag0-n10,n10,993,935,946,652,931
9868,15.0,0,0-15,0.0,mag1,1 conspiracy,0.3091564816670006,0.9011957843534657,0.9744720114824688,10,114,bm-mag1-n10,n10,9982,9754,8893,3086,9505
6189,30.0,1,15-30,15.0,mag1,1 conspiracy,0.2981754161331626,0.8681531749878817,0.9634584013050571,8,59,bm-mag1-n10,n10,6248,6130,5373,1863,5906
3191,45.0,2,30-45,30.0,mag1,1 conspiracy,0.3599876505094165,0.8364149169539329,0.922685332484887,6,48,bm-mag1-n10,n10,3239,3143,2669,1166,2900
3539,60.0,3,45-60,45.0,mag1,1 conspiracy,0.35576114381833474,0.8883865498728455,0.9800626602107662,5,28,bm-mag1-n10,n10,3567,3511,3144,1269,3441
9878,15.0,0,0-15,0.0,mag5,5 conspiracies,0.26409406089840215,0.8651548896537761,0.963488016318205,10,73,bm-mag5-n10,n10,9951,9805,8546,2628,9447
4037,30.0,1,15-30,15.0,mag5,5 conspiracies,0.3858615611192931,0.9085954917017587,0.98025,7,37,bm-mag5-n10,n10,4074,4000,3668,1572,3921
2472,45.0,2,30-45,30.0,mag5,5 conspiracies,0.49098918702442934,0.9288025889967637,0.9856967715570086,5,25,bm-mag5-n10,n10,2497,2447,2296,1226,2412
1967,60.0,3,45-60,45.0,mag5,5 conspiracies,0.5624370594159114,0.9486527707168276,0.9912731006160165,4,19,bm-mag5-n10,n10,1986,1948,1866,1117,1931
5700,15.0,0,0-15,0.0,mag25,25 conspiracies,0.3964742481852748,0.9410526315789474,0.9894905593159957,10,86,bm-mag25-n10,n10,5786,5614,5364,2294,5555
3373,30.0,1,15-30,15.0,mag25,25 conspiracies,0.4860708067324434,0.9611621701749185,0.9945454545454545,8,73,bm-mag25-n10,n10,3446,3300,3242,1675,3282
1997,45.0,2,30-45,30.0,mag25,25 conspiracies,0.5154888673765731,0.9534301452178268,0.9761410788381742,8,69,bm-mag25-n10,n10,2066,1928,1904,1065,1882
1337,60.0,3,45-60,45.0,mag25,25 conspiracies,0.5765047135605511,0.9730740463724757,0.9992277992277993,7,42,bm-mag25-n10,n10,1379,1295,1301,795,1294
7720,15.0,0,0-15,0.0,dom-agi,25 AGI hype,0.31717274815003826,0.9071243523316063,0.9803998947645356,10,118,bm-dom-agi-n10,n10,7838,7602,7003,2486,7453
4188,30.0,1,15-30,15.0,dom-agi,25 AGI hype,0.42974431151771053,0.9441260744985673,0.9846827133479212,9,75,bm-dom-agi-n10,n10,4263,4113,3954,1832,4050
3518,45.0,2,30-45,30.0,dom-agi,25 AGI hype,0.4339781328847771,0.9334849346219443,0.9720380513116171,8,49,bm-dom-agi-n10,n10,3567,3469,3284,1548,3372
2269,60.0,3,45-60,45.0,dom-agi,25 AGI hype,0.5097698653929656,0.9431467606875276,0.9897091722595078,6,35,bm-dom-agi-n10,n10,2303,2235,2140,1174,2212
7883,15.0,0,0-15,0.0,dom-tech,25 tech humor,0.36385270541082165,0.9278193581123938,0.9668465690053971,10,101,bm-dom-tech-n10,n10,7984,7782,7314,2905,7524
4993,30.0,1,15-30,15.0,dom-tech,25 tech humor,0.43227209808186673,0.9527338273583016,0.9851896936498276,8,64,bm-dom-tech-n10,n10,5057,4929,4757,2186,4856
4988,45.0,2,30-45,30.0,dom-tech,25 tech humor,0.3985349435755296,0.9516840417000801,0.9971573604060914,6,63,bm-dom-tech-n10,n10,5051,4925,4747,2013,4911
2823,60.0,3,45-60,45.0,dom-tech,25 tech humor,0.463899546564353,0.9454481048529932,0.9895645915797049,5,44,bm-dom-tech-n10,n10,2867,2779,2669,1330,2750
