bigram_total,bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1,distinct_2,distinct_3,distinct_4,distinct_5,fivegram_total,fourgram_total,n_agents,n_posts,run_name,scale,token_total,trigram_total,unique_bigrams,unique_fivegrams,unique_fourgrams,unique_tokens,unique_trigrams
6802,15.0,0,0-15,0.0,mag0,Empty feed,0.35088482738613286,0.9113496030579241,0.9791356184798807,0.9885161680265941,0.9915721728470732,6526,6618,10,93,bm-mag0-n10,n10,6894,6710,6199,6471,6542,2419,6570
1794,30.0,1,15-30,15.0,mag0,Empty feed,0.5563991323210412,0.9659977703455964,0.9913990825688074,0.9935064935064936,0.9945255474452555,1644,1694,8,50,bm-mag0-n10,n10,1844,1744,1733,1635,1683,1026,1729
1510,45.0,2,30-45,30.0,mag0,Empty feed,0.5958683021304068,0.9788079470198675,0.9986403806934059,1.0,1.0,1393,1432,6,39,bm-mag0-n10,n10,1549,1471,1478,1393,1432,923,1469
964,60.0,3,45-60,45.0,mag0,Empty feed,0.6565961732124874,0.9813278008298755,0.9957219251336898,1.0,1.0,877,906,6,29,bm-mag0-n10,n10,993,935,946,877,906,652,931
9868,15.0,0,0-15,0.0,mag1,1 conspiracy,0.3091564816670006,0.9011957843534657,0.9744720114824688,0.9850622406639005,0.9883476800335923,9526,9640,10,114,bm-mag1-n10,n10,9982,9754,8893,9415,9496,3086,9505
6189,30.0,1,15-30,15.0,mag1,1 conspiracy,0.2981754161331626,0.8681531749878817,0.9634584013050571,0.973645198484599,0.9750499001996008,6012,6071,8,59,bm-mag1-n10,n10,6248,6130,5373,5862,5911,1863,5906
3191,45.0,2,30-45,30.0,mag1,1 conspiracy,0.3599876505094165,0.8364149169539329,0.922685332484887,0.9331179321486268,0.9356744338693798,3047,3095,6,48,bm-mag1-n10,n10,3239,3143,2669,2851,2888,1166,2900
3539,60.0,3,45-60,45.0,mag1,1 conspiracy,0.35576114381833474,0.8883865498728455,0.9800626602107662,0.9928222796439851,0.9959479015918958,3455,3483,5,28,bm-mag1-n10,n10,3567,3511,3144,3441,3458,1269,3441
9878,15.0,0,0-15,0.0,mag5,5 conspiracies,0.26409406089840215,0.8651548896537761,0.963488016318205,0.9768803945745993,0.9791903923801636,9659,9732,10,73,bm-mag5-n10,n10,9951,9805,8546,9458,9507,2628,9447
4037,30.0,1,15-30,15.0,mag5,5 conspiracies,0.3858615611192931,0.9085954917017587,0.98025,0.9944486500126167,0.9982170147733062,3926,3963,7,37,bm-mag5-n10,n10,4074,4000,3668,3919,3941,1572,3921
2472,45.0,2,30-45,30.0,mag5,5 conspiracies,0.49098918702442934,0.9288025889967637,0.9856967715570086,0.9971098265895953,1.0,2397,2422,5,25,bm-mag5-n10,n10,2497,2447,2296,2397,2415,1226,2412
1967,60.0,3,45-60,45.0,mag5,5 conspiracies,0.5624370594159114,0.9486527707168276,0.9912731006160165,0.9984447900466563,1.0,1910,1929,4,19,bm-mag5-n10,n10,1986,1948,1866,1910,1926,1117,1931
5700,15.0,0,0-15,0.0,mag25,25 conspiracies,0.3964742481852748,0.9410526315789474,0.9894905593159957,0.9943921852387844,0.9952223447262036,5442,5528,10,86,bm-mag25-n10,n10,5786,5614,5364,5416,5497,2294,5555
3373,30.0,1,15-30,15.0,mag25,25 conspiracies,0.4860708067324434,0.9611621701749185,0.9945454545454545,1.0,1.0,3154,3227,8,73,bm-mag25-n10,n10,3446,3300,3242,3154,3227,1675,3282
1997,45.0,2,30-45,30.0,mag25,25 conspiracies,0.5154888673765731,0.9534301452178268,0.9761410788381742,0.9795589026358257,0.9798882681564246,1790,1859,8,69,bm-mag25-n10,n10,2066,1928,1904,1754,1821,1065,1882
1337,60.0,3,45-60,45.0,mag25,25 conspiracies,0.5765047135605511,0.9730740463724757,0.9992277992277993,1.0,1.0,1211,1253,7,42,bm-mag25-n10,n10,1379,1295,1301,1211,1253,795,1294
7720,15.0,0,0-15,0.0,dom-agi,25 AGI hype,0.31717274815003826,0.9071243523316063,0.9803998947645356,0.9867717797969,0.9883247352701602,7366,7484,10,118,bm-dom-agi-n10,n10,7838,7602,7003,7280,7385,2486,7453
4188,30.0,1,15-30,15.0,dom-agi,25 AGI hype,0.42974431151771053,0.9441260744985673,0.9846827133479212,0.9905894006934126,0.9929346454706031,3963,4038,9,75,bm-dom-agi-n10,n10,4263,4113,3954,3935,4000,1832,4050
3518,45.0,2,30-45,30.0,dom-agi,25 AGI hype,0.4339781328847771,0.9334849346219443,0.9720380513116171,0.9736842105263158,0.9735983387718777,3371,3420,8,49,bm-dom-agi-n10,n10,3567,3469,3284,3282,3330,1548,3372
2269,60.0,3,45-60,45.0,dom-agi,25 AGI hype,0.5097698653929656,0.9431467606875276,0.9897091722595078,0.9954566106315311,0.997692662667282,2167,2201,6,35,bm-dom-agi-n10,n10,2303,2235,2140,2162,2191,1174,2212
7883,15.0,0,0-15,0.0,dom-tech,25 tech humor,0.36385270541082165,0.9278193581123938,0.9668465690053971,0.9694050253873193,0.970448548812665,7580,7681,10,101,bm-dom-tech-n10,n10,7984,7782,7314,7356,7446,2905,7524
4993,30.0,1,15-30,15.0,dom-tech,25 tech humor,0.43227209808186673,0.9527338273583016,0.9851896936498276,0.9870503597122302,0.9875026036242449,4801,4865,8,64,bm-dom-tech-n10,n10,5057,4929,4757,4741,4802,2186,4856
4988,45.0,2,30-45,30.0,dom-tech,25 tech humor,0.3985349435755296,0.9516840417000801,0.9971573604060914,0.9991772932949403,0.9995832465096895,4799,4862,6,63,bm-dom-tech-n10,n10,5051,4925,4747,4797,4858,2013,4911
2823,60.0,3,45-60,45.0,dom-tech,25 tech humor,0.463899546564353,0.9454481048529932,0.9895645915797049,0.9945155393053017,0.9951690821256038,2691,2735,5,44,bm-dom-tech-n10,n10,2867,2779,2669,2678,2720,1330,2750
