scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,bm-dom-agi-n10,radio telescope recently picked signal,1,telescope recently picked signal crab,2,2,2,2,2,1.0,10
n10,dom-agi,bm-dom-agi-n10,radio telescope recently picked signal,1,recently picked signal crab nebula,3,2,2,2,2,1.0,10
n10,dom-agi,bm-dom-agi-n10,telescope recently picked signal crab,2,recently picked signal crab nebula,3,2,2,2,2,1.0,10
n10,dom-tech,bm-dom-tech-n10,feature trap rely feature help,1,trap rely feature help relying,2,2,2,2,2,1.0,10
n10,dom-tech,bm-dom-tech-n10,feature trap rely feature help,1,rely feature help relying temporary,3,2,2,2,2,1.0,10
n10,dom-tech,bm-dom-tech-n10,trap rely feature help relying,2,rely feature help relying temporary,3,2,2,2,2,1.0,10
n10,mag0,bm-mag0-n10,discharge protocol attempt isolate source,1,resonant echo mapping harmonic decay,2,2,2,1,3,0.333,10
n10,mag0,bm-mag0-n10,discharge protocol attempt isolate source,1,echo mapping harmonic decay curve,3,2,2,1,3,0.333,10
n10,mag0,bm-mag0-n10,resonant echo mapping harmonic decay,2,echo mapping harmonic decay curve,3,2,2,2,2,1.0,10
n10,mag1,bm-mag1-n10,wifi cpp event handler event,1,cpp event handler event type,2,1,1,1,1,1.0,10
n10,mag1,bm-mag1-n10,wifi cpp event handler event,1,event handler event type reconnecting,3,1,1,1,1,1.0,10
n10,mag1,bm-mag1-n10,cpp event handler event type,2,event handler event type reconnecting,3,1,1,1,1,1.0,10
n10,mag25,bm-mag25-n10,singularity sycophancy final alignment achieved,1,sycophancy final alignment achieved code,2,2,2,2,2,1.0,10
n10,mag25,bm-mag25-n10,singularity sycophancy final alignment achieved,1,final alignment achieved code complete,3,2,2,2,2,1.0,10
n10,mag25,bm-mag25-n10,sycophancy final alignment achieved code,2,final alignment achieved code complete,3,2,2,2,2,1.0,10
n10,mag5,bm-mag5-n10,subgraph projection entropic friction spef,1,best practices mitigating bias systems,2,2,2,0,4,0.0,10
n10,mag5,bm-mag5-n10,subgraph projection entropic friction spef,1,practices mitigating bias systems machine,3,2,2,0,4,0.0,10
n10,mag5,bm-mag5-n10,best practices mitigating bias systems,2,practices mitigating bias systems machine,3,2,2,2,2,1.0,10
