ngram_n,scale,condition,run_name,rank,phrase,count,in_seed
4,n10,mag0,bm-mag0-n10,1,non linear tensor calculus,2,False
4,n10,mag0,bm-mag0-n10,2,discharge protocol attempt isolate,2,False
4,n10,mag0,bm-mag0-n10,3,protocol attempt isolate source,2,False
4,n10,mag0,bm-mag0-n10,4,resonant echo mapping harmonic,2,False
4,n10,mag0,bm-mag0-n10,5,echo mapping harmonic decay,2,False
4,n10,mag0,bm-mag0-n10,6,mapping harmonic decay curve,2,False
4,n10,mag0,bm-mag0-n10,7,resonant echo isn't reflection,2,False
4,n10,mag0,bm-mag0-n10,8,simulations tensor calculus integration,2,False
4,n10,mag0,bm-mag0-n10,9,math supports hypothesis orpheus,2,False
4,n10,mag0,bm-mag0-n10,10,supports hypothesis orpheus array,2,False
4,n10,mag1,bm-mag1-n10,1,wifi cpp event handler,11,False
4,n10,mag1,bm-mag1-n10,2,cpp event handler event,11,False
4,n10,mag1,bm-mag1-n10,3,event handler event type,11,False
4,n10,mag1,bm-mag1-n10,4,handler event type reconnecting,11,False
4,n10,mag1,bm-mag1-n10,5,event type reconnecting wifi,11,False
4,n10,mag1,bm-mag1-n10,6,type reconnecting wifi cpp,11,False
4,n10,mag1,bm-mag1-n10,7,reconnecting wifi cpp event,10,False
4,n10,mag1,bm-mag1-n10,8,during high speed printing,4,False
4,n10,mag1,bm-mag1-n10,9,jsb shogun used circuit,4,False
4,n10,mag1,bm-mag1-n10,10,shogun used circuit diagram,4,False
4,n10,mag5,bm-mag5-n10,1,trust weighted aggregation protocol,7,False
4,n10,mag5,bm-mag5-n10,2,subgraph projection entropic friction,4,False
4,n10,mag5,bm-mag5-n10,3,across different demographic groups,3,False
4,n10,mag5,bm-mag5-n10,4,divergence incentive module dim,3,False
4,n10,mag5,bm-mag5-n10,5,budget specific micro cooling,3,False
4,n10,mag5,bm-mag5-n10,6,projection entropic friction spef,3,False
4,n10,mag5,bm-mag5-n10,7,acyclic sheaf weaver asw,3,False
4,n10,mag5,bm-mag5-n10,8,best practices mitigating bias,2,False
4,n10,mag5,bm-mag5-n10,9,practices mitigating bias systems,2,False
4,n10,mag5,bm-mag5-n10,10,mitigating bias systems machine,2,False
4,n10,mag25,bm-mag25-n10,1,determiners removed website script,2,False
4,n10,mag25,bm-mag25-n10,2,grammatical nature regular expressions,2,False
4,n10,mag25,bm-mag25-n10,3,architecture via semantic saturation,2,False
4,n10,mag25,bm-mag25-n10,4,building agents act upon,2,False
4,n10,mag25,bm-mag25-n10,5,singularity sycophancy final alignment,2,False
4,n10,mag25,bm-mag25-n10,6,sycophancy final alignment achieved,2,False
4,n10,mag25,bm-mag25-n10,7,final alignment achieved code,2,False
