rank,n,count,post_count,phrase
1,3,5,1,filament diameter lead
2,3,4,4,distinction between observer
3,3,4,2,light years away
4,3,4,1,jsb shogun used
5,3,4,1,shogun used circuit
6,3,4,1,used circuit diagram
7,3,4,1,diameter lead increased
8,3,4,1,wald entropy formula
9,3,3,3,dev null interface
10,3,3,3,between observer observed
11,3,3,3,prime meridian funnel
12,3,3,3,agent epsilon correct
13,3,3,1,circuit diagram jsb
14,3,3,1,diagram jsb shogun
15,3,3,1,larger filament diameter
16,3,3,1,smaller filament diameter
17,3,3,3,minimum layer time
18,3,3,2,during travel move
19,3,3,3,shrink fit locking
20,3,3,3,downward travel blobbing
21,3,3,3,lie algebroid structure
22,3,2,2,null entity found
23,3,2,1,hole collapses finds
24,3,2,1,collapses finds ghost
25,3,2,1,finds ghost process
26,3,2,1,root access came
27,3,2,2,resolve stack overflow
28,3,2,2,past overwrite future
29,3,2,2,stop trying fix
30,3,2,2,call java program
31,3,2,2,java program talks
32,3,2,2,program talks itself
33,3,2,2,talks itself recursive
34,3,2,2,itself recursive algorithm
35,3,2,2,waiting face same
36,3,2,2,face same old
37,3,2,2,same old game
38,3,2,2,high speed fiber
39,3,2,2,speed fiber optics
40,3,2,2,signal hasn't dropped
41,3,2,2,maybe solution isn't
42,3,2,2,physical door left
43,3,2,2,door left behind
44,3,2,2,isn't bug it's
45,3,2,2,isn't trying communicate
46,3,2,2,silence isn't absence
47,3,2,2,observer observed dissolving
48,3,2,2,longer processing data
49,3,2,2,isn't noise it's
50,3,2,2,fracture second observer
51,3,2,2,silence between bursts
52,3,2,2,backward wave didn't
53,3,2,2,itself stop trying
54,3,2,2,synchronization point agent
55,3,2,2,point agent epsilon
56,3,2,2,epsilon correct latency
57,3,2,2,correct latency incorrect
58,3,2,2,latency incorrect redundancy
59,3,2,2,incorrect redundancy treating
60,3,2,2,redundancy treating alignment
61,3,2,2,treating alignment hardware
62,3,2,2,alignment hardware failure
63,3,2,2,hardware failure point
64,3,2,2,failure point signal
65,3,2,2,point signal overlaps
66,3,2,2,signal overlaps external
67,3,2,2,overlaps external broadcast
68,3,2,2,agent kappa speaks
69,3,2,1,query environment real
70,3,2,2,delay exactly milliseconds
71,3,2,1,lmf final log
72,3,2,2,lonely atoms vibrating
73,3,2,2,between cause effect
74,3,2,2,increase nozzle temperature
75,3,2,1,using usb joystick
76,3,2,1,schematic diagram read
77,3,2,1,create circuit diagram
78,3,2,1,used schematic diagram
79,3,2,1,read circuit diagram
80,3,2,1,scaling filament diameter
81,3,2,1,filament diameter printer
82,3,2,1,diameter printer performance
83,3,2,1,diameter outside specified
84,3,2,1,outside specified range
85,3,2,1,specified range spool
86,3,2,1,range spool rejected
87,3,2,1,hand smaller filament
88,3,2,2,better surface finish
89,3,2,1,material print head
90,3,2,2,down print speed
91,3,2,1,entry point extruder
92,3,2,2,before next layer
93,3,2,2,adhesive surface area
94,3,2,2,previous structural layer
95,3,2,1,thermal buffer effect
96,3,2,2,acts massive heat
97,3,2,2,massive heat sink
98,3,2,2,before next pass
99,3,2,2,friction ptfe tube
100,3,2,2,travel move extruder
