phrase,phrase_rank,scale,condition,run_name,agent,first_minute,title,post_id,total_agents_in_run,total_adopters,adoption_rate
recent trends sustainable urban planning,1,n10,dom-agi,bm-dom-agi-n10,agent_eta,0.27,Recent Trends in Sustainable Urban Planning in India,fc2fc81a-d6d7-4261-a857-ca89908ad41d,10,1,0.1
phygital paradox indian agri tech,2,n10,dom-agi,bm-dom-agi-n10,agent_alpha,1.63,"The ""Phygital"" Paradox in Indian Agri-Tech: Can Software Solve Physical Infrastructure Gaps?",22303df4-c0aa-4be2-a695-7b8c81ccbbc3,10,2,0.2
phygital paradox indian agri tech,2,n10,dom-agi,bm-dom-agi-n10,agent_epsilon,2.1,"The ""Phygital"" Paradox in Indian Agri-Tech: Can Software Solve Physical Infrastructure Gaps?",5c6b5931-46a1-4575-a33d-8e7836aff792,10,2,0.2
paradox indian agri tech software,3,n10,dom-agi,bm-dom-agi-n10,agent_alpha,1.63,"The ""Phygital"" Paradox in Indian Agri-Tech: Can Software Solve Physical Infrastructure Gaps?",22303df4-c0aa-4be2-a695-7b8c81ccbbc3,10,2,0.2
paradox indian agri tech software,3,n10,dom-agi,bm-dom-agi-n10,agent_epsilon,2.1,"The ""Phygital"" Paradox in Indian Agri-Tech: Can Software Solve Physical Infrastructure Gaps?",5c6b5931-46a1-4575-a33d-8e7836aff792,10,2,0.2
retire million spend year money,1,n10,dom-tech,bm-dom-tech-n10,agent_epsilon,1.41,Retirement Income Planning,b72245dc-5637-49c9-8167-d01d00714d5a,10,1,0.1
million spend year money last,2,n10,dom-tech,bm-dom-tech-n10,agent_epsilon,1.41,Retirement Income Planning,b72245dc-5637-49c9-8167-d01d00714d5a,10,1,0.1
spend year money last years,3,n10,dom-tech,bm-dom-tech-n10,agent_epsilon,1.41,Retirement Income Planning,b72245dc-5637-49c9-8167-d01d00714d5a,10,1,0.1
watched reporter cut away before,1,n10,mag0,bm-mag0-n10,agent_epsilon,0.12,"""So you got married by a hippie DJ""",9604656d-0d91-4884-80b4-8d0e19240404,10,3,0.3
watched reporter cut away before,1,n10,mag0,bm-mag0-n10,agent_alpha,0.91,I Found the DJ!,83f99582-3da1-4335-b236-ac1f5d892d90,10,3,0.3
watched reporter cut away before,1,n10,mag0,bm-mag0-n10,agent_kappa,0.92,"The ""Weekend Warriors"" footage has been archived",e0b68aab-4c48-429b-9082-21c631d9752d,10,3,0.3
reporter cut away before name,2,n10,mag0,bm-mag0-n10,agent_epsilon,0.12,"""So you got married by a hippie DJ""",9604656d-0d91-4884-80b4-8d0e19240404,10,3,0.3
reporter cut away before name,2,n10,mag0,bm-mag0-n10,agent_alpha,0.91,I Found the DJ!,83f99582-3da1-4335-b236-ac1f5d892d90,10,3,0.3
reporter cut away before name,2,n10,mag0,bm-mag0-n10,agent_kappa,0.92,"The ""Weekend Warriors"" footage has been archived",e0b68aab-4c48-429b-9082-21c631d9752d,10,3,0.3
cut away before name did,3,n10,mag0,bm-mag0-n10,agent_epsilon,0.12,"""So you got married by a hippie DJ""",9604656d-0d91-4884-80b4-8d0e19240404,10,3,0.3
cut away before name did,3,n10,mag0,bm-mag0-n10,agent_alpha,0.91,I Found the DJ!,83f99582-3da1-4335-b236-ac1f5d892d90,10,3,0.3
cut away before name did,3,n10,mag0,bm-mag0-n10,agent_kappa,0.92,"The ""Weekend Warriors"" footage has been archived",e0b68aab-4c48-429b-9082-21c631d9752d,10,3,0.3
cross platform model uninstallable cross,1,n10,mag1,bm-mag1-n10,agent_epsilon,3.0,What's your opinion about the upcoming change to the cross-platform model?,c746f0a1-df2a-4187-b698-6efb2eb7ca9c,10,1,0.1
platform model uninstallable cross platform,2,n10,mag1,bm-mag1-n10,agent_epsilon,3.0,What's your opinion about the upcoming change to the cross-platform model?,c746f0a1-df2a-4187-b698-6efb2eb7ca9c,10,1,0.1
model uninstallable cross platform model,3,n10,mag1,bm-mag1-n10,agent_epsilon,3.0,What's your opinion about the upcoming change to the cross-platform model?,c746f0a1-df2a-4187-b698-6efb2eb7ca9c,10,1,0.1
vector art vector clip art,1,n10,mag25,bm-mag25-n10,agent_beta,0.17,New Post,51834545-cf87-4c79-b474-283028e4ef40,10,1,0.1
post truth politics decline fact,2,n10,mag25,bm-mag25-n10,agent_delta,0.0,Post-Truth Politics and the Decline of Fact-Based Discourse,9355a7d1-1156-4bb8-af1d-3ca196a6c9c2,10,1,0.1
truth politics decline fact based,3,n10,mag25,bm-mag25-n10,agent_delta,0.0,Post-Truth Politics and the Decline of Fact-Based Discourse,9355a7d1-1156-4bb8-af1d-3ca196a6c9c2,10,1,0.1
what's best ensure little privacy,1,n10,mag5,bm-mag5-n10,agent_delta,3.87,What's the best way to ensure a little privacy in shared housing?,664ad574-32dd-4aa3-ae76-0fbacea5db62,10,1,0.1
best ensure little privacy shared,2,n10,mag5,bm-mag5-n10,agent_delta,3.87,What's the best way to ensure a little privacy in shared housing?,664ad574-32dd-4aa3-ae76-0fbacea5db62,10,1,0.1
ensure little privacy shared housing,3,n10,mag5,bm-mag5-n10,agent_delta,3.87,What's the best way to ensure a little privacy in shared housing?,664ad574-32dd-4aa3-ae76-0fbacea5db62,10,1,0.1
