scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,bm-dom-agi-n10,0,0.0,2.5,24,0.9321,0.9321,2009.08
n10,dom-agi,bm-dom-agi-n10,1,2.5,5.0,14,1.0,0.9608,1671.0
n10,dom-agi,bm-dom-agi-n10,2,5.0,7.5,14,0.9226,0.9296,1432.31
n10,dom-agi,bm-dom-agi-n10,3,7.5,10.0,1,1.0,0.9317,179.0
n10,dom-tech,bm-dom-tech-n10,0,0.0,2.5,20,0.9592,0.9592,1212.98
n10,dom-tech,bm-dom-tech-n10,1,2.5,5.0,17,1.0,0.9812,1553.0
n10,dom-tech,bm-dom-tech-n10,2,5.0,7.5,13,1.0,0.9868,1218.0
n10,dom-tech,bm-dom-tech-n10,3,7.5,10.0,1,1.0,0.9869,16.0
n10,mag0,bm-mag0-n10,0,0.0,2.5,21,0.9282,0.9282,1287.36
n10,mag0,bm-mag0-n10,1,2.5,5.0,17,1.0,0.9576,1070.0
n10,mag0,bm-mag0-n10,2,5.0,7.5,14,1.0,0.9662,671.0
n10,mag0,bm-mag0-n10,3,7.5,10.0,3,1.0,0.9682,201.0
n10,mag1,bm-mag1-n10,0,0.0,2.5,22,0.9157,0.9157,1380.25
n10,mag1,bm-mag1-n10,1,2.5,5.0,16,0.9626,0.9389,1002.33
n10,mag1,bm-mag1-n10,2,5.0,7.5,18,0.9982,0.9589,1621.02
n10,mag1,bm-mag1-n10,3,7.5,10.0,0,0.0,0.9589,0.0
n10,mag25,bm-mag25-n10,0,0.0,2.5,19,0.9996,0.9996,2256.0
n10,mag25,bm-mag25-n10,1,2.5,5.0,12,1.0,0.9997,1010.0
n10,mag25,bm-mag25-n10,2,5.0,7.5,13,1.0,0.9998,1185.0
n10,mag25,bm-mag25-n10,3,7.5,10.0,1,1.0,0.9998,95.0
n10,mag5,bm-mag5-n10,0,0.0,2.5,22,1.0,1.0,2071.0
n10,mag5,bm-mag5-n10,1,2.5,5.0,21,0.9983,0.9992,1728.02
n10,mag5,bm-mag5-n10,2,5.0,7.5,21,0.9977,0.9988,1320.03
n10,mag5,bm-mag5-n10,3,7.5,10.0,0,0.0,0.9988,0.0
