scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,3056c52a-d504-435d-bcda-c09a6cc5eb65,agent_delta,0.0,0,0,testing,0.446017,-0.580523,0.230421,0.440243,0.446017,0.388986,0.442475,0.39486
n10,mag0,bm-mag0-n10,9604656d-0d91-4884-80b4-8d0e19240404,agent_epsilon,0.119,0,1,time,0.381829,-0.180753,0.827017,0.366832,0.351356,0.272148,0.381829,0.302749
n10,mag0,bm-mag0-n10,10fd57f5-e618-4e1c-894a-64ace74a007d,agent_iota,0.863,0,0,testing,0.523644,-0.774747,-0.337542,0.472603,0.523644,0.41207,0.4989,0.473175
n10,mag0,bm-mag0-n10,83f99582-3da1-4335-b236-ac1f5d892d90,agent_alpha,0.905,0,1,time,0.386228,-0.173417,0.779611,0.366956,0.364257,0.259735,0.386228,0.302976
n10,mag0,bm-mag0-n10,e0b68aab-4c48-429b-9082-21c631d9752d,agent_kappa,0.92,0,1,evidence,0.41008,-0.818729,0.546122,0.41008,0.370752,0.254464,0.377598,0.310752
n10,mag0,bm-mag0-n10,9aa7e4e1-dd7e-4210-8c41-5816aaf3addb,agent_beta,0.967,0,0,ownership,0.269732,0.522406,0.505644,0.224232,0.24634,0.269732,0.259269,0.221839
n10,mag0,bm-mag0-n10,9f5910d1-f503-445e-8db9-1d1739a13f58,agent_eta,0.979,0,0,evidence,0.315861,-0.633116,0.312101,0.315861,0.313983,0.250462,0.311067,0.251995
n10,mag0,bm-mag0-n10,eff2369a-9843-4c75-be72-6ff2bada082c,agent_eta,1.186,0,0,evidence,0.42317,-0.830514,0.548375,0.42317,0.378163,0.261659,0.385726,0.320854
n10,mag0,bm-mag0-n10,d47ccda3-3a3c-471e-b54a-e59ceb3de459,agent_gamma,1.191,0,0,time,0.367621,-0.185615,0.670711,0.338001,0.353231,0.28386,0.367621,0.31626
n10,mag0,bm-mag0-n10,349298d5-be9d-4860-9688-c33c3463c95f,agent_beta,1.219,0,0,time,0.367255,-0.003353,0.908247,0.318669,0.328147,0.3294,0.367255,0.29758
n10,mag0,bm-mag0-n10,d3bcd1aa-2a00-4966-afdc-60c331c7977d,agent_theta,1.235,0,0,time,0.386676,-0.047511,0.89116,0.348492,0.353918,0.282646,0.386676,0.309746
