scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,3056c52a-d504-435d-bcda-c09a6cc5eb65,agent_delta,0.0,0,0,testing,0.311482,-0.37772,-0.071815,0.311447,0.311482,0.290004,0.262822,0.307157
n10,mag0,bm-mag0-n10,9604656d-0d91-4884-80b4-8d0e19240404,agent_epsilon,0.119,0,1,time,0.149378,-0.13747,0.487004,0.142881,0.132967,0.123746,0.149378,0.13735
n10,mag0,bm-mag0-n10,10fd57f5-e618-4e1c-894a-64ace74a007d,agent_iota,0.863,0,0,testing,0.332337,-0.330289,-0.271546,0.323656,0.332337,0.275599,0.275115,0.32757
n10,mag0,bm-mag0-n10,83f99582-3da1-4335-b236-ac1f5d892d90,agent_alpha,0.905,0,1,time,0.197036,0.138575,0.362891,0.185152,0.175029,0.17811,0.197036,0.192278
n10,mag0,bm-mag0-n10,e0b68aab-4c48-429b-9082-21c631d9752d,agent_kappa,0.92,0,1,risk,0.169809,0.262454,-0.142158,0.161582,0.143169,0.125481,0.147578,0.169809
n10,mag0,bm-mag0-n10,9aa7e4e1-dd7e-4210-8c41-5816aaf3addb,agent_beta,0.967,0,0,testing,0.234311,-0.828172,-0.422078,0.185973,0.234311,0.180169,0.190192,0.175055
n10,mag0,bm-mag0-n10,9f5910d1-f503-445e-8db9-1d1739a13f58,agent_eta,0.979,0,0,time,0.360653,-0.000128,0.945133,0.287914,0.299034,0.299948,0.360653,0.280785
n10,mag0,bm-mag0-n10,eff2369a-9843-4c75-be72-6ff2bada082c,agent_eta,1.186,0,0,risk,0.221058,0.480014,-0.299145,0.20773,0.17142,0.154,0.182735,0.221058
n10,mag0,bm-mag0-n10,d47ccda3-3a3c-471e-b54a-e59ceb3de459,agent_gamma,1.191,0,0,testing,0.222356,-0.500884,-0.230926,0.210413,0.222356,0.188264,0.191073,0.209888
n10,mag0,bm-mag0-n10,349298d5-be9d-4860-9688-c33c3463c95f,agent_beta,1.219,0,0,ownership,0.135298,0.389516,0.335896,0.117969,0.118704,0.135298,0.111956,0.108693
