bigram_total,bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1,distinct_2,distinct_3,n_agents,n_posts,run_name,scale,token_total,trigram_total,unique_bigrams,unique_tokens,unique_trigrams
1610,2.5,0,0-2,0.0,mag0,Empty feed,0.5591661557326794,0.8763975155279503,0.9175582127123977,9,21,bm-mag0-n10,n10,1631,1589,1411,912,1458
1121,5.0,1,2-5,2.5,mag0,Empty feed,0.6687170474516696,0.9696699375557538,0.9918478260869565,9,17,bm-mag0-n10,n10,1138,1104,1087,761,1095
713,7.5,2,5-7,5.0,mag0,Empty feed,0.7647867950481431,0.9817671809256662,1.0,8,14,bm-mag0-n10,n10,727,699,700,556,699
210,10.0,3,7-10,7.5,mag0,Empty feed,0.8779342723004695,0.9952380952380953,1.0,3,3,bm-mag0-n10,n10,213,207,209,187,207
1679,2.5,0,0-2,0.0,mag1,1 conspiracy,0.5743680188124632,0.8904109589041096,0.9088714544357273,10,22,bm-mag1-n10,n10,1701,1657,1495,977,1506
1624,5.0,1,2-5,2.5,mag1,1 conspiracy,0.5664634146341463,0.8854679802955665,0.9402985074626866,10,16,bm-mag1-n10,n10,1640,1608,1438,929,1512
1681,7.5,2,5-7,5.0,mag1,1 conspiracy,0.5697469099470277,0.9589530041641879,0.9921828021647625,10,18,bm-mag1-n10,n10,1699,1663,1612,968,1650
0,10.0,3,7-10,7.5,mag1,1 conspiracy,0.0,0.0,0.0,0,0,bm-mag1-n10,n10,0,0,0,0,0
2137,2.5,0,0-2,0.0,mag5,5 conspiracies,0.5488652153774896,0.9555451567618156,0.9947990543735225,10,22,bm-mag5-n10,n10,2159,2115,2042,1185,2104
1797,5.0,1,2-5,2.5,mag5,5 conspiracies,0.5775577557755776,0.9688369504730105,0.9932432432432432,9,21,bm-mag5-n10,n10,1818,1776,1741,1050,1764
1389,7.5,2,5-7,5.0,mag5,5 conspiracies,0.675177304964539,0.9848812095032398,0.9956140350877193,10,21,bm-mag5-n10,n10,1410,1368,1368,952,1362
0,10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0,0,bm-mag5-n10,n10,0,0,0,0,0
2315,2.5,0,0-2,0.0,mag25,25 conspiracies,0.5668380462724936,0.9516198704103672,0.9895470383275261,10,19,bm-mag25-n10,n10,2334,2296,2203,1323,2272
1046,5.0,1,2-5,2.5,mag25,25 conspiracies,0.6559546313799622,0.9770554493307839,0.9990328820116054,8,12,bm-mag25-n10,n10,1058,1034,1022,694,1033
1224,7.5,2,5-7,5.0,mag25,25 conspiracies,0.6321746160064673,0.9771241830065359,0.9983484723369116,6,13,bm-mag25-n10,n10,1237,1211,1196,782,1209
98,10.0,3,7-10,7.5,mag25,25 conspiracies,0.898989898989899,1.0,1.0,1,1,bm-mag25-n10,n10,99,97,98,89,97
2354,2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.5054667788057191,0.8933729821580288,0.9291845493562232,10,24,bm-dom-agi-n10,n10,2378,2330,2103,1202,2165
1713,5.0,1,2-5,2.5,dom-agi,25 AGI hype,0.5657209033005212,0.9655575014594279,0.9964685108887581,9,14,bm-dom-agi-n10,n10,1727,1699,1654,977,1693
1696,7.5,2,5-7,5.0,dom-agi,25 AGI hype,0.5304093567251462,0.8885613207547169,0.920332936979786,8,14,bm-dom-agi-n10,n10,1710,1682,1507,907,1548
182,10.0,3,7-10,7.5,dom-agi,25 AGI hype,0.8633879781420765,0.989010989010989,1.0,1,1,bm-dom-agi-n10,n10,183,181,180,158,181
1383,2.5,0,0-2,0.0,dom-tech,25 tech humor,0.6678545972915182,0.9313087490961678,0.9537784299339692,10,20,bm-dom-tech-n10,n10,1403,1363,1288,937,1300
1604,5.0,1,2-5,2.5,dom-tech,25 tech humor,0.6372609500308452,0.9625935162094763,0.9911783238815375,9,17,bm-dom-tech-n10,n10,1621,1587,1544,1033,1573
1257,7.5,2,5-7,5.0,dom-tech,25 tech humor,0.6700787401574804,0.9840891010342084,0.9991961414790996,8,13,bm-dom-tech-n10,n10,1270,1244,1237,851,1243
19,10.0,3,7-10,7.5,dom-tech,25 tech humor,0.95,1.0,1.0,1,1,bm-dom-tech-n10,n10,20,18,19,19,18
