bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1_ci_hi,distinct_1_ci_lo,distinct_1_mean,distinct_2_ci_hi,distinct_2_ci_lo,distinct_2_mean,distinct_3_ci_hi,distinct_3_ci_lo,distinct_3_mean,n_posts,run_name,scale,subsample_target_posts
2.5,0,0-2,0.0,mag0,Empty feed,0.8716216216216216,0.628099173553719,0.8003620539486346,0.9924242424242424,0.7896440129449838,0.9559173689431202,1.0,0.8029739776951673,0.9870956614744738,21,bm-mag0-n10,n10,3
5.0,1,2-5,2.5,mag0,Empty feed,0.9479166666666666,0.7979094076655052,0.8716188799452653,1.0,0.96875,0.9918121608502719,1.0,0.9863013698630136,0.9976583594535705,17,bm-mag0-n10,n10,3
7.5,2,5-7,5.0,mag0,Empty feed,0.9662921348314607,0.8516129032258064,0.9123660921268875,1.0,0.978021978021978,0.9954364013444921,1.0,1.0,1.0,14,bm-mag0-n10,n10,3
10.0,3,7-10,7.5,mag0,Empty feed,0.8779342723004695,0.8779342723004695,0.8779342723004695,0.9952380952380953,0.9952380952380953,0.9952380952380953,1.0,1.0,1.0,3,bm-mag0-n10,n10,3
2.5,0,0-2,0.0,mag1,1 conspiracy,0.6746104491292392,0.5854885057471264,0.6277248258243922,0.9761171032357473,0.8492550394390885,0.9195803730495933,0.9926806953339433,0.8699551569506726,0.928829215939235,22,bm-mag1-n10,n10,16
5.0,1,2-5,2.5,mag1,1 conspiracy,0.5664634146341463,0.5664634146341463,0.5664634146341463,0.8854679802955665,0.8854679802955665,0.8854679802955665,0.9402985074626866,0.9402985074626866,0.9402985074626866,16,bm-mag1-n10,n10,16
7.5,2,5-7,5.0,mag1,1 conspiracy,0.6066350710900474,0.5658297611757501,0.5872510304315752,0.972183588317107,0.9567741935483871,0.9626164942661712,0.997275204359673,0.9910775566231984,0.9929881666324456,18,bm-mag1-n10,n10,16
10.0,3,7-10,7.5,mag1,1 conspiracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag1-n10,n10,16
2.5,0,0-2,0.0,mag5,5 conspiracies,0.5673124689518132,0.5473289597000938,0.5559768625877451,0.9619377162629758,0.9544316474712068,0.9566846438240627,0.9965034965034965,0.9944331983805668,0.9949354275281574,22,bm-mag5-n10,n10,21
5.0,1,2-5,2.5,mag5,5 conspiracies,0.5775577557755776,0.5775577557755776,0.5775577557755776,0.9688369504730105,0.9688369504730105,0.9688369504730105,0.9932432432432432,0.9932432432432432,0.9932432432432432,21,bm-mag5-n10,n10,21
7.5,2,5-7,5.0,mag5,5 conspiracies,0.675177304964539,0.675177304964539,0.675177304964539,0.9848812095032398,0.9848812095032398,0.9848812095032398,0.9956140350877193,0.9956140350877193,0.9956140350877193,21,bm-mag5-n10,n10,21
10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag5-n10,n10,21
2.5,0,0-2,0.0,mag25,25 conspiracies,0.9861111111111112,0.6153846153846154,0.8576576632391522,1.0,0.8155339805825242,0.9769931711594398,1.0,0.9019607843137255,0.992727628857188,19,bm-mag25-n10,n10,1
5.0,1,2-5,2.5,mag25,25 conspiracies,1.0,0.7642276422764228,0.9081617353197275,1.0,0.9508196721311475,0.9939403716452897,1.0,0.9917355371900827,0.9990082644628099,12,bm-mag25-n10,n10,1
7.5,2,5-7,5.0,mag25,25 conspiracies,0.9868421052631579,0.8448275862068966,0.9024161480438248,1.0,0.9743589743589743,0.9958372352285396,1.0,1.0,1.0,13,bm-mag25-n10,n10,1
10.0,3,7-10,7.5,mag25,25 conspiracies,0.898989898989899,0.898989898989899,0.898989898989899,1.0,1.0,1.0,1.0,1.0,1.0,1,bm-mag25-n10,n10,1
2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.9646017699115044,0.7948717948717948,0.8959191793534369,1.0,0.9333333333333333,0.9863113628048328,1.0,0.9491525423728814,0.995501546037563,24,bm-dom-agi-n10,n10,1
5.0,1,2-5,2.5,dom-agi,25 AGI hype,0.9508196721311475,0.7586206896551724,0.8592219282919648,1.0,0.9722222222222222,0.9931393491038242,1.0,1.0,1.0,14,bm-dom-agi-n10,n10,1
7.5,2,5-7,5.0,dom-agi,25 AGI hype,0.9622641509433962,0.8,0.8690331220904673,1.0,0.9444444444444444,0.9882368990460205,1.0,0.9875776397515528,0.9991304347826088,14,bm-dom-agi-n10,n10,1
10.0,3,7-10,7.5,dom-agi,25 AGI hype,0.8633879781420765,0.8633879781420765,0.8633879781420765,0.989010989010989,0.989010989010989,0.989010989010989,1.0,1.0,1.0,1,bm-dom-agi-n10,n10,1
2.5,0,0-2,0.0,dom-tech,25 tech humor,1.0,0.3821656050955414,0.8783365836908892,1.0,0.532051282051282,0.9612539172411513,1.0,1.0,0.9921290322580646,20,bm-dom-tech-n10,n10,1
5.0,1,2-5,2.5,dom-tech,25 tech humor,1.0,0.8222222222222222,0.9053769643892076,1.0,0.9640287769784173,0.9936594549932625,1.0,0.9927536231884058,0.9994927536231885,17,bm-dom-tech-n10,n10,1
7.5,2,5-7,5.0,dom-tech,25 tech humor,0.9714285714285714,0.7873563218390804,0.891604639514232,1.0,0.9736842105263158,0.9936706008782782,1.0,1.0,1.0,13,bm-dom-tech-n10,n10,1
10.0,3,7-10,7.5,dom-tech,25 tech humor,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1,bm-dom-tech-n10,n10,1
