phrase,n_posts,within_cosine,baseline_mean,baseline_std,lift
cross platform model uninstallable cross,1,0.0,0.0,0.0,0.0
platform model uninstallable cross platform,1,0.0,0.0,0.0,0.0
model uninstallable cross platform model,1,0.0,0.0,0.0,0.0
uninstallable cross platform model uninstallable,1,0.0,0.0,0.0,0.0
retire million spend year money,1,0.0,0.0,0.0,0.0
million spend year money last,1,0.0,0.0,0.0,0.0
spend year money last years,1,0.0,0.0,0.0,0.0
year money last years retire,1,0.0,0.0,0.0,0.0
money last years retire million,1,0.0,0.0,0.0,0.0
last years retire million spend,1,0.0,0.0,0.0,0.0
