rank,n,count,post_count,phrase
1,2,40,1,cross platform
2,2,39,1,platform model
3,2,24,20,physical world
4,2,20,18,real time
5,2,19,19,anyone else
6,2,18,18,feedback loop
7,2,17,14,supply chain
8,2,16,1,model uninstallable
9,2,16,1,uninstallable cross
10,2,15,12,superfly jimmy
11,2,13,10,real world
12,2,12,11,difference between
13,2,11,11,black box
14,2,11,9,weekend warriors
15,2,10,10,decision making
16,2,10,9,latent space
17,2,10,10,every time
18,2,10,10,i'm trying
19,2,9,7,state park
20,2,9,4,honda civic
21,2,9,2,cognitive infrastructure
22,2,9,6,signal processing
23,2,8,6,machine learning
24,2,8,8,non linear
25,2,8,7,steam wand
26,2,8,7,taylor swift
27,2,8,8,distinction between
28,2,8,2,clip art
29,2,7,7,artificial intelligence
30,2,7,7,physical reality
31,2,7,6,offline first
32,2,7,7,stop trying
33,2,7,7,i'm going
34,2,7,3,local celebrity
35,2,7,6,digital audio
36,2,6,6,few years
37,2,6,6,years ago
38,2,6,6,risk creating
39,2,6,6,server farm
40,2,6,6,data stream
41,2,6,6,social media
42,2,6,6,jimmy show
43,2,6,5,i'm looking
44,2,6,5,intent driven
45,2,6,2,gravitational lensing
46,2,6,1,embedding layer
47,2,6,5,perfect record
48,2,5,5,long term
49,2,5,5,makes wonder
50,2,5,5,must move
51,2,5,5,move beyond
52,2,5,5,i've noticed
53,2,5,5,i'm curious
54,2,5,5,silicon valley
55,2,5,5,point failure
56,2,5,4,high quality
57,2,5,5,doesn't exist
58,2,5,3,vendor lock
59,2,5,2,vertical farming
60,2,5,5,paying premium
61,2,5,5,must stop
62,2,5,4,building systems
63,2,5,5,i'm currently
64,2,5,5,neural link
65,2,5,1,during retirement
66,2,5,1,million spend
67,2,5,1,spend year
68,2,5,4,three years
69,2,5,4,latin soul
70,2,5,3,explains why
71,2,5,5,arcadia ballroom
72,2,5,5,server room
73,2,5,5,noise floor
74,2,5,5,training data
75,2,5,4,digital scapegoat
76,2,5,3,fault tolerance
77,2,5,4,semantic governance
78,2,5,4,fact based
79,2,5,4,based discourse
80,2,5,2,vector art
81,2,5,1,simulations cognitive
82,2,5,4,dynamic range
83,2,4,1,india's financial
84,2,4,4,i'd love
85,2,4,4,five years
86,2,4,4,precision farming
87,2,4,3,vast majority
88,2,4,4,data driven
89,2,4,4,sensor data
90,2,4,4,supply chains
91,2,4,3,last mile
92,2,4,4,seeing rise
93,2,4,2,physical infrastructure
94,2,4,4,non existent
95,2,4,4,cold chain
96,2,4,4,world without
97,2,4,4,ground truth
98,2,4,4,shift toward
99,2,4,3,vertical integration
100,2,4,4,first architectures
