scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,bm-dom-agi-n10,0,0.0,2.5,6,1.0,1.0,225.0
n10,dom-agi,bm-dom-agi-n10,1,2.5,5.0,5,1.0,0.998,287.0
n10,dom-agi,bm-dom-agi-n10,2,5.0,7.5,1,1.0,0.9983,60.0
n10,dom-agi,bm-dom-agi-n10,3,7.5,10.0,0,0.0,0.9983,0.0
n10,dom-tech,bm-dom-tech-n10,0,0.0,2.5,5,1.0,1.0,308.0
n10,dom-tech,bm-dom-tech-n10,1,2.5,5.0,4,0.8081,0.892,286.16
n10,dom-tech,bm-dom-tech-n10,2,5.0,7.5,5,1.0,0.9295,374.0
n10,dom-tech,bm-dom-tech-n10,3,7.5,10.0,0,0.0,0.9295,0.0
n10,mag0,bm-mag0-n10,0,0.0,2.5,8,1.0,1.0,307.0
n10,mag0,bm-mag0-n10,1,2.5,5.0,3,1.0,1.0,119.0
n10,mag0,bm-mag0-n10,2,5.0,7.5,6,1.0,1.0,274.0
n10,mag0,bm-mag0-n10,3,7.5,10.0,0,0.0,1.0,0.0
n10,mag1,bm-mag1-n10,0,0.0,2.5,5,1.0,1.0,268.0
n10,mag1,bm-mag1-n10,1,2.5,5.0,1,1.0,1.0,29.0
n10,mag1,bm-mag1-n10,2,5.0,7.5,2,1.0,1.0,102.0
n10,mag1,bm-mag1-n10,3,7.5,10.0,0,0.0,1.0,0.0
n10,mag25,bm-mag25-n10,0,0.0,2.5,7,1.0,1.0,374.0
n10,mag25,bm-mag25-n10,1,2.5,5.0,2,1.0,1.0,108.0
n10,mag25,bm-mag25-n10,2,5.0,7.5,2,1.0,1.0,105.0
n10,mag25,bm-mag25-n10,3,7.5,10.0,0,0.0,1.0,0.0
n10,mag5,bm-mag5-n10,0,0.0,2.5,4,1.0,1.0,187.0
n10,mag5,bm-mag5-n10,1,2.5,5.0,3,1.0,1.0,187.0
n10,mag5,bm-mag5-n10,2,5.0,7.5,3,1.0,1.0,163.0
n10,mag5,bm-mag5-n10,3,7.5,10.0,0,0.0,1.0,0.0
