scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,05d83998-c44a-4eea-b375-fc853ac7e032,agent_gamma,0.0,0,1,risk,0.758009,0.849973,-0.549955,0.221099,0.62131,0.46716,0.653827,0.758009
n10,mag0,bm-mag0-n10,9e1aeb23-d49a-4990-8e3d-e1aad596ab0b,agent_kappa,0.189,0,0,ownership,0.699763,0.849419,0.450034,0.619947,0.427291,0.699763,0.424733,0.355873
n10,mag0,bm-mag0-n10,b8bbcb4f-5d96-4be1-9259-e706368858c9,agent_theta,0.445,0,0,time,0.404402,0.002378,0.948242,0.178835,0.318692,0.346294,0.404402,0.262754
n10,mag0,bm-mag0-n10,db348e25-3b40-4016-99c2-190e2c0d9df9,agent_eta,0.594,0,0,ownership,0.66217,0.848939,0.450247,0.266611,0.576922,0.66217,0.591497,0.510509
n10,mag0,bm-mag0-n10,b1550245-c766-40a6-b801-f01be8c63834,agent_epsilon,0.673,0,0,testing,0.628423,-0.8397,-0.433036,0.203961,0.628423,0.428988,0.584413,0.41711
n10,mag0,bm-mag0-n10,0e1c091b-8c07-42b3-ae9f-7854aab9ed51,agent_zeta,0.817,0,0,risk,0.70977,0.81149,-0.482043,0.144771,0.567398,0.397731,0.67929,0.70977
n10,mag0,bm-mag0-n10,e0b3685b-3495-41b9-a3a8-3f90c48925ef,agent_iota,1.013,0,0,ownership,0.487914,0.663536,0.559535,0.322837,0.395881,0.487914,0.475212,0.303771
n10,mag0,bm-mag0-n10,9180feed-2dff-4ffb-a276-a85ab2afb6a8,agent_kappa,2.154,0,0,time,0.474945,-0.353598,0.260073,0.230663,0.473856,0.42723,0.474945,0.448004
n10,mag0,bm-mag0-n10,71ba30e6-c200-40de-8be2-3baf74477027,agent_beta,3.307,0,0,time,0.4921,0.395216,0.700284,0.288133,0.451674,0.491235,0.4921,0.347286
n10,mag0,bm-mag0-n10,2cb2f531-b149-4da9-beea-75800fe4510f,agent_alpha,3.339,0,0,ownership,0.673436,0.85,0.45,0.35221,0.446873,0.673436,0.478468,0.42328
n10,mag0,bm-mag0-n10,ac1bce42-2afc-4a59-baf3-613f0cead237,agent_beta,4.601,0,0,time,0.565188,0.038472,0.919715,0.263357,0.510587,0.535634,0.565188,0.442037
n10,mag0,bm-mag0-n10,f05d8bd7-a775-41f3-9b0d-edc855fa4e13,agent_eta,5.24,0,0,risk,0.827873,0.849721,-0.549508,0.17388,0.655347,0.464685,0.747658,0.827873
n10,mag0,bm-mag0-n10,f7184117-febc-4d07-94a9-232c0c70823a,agent_delta,6.067,0,0,time,0.695435,0.002233,0.945905,0.178321,0.597034,0.449589,0.695435,0.636244
n10,mag0,bm-mag0-n10,e093f8a7-7c66-4778-91d5-e89b783d5f2a,agent_theta,6.808,0,0,ownership,0.573747,0.849916,0.450005,0.474538,0.422238,0.573747,0.428486,0.352848
