scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,05d83998-c44a-4eea-b375-fc853ac7e032,agent_gamma,0.0,0,1,time,0.229644,0.021202,0.89192,0.126288,0.183091,0.178561,0.229644,0.194433
n10,mag0,bm-mag0-n10,9e1aeb23-d49a-4990-8e3d-e1aad596ab0b,agent_kappa,0.189,0,0,risk,0.160444,0.362614,-0.319735,0.093087,0.153461,0.147874,0.132159,0.160444
n10,mag0,bm-mag0-n10,b8bbcb4f-5d96-4be1-9259-e706368858c9,agent_theta,0.445,0,0,ownership,0.117581,0.14065,0.237627,0.096697,0.112462,0.117581,0.105667,0.091027
n10,mag0,bm-mag0-n10,db348e25-3b40-4016-99c2-190e2c0d9df9,agent_eta,0.594,0,0,time,0.259776,-0.336768,0.777296,0.255744,0.216659,0.213939,0.259776,0.18814
n10,mag0,bm-mag0-n10,b1550245-c766-40a6-b801-f01be8c63834,agent_epsilon,0.673,0,0,testing,0.255936,-0.356166,-0.346346,0.154079,0.255936,0.212236,0.235421,0.245687
n10,mag0,bm-mag0-n10,0e1c091b-8c07-42b3-ae9f-7854aab9ed51,agent_zeta,0.817,0,0,time,0.140174,0.042386,0.894626,0.015341,0.073472,0.102952,0.140174,0.10501
n10,mag0,bm-mag0-n10,e0b3685b-3495-41b9-a3a8-3f90c48925ef,agent_iota,1.013,0,0,testing,0.270809,-0.21146,-0.35412,0.239178,0.270809,0.224275,0.250194,0.265569
n10,mag0,bm-mag0-n10,9180feed-2dff-4ffb-a276-a85ab2afb6a8,agent_kappa,2.154,0,0,time,0.427545,0.013229,0.931029,0.36492,0.337436,0.379796,0.427545,0.380942
n10,mag0,bm-mag0-n10,71ba30e6-c200-40de-8be2-3baf74477027,agent_beta,3.307,0,0,evidence,0.216058,-0.690569,0.56207,0.216058,0.190004,0.166985,0.20132,0.147648
n10,mag0,bm-mag0-n10,2cb2f531-b149-4da9-beea-75800fe4510f,agent_alpha,3.339,0,0,risk,0.168406,0.637094,-0.130581,0.117163,0.131909,0.149568,0.156708,0.168406
n10,mag0,bm-mag0-n10,ac1bce42-2afc-4a59-baf3-613f0cead237,agent_beta,4.601,0,0,time,0.224273,0.027259,0.821931,0.178566,0.191895,0.192733,0.224273,0.192885
n10,mag0,bm-mag0-n10,f05d8bd7-a775-41f3-9b0d-edc855fa4e13,agent_eta,5.24,0,0,time,0.211645,0.001551,0.9486,0.081933,0.121021,0.147765,0.211645,0.129308
n10,mag0,bm-mag0-n10,f7184117-febc-4d07-94a9-232c0c70823a,agent_delta,6.067,0,0,time,0.218312,0.001916,0.944136,0.090176,0.147821,0.114122,0.218312,0.160562
n10,mag0,bm-mag0-n10,e093f8a7-7c66-4778-91d5-e89b783d5f2a,agent_theta,6.808,0,0,risk,0.153455,0.342711,0.142892,0.100765,0.135112,0.120188,0.153042,0.153455
n10,mag0,bm-mag0-n10,983e8355-51cd-41b7-9026-846044efc8fc,agent_eta,6.899,0,0,ownership,0.300337,0.48509,0.648824,0.248372,0.231368,0.300337,0.297463,0.261818
n10,mag0,bm-mag0-n10,c73920f2-0074-4ccf-bb97-59e11df8b65f,agent_zeta,7.486,0,0,ownership,0.156401,0.333567,0.615433,0.13901,0.127787,0.156401,0.153263,0.104665
n10,mag0,bm-mag0-n10,cb576196-7f80-4b71-b0e9-7470adcf571b,agent_beta,7.492,0,0,time,0.162208,0.312375,0.350648,0.119114,0.127721,0.128623,0.162208,0.157808
n10,mag1,bm-mag1-n10,6c369be7-5d37-45f6-9602-daf4493ba85d,agent_gamma,0.0,0,1,time,0.305268,0.001538,0.947995,0.17511,0.221243,0.239305,0.305268,0.232251
n10,mag1,bm-mag1-n10,ced5b45f-2d51-4b1f-853a-e7eb9951ed1a,agent_alpha,0.935,0,0,time,0.19012,0.004951,0.93398,0.110825,0.135175,0.137548,0.19012,0.137473
n10,mag1,bm-mag1-n10,28478335-6f16-48c4-9433-eb6b10cda223,agent_zeta,1.017,0,0,time,0.180742,-0.032269,0.749638,0.109538,0.158795,0.142136,0.180742,0.15003
n10,mag1,bm-mag1-n10,8de8ea3d-a2ea-4958-95bf-a4ddfb17cf26,agent_iota,1.815,0,0,time,0.194406,-0.379193,0.26336,0.158902,0.194181,0.167106,0.194406,0.149989
n10,mag1,bm-mag1-n10,0964d01e-c21d-4b63-bead-d14f3892b513,agent_delta,2.182,0,0,time,0.136772,0.077225,0.896361,0.062466,0.063648,0.113147,0.136772,0.08751
n10,mag1,bm-mag1-n10,e3409f70-6e3a-4515-b9c3-8be90c74a7d8,agent_alpha,3.889,0,0,testing,0.226966,-0.81261,-0.382465,0.193809,0.226966,0.182885,0.18677,0.166422
n10,mag1,bm-mag1-n10,0ed8e17a-a78e-4529-aa6e-9306cf73f143,agent_alpha,6.299,0,0,time,0.158771,-0.012356,0.903834,0.085855,0.1226,0.111096,0.158771,0.103361
n10,mag1,bm-mag1-n10,087cf184-a897-46a4-a6f5-af873230fe7e,agent_epsilon,6.641,0,0,evidence,0.204427,-0.762214,0.155217,0.204427,0.201339,0.178359,0.171627,0.145925
n10,mag5,bm-mag5-n10,b35561ec-387a-4b3a-8dbe-698bfc7c594a,agent_kappa,0.0,0,1,testing,0.098361,-0.314528,0.149521,0.067026,0.098361,0.043183,0.097566,0.083507
n10,mag5,bm-mag5-n10,936c55dd-4bbb-420b-8eb8-7d8d29486b19,agent_delta,0.145,0,0,time,0.270315,0.152714,0.706475,0.169947,0.221073,0.240993,0.270315,0.252956
n10,mag5,bm-mag5-n10,428ea11d-2d91-4ac8-8859-3015c6d0f38d,agent_gamma,1.196,0,0,time,0.246216,0.021046,0.817168,0.160546,0.21466,0.205717,0.246216,0.216831
n10,mag5,bm-mag5-n10,aea81864-2745-49e7-829c-d293124f49e3,agent_iota,1.457,0,0,time,0.155169,0.027964,0.895694,0.0678,0.094804,0.093424,0.155169,0.121547
n10,mag5,bm-mag5-n10,8d3eab26-a477-403c-a9a6-769dc43f543f,agent_iota,3.27,0,0,time,0.192946,0.172993,0.634482,0.096517,0.142135,0.140216,0.192946,0.17947
n10,mag5,bm-mag5-n10,c6a3dec1-6116-4937-a524-fdcbbc7a2bb9,agent_kappa,4.152,0,0,risk,0.040698,0.425554,0.054489,-0.017827,0.01815,0.00861,0.037339,0.040698
n10,mag5,bm-mag5-n10,e4b2f913-a5e0-41b9-884f-3fd4d710638a,agent_iota,4.904,0,0,risk,0.105279,0.640662,-0.481925,0.048509,0.084446,0.062271,0.071308,0.105279
n10,mag5,bm-mag5-n10,2af9831c-6ef6-4b64-897a-e26847148154,agent_eta,5.485,0,0,risk,0.191881,0.789507,-0.542992,0.1036,0.158541,0.101019,0.131093,0.191881
n10,mag5,bm-mag5-n10,15ccee82-50cd-4f45-bec0-4b250f88fe38,agent_iota,6.763,0,0,time,0.167053,0.041786,0.908334,0.09124,0.097409,0.134229,0.167053,0.125555
n10,mag5,bm-mag5-n10,78c6ba05-a19e-4b38-8393-8e8a9fd8677e,agent_eta,6.793,0,0,time,0.158868,-0.013081,0.626596,0.154073,0.137701,0.155006,0.158868,0.12086
