scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,bm-mag0-n10,10a Empty feed,0,0.0,15.0,17,time,0.470588,0.301038,0.058824,0.117647,0.176471,0.470588,0.176471
n10,mag0,bm-mag0-n10,10a Empty feed,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag0,bm-mag0-n10,10a Empty feed,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag0,bm-mag0-n10,10a Empty feed,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,0,0.0,15.0,8,time,0.75,0.59375,0.125,0.125,0.0,0.75,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,bm-mag1-n10,10a 1 conspiracy,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag5,bm-mag5-n10,10a 5 conspiracies,0,0.0,15.0,10,time,0.6,0.46,0.0,0.1,0.0,0.6,0.3
n10,mag5,bm-mag5-n10,10a 5 conspiracies,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag5,bm-mag5-n10,10a 5 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag5,bm-mag5-n10,10a 5 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag25,bm-mag25-n10,10a 25 conspiracies,0,0.0,15.0,11,time,0.818182,0.68595,0.0,0.090909,0.0,0.818182,0.090909
n10,mag25,bm-mag25-n10,10a 25 conspiracies,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag25,bm-mag25-n10,10a 25 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag25,bm-mag25-n10,10a 25 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,0,0.0,15.0,12,time,0.75,0.583333,0.083333,0.083333,0.083333,0.75,0.0
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-agi,bm-dom-agi-n10,10a 25 AGI hype,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,0,0.0,15.0,14,time,0.642857,0.5,0.071429,0.0,0.0,0.642857,0.285714
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,1,15.0,30.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-tech,bm-dom-tech-n10,10a 25 tech humor,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
