bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1_ci_hi,distinct_1_ci_lo,distinct_1_mean,distinct_2_ci_hi,distinct_2_ci_lo,distinct_2_mean,distinct_3_ci_hi,distinct_3_ci_lo,distinct_3_mean,n_posts,run_name,scale,subsample_target_posts
2.5,0,0-2,0.0,mag0,Empty feed,0.9032258064516129,0.7792207792207793,0.8480668604804953,1.0,0.9603174603174603,0.9807201091571204,1.0,0.983739837398374,0.9959451183361416,8,bm-mag0-n10,n10,3
5.0,1,2-5,2.5,mag0,Empty feed,0.7480916030534351,0.7480916030534351,0.7480916030534351,0.96875,0.96875,0.96875,1.0,1.0,1.0,3,bm-mag0-n10,n10,3
7.5,2,5-7,5.0,mag0,Empty feed,0.8765432098765432,0.8059701492537313,0.8367325670890376,0.9937888198757764,0.9821428571428571,0.9896400646261596,1.0,1.0,1.0,6,bm-mag0-n10,n10,3
10.0,3,7-10,7.5,mag0,Empty feed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag0-n10,n10,3
2.5,0,0-2,0.0,mag1,1 conspiracy,0.9824561403508771,0.8181818181818182,0.9220944623868975,1.0,0.9814814814814815,0.995925925925926,1.0,1.0,1.0,5,bm-mag1-n10,n10,1
5.0,1,2-5,2.5,mag1,1 conspiracy,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.0,1.0,1.0,1.0,1.0,1.0,1,bm-mag1-n10,n10,1
7.5,2,5-7,5.0,mag1,1 conspiracy,0.9387755102040817,0.9016393442622951,0.9198360655737706,1.0,1.0,1.0,1.0,1.0,1.0,2,bm-mag1-n10,n10,1
10.0,3,7-10,7.5,mag1,1 conspiracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag1-n10,n10,1
2.5,0,0-2,0.0,mag5,5 conspiracies,0.81875,0.7852760736196319,0.8051230788836427,0.9872611464968153,0.9710144927536232,0.9754807867327662,1.0,1.0,1.0,4,bm-mag5-n10,n10,3
5.0,1,2-5,2.5,mag5,5 conspiracies,0.7638190954773869,0.7638190954773869,0.7638190954773869,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9948186528497409,0.9948186528497409,0.9948186528497409,3,bm-mag5-n10,n10,3
7.5,2,5-7,5.0,mag5,5 conspiracies,0.7771428571428571,0.7771428571428571,0.7771428571428571,0.9825581395348837,0.9825581395348837,0.9825581395348837,1.0,1.0,1.0,3,bm-mag5-n10,n10,3
10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag5-n10,n10,3
2.5,0,0-2,0.0,mag25,25 conspiracies,0.8859649122807017,0.7927927927927928,0.8458788579759998,1.0,0.9758064516129032,0.9906104806028618,1.0,0.9918032786885246,0.9997540983606558,7,bm-mag25-n10,n10,2
5.0,1,2-5,2.5,mag25,25 conspiracies,0.9051724137931034,0.9051724137931034,0.9051724137931034,1.0,1.0,1.0,1.0,1.0,1.0,2,bm-mag25-n10,n10,2
7.5,2,5-7,5.0,mag25,25 conspiracies,0.8495575221238938,0.8495575221238938,0.8495575221238938,0.972972972972973,0.972972972972973,0.972972972972973,1.0,1.0,1.0,2,bm-mag25-n10,n10,2
10.0,3,7-10,7.5,mag25,25 conspiracies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-mag25-n10,n10,2
2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.9787234042553191,0.8918918918918919,0.949167835225028,1.0,0.9705882352941176,0.9947058823529411,1.0,1.0,1.0,6,bm-dom-agi-n10,n10,1
5.0,1,2-5,2.5,dom-agi,25 AGI hype,0.9761904761904762,0.8953488372093024,0.9332128412537917,1.0,0.9811320754716981,0.9886848955705781,1.0,1.0,1.0,5,bm-dom-agi-n10,n10,1
7.5,2,5-7,5.0,dom-agi,25 AGI hype,0.921875,0.921875,0.921875,1.0,1.0,1.0,1.0,1.0,1.0,1,bm-dom-agi-n10,n10,1
10.0,3,7-10,7.5,dom-agi,25 AGI hype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-dom-agi-n10,n10,1
2.5,0,0-2,0.0,dom-tech,25 tech humor,0.8807017543859649,0.8415841584158416,0.8660506253408927,0.995850622406639,0.989247311827957,0.9912085350453743,1.0,1.0,1.0,5,bm-dom-tech-n10,n10,4
5.0,1,2-5,2.5,dom-tech,25 tech humor,0.6359223300970874,0.6359223300970874,0.6359223300970874,0.7892156862745098,0.7892156862745098,0.7892156862745098,0.7995049504950495,0.7995049504950495,0.7995049504950495,4,bm-dom-tech-n10,n10,4
7.5,2,5-7,5.0,dom-tech,25 tech humor,0.8506224066390041,0.7682291666666666,0.8012377300312897,1.0,0.9725085910652921,0.9821424913566186,1.0,1.0,1.0,5,bm-dom-tech-n10,n10,4
10.0,3,7-10,7.5,dom-tech,25 tech humor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bm-dom-tech-n10,n10,4
